tick_ns,sid,pid,comm,cpu_pct
507116435,212538,212538,ros2,0.00
507116435,212538,212581,gscam_node,8.00
507116435,212620,212620,gst-launch-1.0,66.00
1007072479,212538,212538,ros2,0.00
1007072479,212538,212581,gscam_node,10.00
1007072479,212620,212620,gst-launch-1.0,4.00
1507735336,212538,212538,ros2,0.00
1507735336,212538,212581,gscam_node,10.00
1507735336,212620,212620,gst-launch-1.0,30.00
2007127478,212538,212538,ros2,0.00
2007127478,212538,212581,gscam_node,10.00
2007127478,212620,212620,gst-launch-1.0,8.00
2507093958,212538,212538,ros2,0.00
2507093958,212538,212581,gscam_node,12.00
2507093958,212620,212620,gst-launch-1.0,10.00
3007497382,212538,212538,ros2,0.00
3007497382,212538,212581,gscam_node,10.00
3007497382,212620,212620,gst-launch-1.0,8.00
3507174182,212538,212538,ros2,0.00
3507174182,212538,212581,gscam_node,10.00
3507174182,212620,212620,gst-launch-1.0,10.00
4007486517,212538,212538,ros2,0.00
4007486517,212538,212581,gscam_node,12.00
4007486517,212620,212620,gst-launch-1.0,10.00
4507092914,212538,212538,ros2,0.00
4507092914,212538,212581,gscam_node,10.00
4507092914,212620,212620,gst-launch-1.0,10.00
5007185110,212538,212538,ros2,0.00
5007185110,212538,212581,gscam_node,12.00
5007185110,212620,212620,gst-launch-1.0,8.00
5507095048,212538,212538,ros2,0.00
5507095048,212538,212581,gscam_node,10.00
5507095048,212620,212620,gst-launch-1.0,10.00
6007110647,212538,212538,ros2,0.00
6007110647,212538,212581,gscam_node,10.00
6007110647,212620,212620,gst-launch-1.0,10.00
6507058156,212538,212538,ros2,0.00
6507058156,212538,212581,gscam_node,10.00
6507058156,212620,212620,gst-launch-1.0,8.00
7007106746,212538,212538,ros2,0.00
7007106746,212538,212581,gscam_node,12.00
7007106746,212620,212620,gst-launch-1.0,10.00
7507643680,212538,212538,ros2,0.00
7507643680,212538,212581,gscam_node,10.00
7507643680,212620,212620,gst-launch-1.0,10.00
8007528410,212538,212538,ros2,0.00
8007528410,212538,212581,gscam_node,10.00
8007528410,212620,212620,gst-launch-1.0,10.00
8507157969,212538,212538,ros2,0.00
8507157969,212538,212581,gscam_node,10.00
8507157969,212620,212620,gst-launch-1.0,10.00
9007081718,212538,212538,ros2,0.00
9007081718,212538,212581,gscam_node,12.00
9007081718,212620,212620,gst-launch-1.0,8.00
9507448729,212538,212538,ros2,0.00
9507448729,212538,212581,gscam_node,12.00
9507448729,212620,212620,gst-launch-1.0,12.00
10007252387,212538,212538,ros2,0.00
10007252387,212538,212581,gscam_node,10.00
10007252387,212620,212620,gst-launch-1.0,10.00
10507378527,212538,212538,ros2,0.00
10507378527,212538,212581,gscam_node,8.00
10507378527,212620,212620,gst-launch-1.0,8.00
11007481680,212538,212538,ros2,0.00
11007481680,212538,212581,gscam_node,14.00
11007481680,212620,212620,gst-launch-1.0,10.00
11507253725,212538,212538,ros2,0.00
11507253725,212538,212581,gscam_node,10.00
11507253725,212620,212620,gst-launch-1.0,8.00
12007049494,212538,212538,ros2,0.00
12007049494,212538,212581,gscam_node,10.00
12007049494,212620,212620,gst-launch-1.0,12.00
12507355611,212538,212538,ros2,0.00
12507355611,212538,212581,gscam_node,10.00
12507355611,212620,212620,gst-launch-1.0,8.00
13007411359,212538,212538,ros2,0.00
13007411359,212538,212581,gscam_node,12.00
13007411359,212620,212620,gst-launch-1.0,10.00
13507382155,212538,212538,ros2,0.00
13507382155,212538,212581,gscam_node,8.00
13507382155,212620,212620,gst-launch-1.0,10.00
14007305759,212538,212538,ros2,0.00
14007305759,212538,212581,gscam_node,12.00
14007305759,212620,212620,gst-launch-1.0,10.00
14507042137,212538,212538,ros2,0.00
14507042137,212538,212581,gscam_node,10.00
14507042137,212620,212620,gst-launch-1.0,8.00
