tick_ns,sid,pid,comm,cpu_pct
507029109,210849,210849,ros2,0.00
507029109,210849,210853,gscam_node,8.00
507029109,210906,210906,gst-launch-1.0,66.00
1007082145,210849,210849,ros2,0.00
1007082145,210849,210853,gscam_node,6.00
1007082145,210906,210906,gst-launch-1.0,2.00
1507146220,210849,210849,ros2,0.00
1507146220,210849,210853,gscam_node,8.00
1507146220,210906,210906,gst-launch-1.0,32.00
2007244919,210849,210849,ros2,0.00
2007244919,210849,210853,gscam_node,8.00
2007244919,210906,210906,gst-launch-1.0,12.00
2507279850,210849,210849,ros2,0.00
2507279850,210849,210853,gscam_node,10.00
2507279850,210906,210906,gst-launch-1.0,8.00
3007185181,210849,210849,ros2,0.00
3007185181,210849,210853,gscam_node,8.00
3007185181,210906,210906,gst-launch-1.0,10.00
3507171604,210849,210849,ros2,0.00
3507171604,210849,210853,gscam_node,6.00
3507171604,210906,210906,gst-launch-1.0,10.00
4006978688,210849,210849,ros2,0.00
4006978688,210849,210853,gscam_node,8.00
4006978688,210906,210906,gst-launch-1.0,10.00
4507002696,210849,210849,ros2,0.00
4507002696,210849,210853,gscam_node,8.00
4507002696,210906,210906,gst-launch-1.0,8.00
5007052450,210849,210849,ros2,0.00
5007052450,210849,210853,gscam_node,10.00
5007052450,210906,210906,gst-launch-1.0,10.00
5506986293,210849,210849,ros2,0.00
5506986293,210849,210853,gscam_node,8.00
5506986293,210906,210906,gst-launch-1.0,10.00
6006963515,210849,210849,ros2,0.00
6006963515,210849,210853,gscam_node,8.00
6006963515,210906,210906,gst-launch-1.0,8.00
6508786343,210849,210849,ros2,0.00
6508786343,210849,210853,gscam_node,6.00
6508786343,210906,210906,gst-launch-1.0,10.00
7006906203,210849,210849,ros2,0.00
7006906203,210849,210853,gscam_node,10.00
7006906203,210906,210906,gst-launch-1.0,10.00
7507219277,210849,210849,ros2,0.00
7507219277,210849,210853,gscam_node,8.00
7507219277,210906,210906,gst-launch-1.0,10.00
8006972153,210849,210849,ros2,0.00
8006972153,210849,210853,gscam_node,8.00
8006972153,210906,210906,gst-launch-1.0,10.00
8507128913,210849,210849,ros2,0.00
8507128913,210849,210853,gscam_node,8.00
8507128913,210906,210906,gst-launch-1.0,8.00
9006923953,210849,210849,ros2,0.00
9006923953,210849,210853,gscam_node,8.00
9006923953,210906,210906,gst-launch-1.0,10.00
9507223067,210849,210849,ros2,0.00
9507223067,210849,210853,gscam_node,8.00
9507223067,210906,210906,gst-launch-1.0,10.00
10006936355,210849,210849,ros2,0.00
10006936355,210849,210853,gscam_node,8.00
10006936355,210906,210906,gst-launch-1.0,10.00
10507031605,210849,210849,ros2,0.00
10507031605,210849,210853,gscam_node,8.00
10507031605,210906,210906,gst-launch-1.0,10.00
11006884597,210849,210849,ros2,0.00
11006884597,210849,210853,gscam_node,10.00
11006884597,210906,210906,gst-launch-1.0,10.00
11506991716,210849,210849,ros2,0.00
11506991716,210849,210853,gscam_node,8.00
11506991716,210906,210906,gst-launch-1.0,8.00
12006923856,210849,210849,ros2,0.00
12006923856,210849,210853,gscam_node,6.00
12006923856,210906,210906,gst-launch-1.0,10.00
12506780156,210849,210849,ros2,0.00
12506780156,210849,210853,gscam_node,10.00
12506780156,210906,210906,gst-launch-1.0,10.00
13007015219,210849,210849,ros2,0.00
13007015219,210849,210853,gscam_node,8.00
13007015219,210906,210906,gst-launch-1.0,8.00
13506970893,210849,210849,ros2,0.00
13506970893,210849,210853,gscam_node,10.00
13506970893,210906,210906,gst-launch-1.0,12.00
14007286571,210849,210849,ros2,0.00
14007286571,210849,210853,gscam_node,8.00
14007286571,210906,210906,gst-launch-1.0,8.00
14507164026,210849,210849,ros2,0.00
14507164026,210849,210853,gscam_node,6.00
14507164026,210906,210906,gst-launch-1.0,10.00
