tick_ns,sid,pid,comm,cpu_pct
515987114,1192637,1192637,ros2,104.00
1006971507,1192637,1192637,ros2,6.00
1006971507,1192637,1192679,camera_server_s,0.00
1509962533,1192637,1192637,ros2,0.00
1509962533,1192637,1192679,camera_server_s,46.00
2015532191,1192637,1192637,ros2,0.00
2015532191,1192637,1192679,camera_server_s,44.00
2514734926,1192637,1192637,ros2,0.00
2514734926,1192637,1192679,camera_server_s,46.00
3006065462,1192637,1192637,ros2,0.00
3006065462,1192637,1192679,camera_server_s,34.00
3505986436,1192637,1192637,ros2,0.00
3505986436,1192637,1192679,camera_server_s,26.00
4005886636,1192637,1192637,ros2,0.00
4005886636,1192637,1192679,camera_server_s,26.00
4505943492,1192637,1192637,ros2,0.00
4505943492,1192637,1192679,camera_server_s,26.00
5005772822,1192637,1192637,ros2,0.00
5005772822,1192637,1192679,camera_server_s,26.00
5505998114,1192637,1192637,ros2,0.00
5505998114,1192637,1192679,camera_server_s,28.00
6007209588,1192637,1192637,ros2,0.00
6007209588,1192637,1192679,camera_server_s,28.00
6506038035,1192637,1192637,ros2,0.00
6506038035,1192637,1192679,camera_server_s,26.00
7012622410,1192637,1192637,ros2,0.00
7012622410,1192637,1192679,camera_server_s,26.00
7509112009,1192637,1192637,ros2,0.00
7509112009,1192637,1192679,camera_server_s,26.00
8006026341,1192637,1192637,ros2,0.00
8006026341,1192637,1192679,camera_server_s,26.00
8506014402,1192637,1192637,ros2,0.00
8506014402,1192637,1192679,camera_server_s,26.00
9006256845,1192637,1192637,ros2,0.00
9006256845,1192637,1192679,camera_server_s,28.00
9506059002,1192637,1192637,ros2,0.00
9506059002,1192637,1192679,camera_server_s,26.00
10005983292,1192637,1192637,ros2,0.00
10005983292,1192637,1192679,camera_server_s,26.00
10506046411,1192637,1192637,ros2,0.00
10506046411,1192637,1192679,camera_server_s,26.00
11005897649,1192637,1192637,ros2,2.00
11005897649,1192637,1192679,camera_server_s,26.00
11506067240,1192637,1192637,ros2,0.00
11506067240,1192637,1192679,camera_server_s,26.00
12005963891,1192637,1192637,ros2,0.00
12005963891,1192637,1192679,camera_server_s,26.00
12505926259,1192637,1192637,ros2,0.00
12505926259,1192637,1192679,camera_server_s,26.00
13006041467,1192637,1192637,ros2,0.00
13006041467,1192637,1192679,camera_server_s,28.00
13505983662,1192637,1192637,ros2,0.00
13505983662,1192637,1192679,camera_server_s,24.00
14005919228,1192637,1192637,ros2,0.00
14005919228,1192637,1192679,camera_server_s,28.00
14505948929,1192637,1192637,ros2,0.00
14505948929,1192637,1192679,camera_server_s,26.00
15005980896,1192637,1192637,ros2,0.00
15005980896,1192637,1192679,camera_server_s,26.00
15505917445,1192637,1192637,ros2,0.00
15505917445,1192637,1192679,camera_server_s,28.00
16005858920,1192637,1192637,ros2,0.00
16005858920,1192637,1192679,camera_server_s,26.00
16505901276,1192637,1192637,ros2,0.00
16505901276,1192637,1192679,camera_server_s,26.00
17005967409,1192637,1192637,ros2,0.00
17005967409,1192637,1192679,camera_server_s,26.00
17505969813,1192637,1192637,ros2,0.00
17505969813,1192637,1192679,camera_server_s,28.00
18007078760,1192637,1192637,ros2,0.00
18007078760,1192637,1192679,camera_server_s,24.00
18506025325,1192637,1192637,ros2,0.00
18506025325,1192637,1192679,camera_server_s,26.00
19006077662,1192637,1192637,ros2,0.00
19006077662,1192637,1192679,camera_server_s,26.00
19506147641,1192637,1192637,ros2,0.00
19506147641,1192637,1192679,camera_server_s,28.00
20006209462,1192637,1192637,ros2,0.00
20006209462,1192637,1192679,camera_server_s,24.00
20506340540,1192637,1192637,ros2,0.00
20506340540,1192637,1192679,camera_server_s,28.00
21005975770,1192637,1192637,ros2,0.00
21005975770,1192637,1192679,camera_server_s,26.00
21505856008,1192637,1192637,ros2,0.00
21505856008,1192637,1192679,camera_server_s,26.00
22006512517,1192637,1192637,ros2,0.00
22006512517,1192637,1192679,camera_server_s,26.00
22505788327,1192637,1192637,ros2,0.00
22505788327,1192637,1192679,camera_server_s,26.00
23005838334,1192637,1192637,ros2,0.00
23005838334,1192637,1192679,camera_server_s,26.00
23505866448,1192637,1192637,ros2,0.00
23505866448,1192637,1192679,camera_server_s,26.00
24005780529,1192637,1192637,ros2,0.00
24005780529,1192637,1192679,camera_server_s,26.00
24505834227,1192637,1192637,ros2,0.00
24505834227,1192637,1192679,camera_server_s,26.00
25005818255,1192637,1192637,ros2,0.00
25005818255,1192637,1192679,camera_server_s,26.00
25506971321,1192637,1192637,ros2,0.00
25506971321,1192637,1192679,camera_server_s,26.00
26005771274,1192637,1192637,ros2,0.00
26005771274,1192637,1192679,camera_server_s,28.00
26506116068,1192637,1192637,ros2,0.00
26506116068,1192637,1192679,camera_server_s,26.00
27005835709,1192637,1192637,ros2,0.00
27005835709,1192637,1192679,camera_server_s,26.00
27505750243,1192637,1192637,ros2,0.00
27505750243,1192637,1192679,camera_server_s,26.00
28005912880,1192637,1192637,ros2,0.00
28005912880,1192637,1192679,camera_server_s,26.00
28506009941,1192637,1192637,ros2,0.00
28506009941,1192637,1192679,camera_server_s,26.00
29005795808,1192637,1192637,ros2,0.00
29005795808,1192637,1192679,camera_server_s,26.00
29505738835,1192637,1192637,ros2,0.00
29505738835,1192637,1192679,camera_server_s,26.00
