frame_id,send_ts_ns,recv_ts_ns,latency_ns
145,108273965905877,108273988411291,22505414
146,108273999204495,108274023311221,24106726
147,108274032614701,108274057341398,24726697
148,108274065906177,108274089964870,24058693
149,108274099238577,108274123213759,23975182
150,108274132693599,108274156700234,24006635
151,108274165974561,108274190304362,24329801
152,108274199224096,108274223442017,24217921
153,108274232438344,108274256377910,23939566
154,108274265989057,108274289984914,23995857
155,108274299181868,108274323343758,24161890
156,108274332607132,108274356418054,23810922
157,108274365848761,108274391373779,25525018
158,108274399153827,108274433305684,34151857
159,108274432440447,108274468142158,35701711
160,108274465777931,108274497131592,31353661
161,108274499149524,108274532625370,33475846
162,108274532459974,108274559871038,27411064
163,108274565958149,108274590095695,24137546
164,108274599105755,108274623454493,24348738
165,108274632633944,108274656759412,24125468
166,108274665770915,108274689447400,23676485
167,108274699330821,108274722729310,23398489
168,108274732437791,108274756034460,23596669
169,108274766049266,108274790262847,24213581
170,108274799347082,108274823438552,24091470
171,108274832438066,108274855969071,23531005
172,108274866067116,108274889797927,23730811
173,108274899255964,108274922711186,23455222
174,108274932487317,108274956226036,23738719
175,108274965907493,108274988949018,23041525
176,108274999300179,108275023126956,23826777
177,108275032437777,108275056859827,24422050
178,108275065887264,108275089797190,23909926
179,108275099226727,108275123122639,23895912
180,108275132437945,108275156508125,24070180
181,108275165986162,108275189793125,23806963
182,108275199261478,108275223487826,24226348
183,108275232617702,108275255920238,23302536
184,108275265912681,108275289366074,23453393
185,108275299315879,108275322897038,23581159
186,108275332546620,108275356022155,23475535
187,108275365954154,108275390659101,24704947
188,108275399236560,108275422923851,23687291
189,108275432661610,108275458332505,25670895
190,108275465965979,108275490611075,24645096
191,108275499128139,108275524468396,25340257
192,108275532438406,108275557155221,24716815
193,108275565922881,108275589855522,23932641
194,108275599343562,108275623129017,23785455
195,108275632438921,108275656368683,23929762
196,108275665979970,108275689990009,24010039
197,108275699292616,108275723122410,23829794
198,108275732437839,108275756291671,23853832
199,108275766046128,108275789679742,23633614
200,108275799274424,108275822673211,23398787
201,108275832657880,108275856302085,23644205
202,108275865962728,108275889544116,23581388
203,108275899252089,108275923465438,24213349
204,108275932492246,108275956530799,24038553
205,108275965942925,108275993108422,27165497
206,108275999259494,108276023509937,24250443
207,108276032437562,108276056511477,24073915
208,108276065968927,108276090108535,24139608
209,108276099252099,108276123452630,24200531
210,108276132576556,108276156076433,23499877
211,108276165969633,108276189616932,23647299
212,108276199214459,108276222793690,23579231
213,108276232438647,108276256480287,24041640
214,108276265934191,108276290372620,24438429
215,108276299339003,108276323457580,24118577
216,108276332611720,108276356459822,23848102
217,108276365966432,108276391564284,25597852
218,108276399239808,108276423432699,24192891
219,108276432649122,108276456766459,24117337
220,108276465826318,108276489444094,23617776
221,108276499279182,108276523382749,24103567
222,108276532640910,108276556745024,24104114
223,108276565906785,108276591664161,25757376
224,108276599204662,108276623378554,24173892
225,108276632440984,108276656826304,24385320
226,108276665768187,108276689490593,23722406
227,108276699196107,108276722869270,23673163
228,108276732607871,108276756357163,23749292
229,108276765768917,108276789327852,23558935
230,108276799249019,108276824609402,25360383
231,108276832684711,108276856533410,23848699
232,108276865961543,108276889873111,23911568
233,108276899270333,108276923435769,24165436
234,108276932435243,108276956692412,24257169
235,108276965775602,108276988930574,23154972
236,108276999177283,108277023617709,24440426
237,108277032459755,108277056924087,24464332
238,108277065769117,108277089504248,23735131
239,108277099273747,108277123239611,23965864
240,108277132437893,108277156976581,24538688
241,108277166071135,108277190058190,23987055
242,108277199370944,108277223106770,23735826
243,108277232700309,108277256666823,23966514
244,108277265949261,108277290074209,24124948
245,108277299206130,108277323721325,24515195
246,108277332437910,108277356158578,23720668
247,108277365996877,108277389995226,23998349
248,108277399194616,108277423153284,23958668
249,108277432485687,108277457631688,25146001
250,108277465771253,108277490597664,24826411
251,108277499249555,108277523352980,24103425
252,108277532437987,108277556657233,24219246
253,108277565955458,108277589870830,23915372
254,108277599263581,108277623186767,23923186
255,108277632747749,108277656574499,23826750
256,108277665982652,108277690005740,24023088
257,108277699206161,108277723870341,24664180
258,108277732437601,108277756075564,23637963
259,108277765921986,108277793570544,27648558
260,108277799258803,108277825963739,26704936
261,108277832460223,108277858792089,26331866
262,108277865997076,108277890848637,24851561
263,108277899203528,108277923022492,23818964
264,108277932549829,108277956972003,24422174
265,108277965769503,108277988737988,22968485
266,108277999389863,108278023474439,24084576
267,108278032437761,108278056528661,24090900
268,108278065953193,108278089993778,24040585
269,108278099296910,108278123352908,24055998
270,108278132615170,108278156498462,23883292
271,108278165962617,108278190093360,24130743
272,108278199187209,108278222917600,23730391
273,108278232613088,108278256197651,23584563
274,108278265961457,108278289814196,23852739
275,108278299279927,108278323439201,24159274
276,108278332554350,108278356665309,24110959
277,108278365957109,108278390872638,24915529
278,108278399214302,108278423646570,24432268
279,108278432437994,108278457026831,24588837
280,108278465771225,108278490101052,24329827
281,108278499272624,108278523446715,24174091
282,108278532621175,108278556839530,24218355
283,108278565921012,108278589671761,23750749
284,108278599318461,108278622995060,23676599
285,108278632551596,108278656785063,24233467
286,108278665964175,108278690487944,24523769
287,108278699262757,108278722953493,23690736
288,108278732682334,108278756315136,23632802
289,108278766042129,108278789805208,23763079
290,108278799225961,108278822887913,23661952
291,108278832675927,108278856433868,23757941
292,108278865938798,108278890614929,24676131
293,108278899200286,108278923003803,23803517
294,108278932685868,108278956893116,24207248
295,108278965774427,108278989015695,23241268
296,108278999134916,108279023319145,24184229
297,108279032437983,108279057155098,24717115
298,108279065889214,108279092083265,26194051
299,108279099235275,108279125240992,26005717
300,108279132435389,108279156953629,24518240
301,108279165976708,108279189646676,23669968
302,108279199262545,108279223769101,24506556
303,108279232688564,108279256448765,23760201
304,108279266056537,108279289905413,23848876
305,108279299179260,108279323166234,23986974
306,108279332616206,108279356440952,23824746
307,108279365938339,108279390015831,24077492
308,108279399278673,108279423290982,24012309
309,108279432437889,108279456130293,23692404
310,108279465772116,108279490558652,24786536
311,108279499277892,108279523784603,24506711
312,108279532494676,108279557008020,24513344
313,108279565993055,108279589815169,23822114
314,108279599267044,108279623507957,24240913
315,108279632672684,108279657377340,24704656
316,108279665964135,108279690439463,24475328
317,108279699339390,108279723593263,24253873
318,108279732438106,108279757210877,24772771
319,108279766048902,108279789675293,23626391
320,108279799258250,108279823613135,24354885
321,108279832652082,108279856633228,23981146
322,108279865880676,108279889723664,23842988
323,108279899285210,108279923741898,24456688
324,108279932608891,108279956785299,24176408
325,108279965837452,108279989353715,23516263
326,108279999192638,108280023954817,24762179
327,108280032559560,108280056943473,24383913
328,108280065951279,108280093326736,27375457
329,108280099305774,108280123847895,24542121
330,108280132553136,108280156834686,24281550
331,108280165938621,108280190027799,24089178
332,108280199262323,108280225311019,26048696
333,108280232676993,108280256885748,24208755
334,108280265910907,108280289599215,23688308
335,108280299218487,108280323103343,23884856
336,108280332437856,108280357846828,25408972
337,108280365816549,108280389505326,23688777
338,108280399187919,108280423329026,24141107
339,108280432486978,108280456841937,24354959
340,108280465770513,108280490338478,24567965
341,108280499259420,108280523408533,24149113
342,108280532614117,108280556840302,24226185
343,108280565891865,108280590187897,24296032
344,108280599175010,108280623216848,24041838
345,108280632444825,108280656794441,24349616
346,108280665811528,108280690525288,24713760
347,108280699243339,108280723493648,24250309
348,108280732492451,108280757889495,25397044
349,108280765969410,108280789454515,23485105
350,108280799228601,108280822934325,23705724
351,108280832437469,108280856928126,24490657
352,108280865877270,108280889767267,23889997
353,108280899148553,108280922963479,23814926
354,108280932649835,108280957004175,24354340
355,108280965781480,108280988787374,23005894
356,108280999341509,108281023208249,23866740
357,108281032437856,108281056087286,23649430
358,108281065773596,108281090322754,24549158
359,108281099145262,108281124357328,25212066
360,108281132437861,108281156532913,24095052
361,108281165913857,108281190242047,24328190
362,108281199248819,108281222988996,23740177
363,108281232655884,108281256268860,23612976
364,108281265940609,108281289847908,23907299
365,108281299328534,108281326362756,27034222
366,108281332617523,108281358813171,26195648
367,108281365951974,108281390829477,24877503
368,108281399273712,108281423288762,24015050
369,108281432496149,108281456494465,23998316
370,108281465770863,108281489511676,23740813
371,108281499254026,108281523475403,24221377
372,108281532495202,108281556643158,24147956
373,108281565880479,108281589554802,23674323
374,108281599196809,108281622746001,23549192
375,108281632498219,108281656133407,23635188
376,108281665926920,108281689399839,23472919
377,108281699323339,108281722921305,23597966
378,108281732437901,108281756494698,24056797
379,108281765945146,108281789875393,23930247
380,108281799251603,108281822912799,23661196
381,108281832438024,108281855897001,23458977
382,108281865968491,108281889733164,23764673
