tick_ns,sid,pid,comm,cpu_pct
515512004,1652321,1652321,ros2,104.00
1011479590,1652321,1652321,ros2,8.00
1011479590,1652321,1652352,camera_server_s,0.00
1515026129,1652321,1652321,ros2,0.00
1515026129,1652321,1652352,camera_server_s,4.00
2014997136,1652321,1652321,ros2,0.00
2014997136,1652321,1652352,camera_server_s,4.00
2515156400,1652321,1652321,ros2,0.00
2515156400,1652321,1652352,camera_server_s,6.00
3006021669,1652321,1652321,ros2,0.00
3006021669,1652321,1652352,camera_server_s,2.00
3505929015,1652321,1652321,ros2,0.00
3505929015,1652321,1652352,camera_server_s,4.00
4005799135,1652321,1652321,ros2,0.00
4005799135,1652321,1652352,camera_server_s,4.00
4505928776,1652321,1652321,ros2,0.00
4505928776,1652321,1652352,camera_server_s,4.00
5005904173,1652321,1652321,ros2,0.00
5005904173,1652321,1652352,camera_server_s,4.00
5505892757,1652321,1652321,ros2,0.00
5505892757,1652321,1652352,camera_server_s,4.00
6005804196,1652321,1652321,ros2,0.00
6005804196,1652321,1652352,camera_server_s,2.00
6505988770,1652321,1652321,ros2,0.00
6505988770,1652321,1652352,camera_server_s,4.00
7005847267,1652321,1652321,ros2,0.00
7005847267,1652321,1652352,camera_server_s,2.00
7505932814,1652321,1652321,ros2,0.00
7505932814,1652321,1652352,camera_server_s,6.00
8005711776,1652321,1652321,ros2,0.00
8005711776,1652321,1652352,camera_server_s,2.00
8506068682,1652321,1652321,ros2,0.00
8506068682,1652321,1652352,camera_server_s,4.00
9005990042,1652321,1652321,ros2,0.00
9005990042,1652321,1652352,camera_server_s,4.00
9506139099,1652321,1652321,ros2,0.00
9506139099,1652321,1652352,camera_server_s,2.00
10005898282,1652321,1652321,ros2,0.00
10005898282,1652321,1652352,camera_server_s,6.00
10505777555,1652321,1652321,ros2,0.00
10505777555,1652321,1652352,camera_server_s,2.00
11006113205,1652321,1652321,ros2,0.00
11006113205,1652321,1652352,camera_server_s,4.00
11506032151,1652321,1652321,ros2,0.00
11506032151,1652321,1652352,camera_server_s,4.00
12005788202,1652321,1652321,ros2,0.00
12005788202,1652321,1652352,camera_server_s,2.00
12505969813,1652321,1652321,ros2,0.00
12505969813,1652321,1652352,camera_server_s,4.00
13005686743,1652321,1652321,ros2,0.00
13005686743,1652321,1652352,camera_server_s,4.00
13505904438,1652321,1652321,ros2,0.00
13505904438,1652321,1652352,camera_server_s,4.00
14005811126,1652321,1652321,ros2,0.00
14005811126,1652321,1652352,camera_server_s,4.00
14505988896,1652321,1652321,ros2,0.00
14505988896,1652321,1652352,camera_server_s,2.00
15005859017,1652321,1652321,ros2,0.00
15005859017,1652321,1652352,camera_server_s,4.00
15505944191,1652321,1652321,ros2,0.00
15505944191,1652321,1652352,camera_server_s,6.00
16005814053,1652321,1652321,ros2,0.00
16005814053,1652321,1652352,camera_server_s,2.00
16506095055,1652321,1652321,ros2,0.00
16506095055,1652321,1652352,camera_server_s,4.00
17005775942,1652321,1652321,ros2,0.00
17005775942,1652321,1652352,camera_server_s,4.00
17505887343,1652321,1652321,ros2,0.00
17505887343,1652321,1652352,camera_server_s,2.00
18005824587,1652321,1652321,ros2,0.00
18005824587,1652321,1652352,camera_server_s,4.00
18506069530,1652321,1652321,ros2,0.00
18506069530,1652321,1652352,camera_server_s,4.00
19006037482,1652321,1652321,ros2,0.00
19006037482,1652321,1652352,camera_server_s,4.00
19505663230,1652321,1652321,ros2,0.00
19505663230,1652321,1652352,camera_server_s,4.00
20006061265,1652321,1652321,ros2,0.00
20006061265,1652321,1652352,camera_server_s,4.00
20506185215,1652321,1652321,ros2,0.00
20506185215,1652321,1652352,camera_server_s,2.00
21005820269,1652321,1652321,ros2,0.00
21005820269,1652321,1652352,camera_server_s,4.00
21506169499,1652321,1652321,ros2,0.00
21506169499,1652321,1652352,camera_server_s,4.00
22005914898,1652321,1652321,ros2,0.00
22005914898,1652321,1652352,camera_server_s,4.00
22505769602,1652321,1652321,ros2,0.00
22505769602,1652321,1652352,camera_server_s,4.00
23005922165,1652321,1652321,ros2,0.00
23005922165,1652321,1652352,camera_server_s,2.00
23505808889,1652321,1652321,ros2,0.00
23505808889,1652321,1652352,camera_server_s,4.00
24005870369,1652321,1652321,ros2,0.00
24005870369,1652321,1652352,camera_server_s,2.00
24505745380,1652321,1652321,ros2,0.00
24505745380,1652321,1652352,camera_server_s,4.00
25005617912,1652321,1652321,ros2,0.00
25005617912,1652321,1652352,camera_server_s,4.00
25506138841,1652321,1652321,ros2,0.00
25506138841,1652321,1652352,camera_server_s,4.00
26006116126,1652321,1652321,ros2,0.00
26006116126,1652321,1652352,camera_server_s,4.00
26506396923,1652321,1652321,ros2,0.00
26506396923,1652321,1652352,camera_server_s,2.00
27006057343,1652321,1652321,ros2,0.00
27006057343,1652321,1652352,camera_server_s,4.00
27506099823,1652321,1652321,ros2,0.00
27506099823,1652321,1652352,camera_server_s,4.00
28005918730,1652321,1652321,ros2,0.00
28005918730,1652321,1652352,camera_server_s,2.00
28506123799,1652321,1652321,ros2,0.00
28506123799,1652321,1652352,camera_server_s,6.00
29005939298,1652321,1652321,ros2,0.00
29005939298,1652321,1652352,camera_server_s,2.00
29506093360,1652321,1652321,ros2,0.00
29506093360,1652321,1652352,camera_server_s,4.00
