frame_id,send_ts_ns,recv_ts_ns,latency_ns
134,107687549297344,107687557351442,8054098
135,107687582786562,107687589406050,6619488
136,107687616122332,107687621689507,5567175
137,107687649315502,107687654968886,5653384
138,107687682781392,107687688592473,5811081
139,107687716065367,107687722240317,6174950
140,107687749289453,107687754855845,5566392
141,107687782783975,107687788588780,5804805
142,107687816102782,107687821654721,5551939
143,107687849253264,107687855013517,5760253
144,107687882822670,107687888794355,5971685
145,107687916123939,107687922054049,5930110
146,107687949430485,107687955225661,5795176
147,107687982817427,107687988990140,6172713
148,107688016084202,107688021614462,5530260
149,107688049252858,107688054980695,5727837
150,107688082823177,107688088425429,5602252
151,107688116073615,107688121688684,5615069
152,107688149380332,107688155566493,6186161
153,107688182641819,107688188466832,5825013
154,107688216083193,107688221866510,5783317
155,107688249366165,107688255075469,5709304
156,107688282700355,107688288564910,5864555
157,107688316122267,107688321976983,5854716
158,107688349438526,107688354987615,5549089
159,107688382588754,107688388424967,5836213
160,107688416115209,107688421592071,5476862
161,107688449450174,107688455158529,5708355
162,107688482793365,107688488256997,5463632
163,107688516048333,107688521628702,5580369
164,107688549260823,107688555228930,5968107
165,107688582781148,107688588470142,5688994
166,107688616124001,107688621791292,5667291
167,107688649254477,107688655036058,5781581
168,107688682797258,107688688543434,5746176
169,107688716159507,107688722061231,5901724
170,107688749254548,107688754931483,5676935
171,107688782644942,107688788268904,5623962
172,107688816124461,107688821697196,5572735
173,107688849254856,107688854827150,5572294
174,107688882828766,107688888783524,5954758
175,107688916051550,107688921601907,5550357
176,107688949425013,107688955153422,5728409
177,107688982836538,107688988531768,5695230
178,107689016039767,107689021588604,5548837
179,107689049268743,107689055034462,5765719
180,107689082783951,107689088533288,5749337
181,107689116074867,107689121571197,5496330
182,107689149262464,107689155237433,5974969
183,107689182644509,107689188652451,6007942
184,107689216033298,107689221658213,5624915
185,107689249270070,107689254887270,5617200
186,107689282788907,107689288366720,5577813
187,107689316115535,107689322196851,6081316
188,107689349265910,107689355015124,5749214
189,107689382642069,107689388702068,6059999
190,107689416149323,107689421821746,5672423
191,107689449470652,107689455084202,5613550
192,107689482820789,107689488755134,5934345
193,107689516093361,107689521736880,5643519
194,107689549266285,107689554864867,5598582
195,107689582777577,107689588535068,5757491
196,107689616127979,107689621839188,5711209
197,107689649263604,107689655437625,6174021
198,107689682812333,107689688655428,5843095
199,107689716174910,107689721915709,5740799
200,107689749287070,107689755229786,5942716
201,107689782724093,107689788739176,6015083
202,107689816069865,107689821900212,5830347
203,107689849252585,107689855064250,5811665
204,107689882587604,107689888618413,6030809
205,107689916174251,107689922027979,5853728
206,107689949410944,107689955174913,5763969
207,107689982745096,107689988735124,5990028
208,107690016037069,107690022032741,5995672
209,107690049396047,107690055453803,6057756
210,107690082645911,107690088661920,6016009
211,107690116175801,107690122111628,5935827
212,107690149264210,107690154876157,5611947
213,107690182744163,107690188495085,5750922
214,107690216066879,107690222049465,5982586
215,107690249487077,107690255121192,5634115
216,107690282772675,107690288897810,6125135
217,107690316133843,107690322189206,6055363
218,107690349254585,107690355142319,5887734
219,107690382646389,107690388776995,6130606
220,107690416121783,107690421785833,5664050
221,107690449459470,107690455050992,5591522
222,107690482778146,107690489055842,6277696
223,107690516127379,107690521962820,5835441
224,107690549254865,107690555053374,5798509
225,107690582785553,107690588387465,5601912
226,107690615918103,107690621323660,5405557
227,107690649252593,107690655352057,6099464
228,107690682646018,107690688228506,5582488
229,107690716114569,107690721967745,5853176
230,107690749497943,107690755067449,5569506
231,107690782646405,107690788452245,5805840
232,107690816037697,107690821786148,5748451
233,107690849361371,107690855327050,5965679
234,107690882851589,107690888398481,5546892
235,107690916125019,107690922158939,6033920
236,107690949371616,107690954829217,5457601
237,107690982781502,107690988353259,5571757
238,107691016179902,107691021796721,5616819
239,107691049587627,107691054931746,5344119
240,107691082784758,107691088835918,6051160
241,107691116129194,107691121822172,5692978
242,107691149449125,107691154883293,5434168
243,107691182772108,107691188457021,5684913
244,107691216100175,107691221825794,5725619
245,107691249481166,107691255710723,6229557
246,107691282739281,107691288310076,5570795
247,107691316118504,107691321739463,5620959
248,107691349492930,107691355143883,5650953
249,107691382635429,107691389626809,6991380
250,107691416177583,107691422027445,5849862
251,107691449444893,107691455189182,5744289
252,107691482588454,107691488757016,6168562
253,107691516113517,107691522067202,5953685
254,107691549263717,107691555334140,6070423
255,107691582645373,107691588473712,5828339
256,107691616148424,107691622061183,5912759
257,107691649255357,107691655546219,6290862
258,107691682641708,107691688505102,5863394
259,107691716142561,107691722316912,6174351
260,107691749362259,107691755122921,5760662
261,107691782819459,107691788868583,6049124
262,107691816156859,107691822827322,6670463
263,107691849505983,107691855777095,6271112
264,107691882646122,107691888566018,5919896
265,107691916158235,107691922042826,5884591
266,107691949389526,107691955285343,5895817
267,107691982644998,107691988593913,5948915
268,107692015919113,107692021879417,5960304
269,107692049412694,107692055504181,6091487
270,107692082633037,107692088490325,5857288
271,107692116111670,107692122274297,6162627
272,107692149364415,107692155308806,5944391
273,107692182644542,107692188592717,5948175
274,107692216122176,107692222233521,6111345
275,107692249480472,107692255642016,6161544
276,107692282700310,107692288680710,5980400
277,107692316030893,107692322007822,5976929
278,107692349283480,107692355165512,5882032
279,107692382707270,107692389012796,6305526
280,107692416110961,107692422437383,6326422
281,107692449544179,107692455582796,6038617
282,107692482761557,107692488844095,6082538
283,107692516160324,107692522139617,5979293
284,107692549478603,107692555372134,5893531
285,107692582658573,107692588656018,5997445
286,107692616117197,107692622202144,6084947
287,107692649468962,107692655463593,5994631
288,107692682767555,107692688819751,6052196
289,107692716128288,107692721891698,5763410
290,107692749447547,107692755550304,6102757
