frame_id,send_ts_ns,recv_ts_ns,latency_ns
145,10823979440570,10823990108026,10667456
146,10824012866378,10824023239824,10373446
147,10824046192987,10824056718775,10525788
148,10824079444232,10824089886103,10441871
149,10824112775234,10824123660331,10885097
150,10824146196824,10824157092260,10895436
151,10824179584014,10824190722645,11138631
152,10824212777240,10824224207645,11430405
153,10824246092092,10824256646381,10554289
154,10824279450551,10824290242660,10792109
155,10824312860405,10824324525549,11665144
156,10824346115383,10824357021173,10905790
157,10824379534138,10824390645018,11110880
158,10824412959970,10824424404704,11444734
159,10824446126589,10824457567738,11441149
160,10824479448672,10824490744205,11295533
161,10824512781908,10824523871019,11089111
162,10824546104702,10824557620967,11516265
163,10824579416019,10824591345399,11929380
164,10824612781403,10824624310913,11529510
165,10824646200343,10824657853946,11653603
166,10824679463799,10824691201707,11737908
167,10824712781592,10824724530203,11748611
168,10824746199153,10824758071063,11871910
169,10824779529234,10824790795977,11266743
170,10824812747216,10824824051747,11304531
171,10824846103566,10824857257986,11154420
172,10824879454028,10824890733458,11279430
173,10824912772603,10824924011503,11238900
174,10824946185968,10824957666127,11480159
175,10824979447393,10824991309682,11862289
176,10825012872028,10825024450891,11578863
177,10825046229944,10825057803529,11573585
178,10825079445816,10825090650404,11204588
179,10825112936353,10825124088905,11152552
180,10825146257799,10825157299403,11041604
181,10825179417658,10825190471930,11054272
182,10825212773849,10825224214657,11440808
183,10825246111518,10825257285428,11173910
184,10825279453645,10825290654002,11200357
185,10825312917495,10825324191491,11273996
186,10825346200021,10825357598315,11398294
187,10825379544452,10825390701769,11157317
188,10825412782450,10825424109411,11326961
189,10825446134390,10825460255804,14121414
190,10825479442532,10825490204327,10761795
191,10825512908731,10825523971473,11062742
192,10825546194243,10825557055771,10861528
193,10825579415017,10825590718867,11303850
194,10825612779420,10825623814799,11035379
195,10825646104057,10825657158982,11054925
196,10825679449512,10825690527136,11077624
197,10825712779295,10825724054492,11275197
198,10825746111411,10825757131149,11019738
199,10825779439080,10825790293172,10854092
200,10825812785306,10825823948777,11163471
201,10825846140464,10825857219418,11078954
202,10825879467330,10825890541397,11074067
203,10825912909947,10825923830368,10920421
204,10825946088748,10825957603693,11514945
205,10825979452378,10825990956850,11504472
206,10826012789593,10826023630560,10840967
207,10826046208042,10826057162206,10954164
208,10826079415089,10826090213641,10798552
209,10826112786516,10826123744348,10957832
210,10826146201920,10826156838381,10636461
211,10826179692931,10826190808706,11115775
212,10826212772818,10826223848956,11076138
213,10826246118357,10826256864252,10745895
214,10826279451968,10826290804062,11352094
215,10826312968142,10826323791259,10823117
216,10826346181735,10826356966323,10784588
217,10826379446604,10826390703725,11257121
218,10826412779887,10826423654896,10875009
219,10826446194063,10826458421294,12227231
220,10826479414144,10826491059520,11645376
221,10826512747496,10826523651669,10904173
222,10826546202422,10826557451569,11249147
223,10826579443559,10826590571075,11127516
224,10826612772430,10826623987504,11215074
225,10826646191889,10826657858472,11666583
226,10826679438986,10826690913916,11474930
227,10826712770238,10826724077896,11307658
228,10826746178656,10826757958640,11779984
229,10826779438919,10826790794894,11355975
230,10826812776795,10826823515311,10738516
231,10826846108756,10826856769610,10660854
232,10826879431002,10826890468238,11037236
233,10826912746912,10826923613484,10866572
234,10826946141392,10826957631938,11490546
235,10826979417545,10826991077539,11659994
236,10827012749853,10827023758846,11008993
237,10827046081135,10827056904930,10823795
238,10827079439170,10827090369503,10930333
239,10827112749426,10827123482469,10733043
240,10827146109328,10827156950461,10841133
241,10827179443322,10827190079130,10635808
242,10827212779251,10827223695756,10916505
243,10827246080756,10827256690378,10609622
244,10827279442245,10827290566258,11124013
245,10827312788684,10827324281895,11493211
246,10827346080161,10827356854570,10774409
247,10827379442443,10827390495359,11052916
248,10827412770273,10827423713757,10943484
249,10827446090682,10827457382301,11291619
250,10827479448454,10827490741988,11293534
251,10827512746854,10827523793681,11046827
252,10827546142378,10827557665976,11523598
253,10827579417035,10827590738098,11321063
254,10827612771821,10827624295062,11523241
255,10827646080397,10827656856543,10776146
256,10827679463074,10827690758779,11295705
257,10827712780790,10827724215991,11435201
258,10827746140624,10827757741501,11600877
259,10827779447367,10827790324361,10876994
260,10827812778942,10827823745725,10966783
261,10827846221882,10827857489552,11267670
262,10827879569435,10827890518856,10949421
263,10827913049478,10827924200368,11150890
264,10827946236772,10827957483970,11247198
265,10827979531031,10827990234595,10703564
266,10828012807469,10828023652546,10845077
267,10828046098039,10828056658832,10560793
268,10828079548089,10828090646299,11098210
269,10828112747689,10828123794439,11046750
270,10828146255093,10828157422880,11167787
271,10828179450296,10828190662275,11211979
272,10828212886370,10828224064194,11177824
273,10828246107575,10828258056046,11948471
274,10828279443854,10828291048212,11604358
275,10828312777676,10828323750385,10972709
276,10828346082440,10828357011524,10929084
277,10828379443654,10828390625695,11182041
278,10828412772278,10828424285567,11513289
279,10828446151190,10828458725267,12574077
280,10828479477142,10828490803687,11326545
281,10828512772904,10828523816585,11043681
282,10828546113703,10828557405227,11291524
283,10828579416239,10828592693533,13277294
284,10828612751093,10828625130736,12379643
285,10828646078940,10828657314250,11235310
286,10828679413080,10828690374692,10961612
287,10828712788150,10828723799040,11010890
288,10828746094998,10828757030446,10935448
289,10828779413676,10828790334325,10920649
290,10828812782612,10828824766595,11983983
291,10828846112374,10828857154227,11041853
292,10828879377431,10828890469771,11092340
293,10828912780968,10828923597407,10816439
294,10828946083257,10828958470645,12387388
295,10828979444147,10828990880524,11436377
296,10829012775683,10829023504754,10729071
297,10829046196670,10829056947335,10750665
298,10829079556973,10829090683476,11126503
299,10829112926583,10829123798573,10871990
300,10829146244195,10829157347920,11103725
301,10829179578358,10829190855454,11277096
302,10829212903824,10829224314101,11410277
303,10829246115076,10829257513614,11398538
304,10829279566218,10829290861539,11295321
305,10829312868459,10829323615522,10747063
306,10829346313610,10829357024709,10711099
307,10829379443141,10829390387437,10944296
308,10829412874074,10829423809182,10935108
309,10829446117447,10829457449488,11332041
310,10829479449267,10829490763951,11314684
311,10829512779326,10829523607827,10828501
312,10829546111078,10829557688027,11576949
313,10829579445486,10829593689927,14244441
314,10829612772902,10829624162492,11389590
315,10829646106344,10829657390376,11284032
316,10829679417414,10829690543600,11126186
317,10829712779603,10829723850509,11070906
318,10829746081711,10829756611302,10529591
319,10829779415800,10829790498942,11083142
320,10829812771505,10829823639627,10868122
321,10829846099837,10829856784500,10684663
322,10829879415714,10829890668404,11252690
323,10829912906260,10829923913069,11006809
324,10829946093714,10829958731529,12637815
325,10829979436415,10829990637016,11200601
326,10830012772636,10830023874265,11101629
327,10830046109502,10830057679511,11570009
