frame_id,send_ts_ns,recv_ts_ns,latency_ns
145,10464593690249,10464601653422,7963173
146,10464627071892,10464635599331,8527439
147,10464660359936,10464668392719,8032783
148,10464693738916,10464701712449,7973533
149,10464727043934,10464734698435,7654501
150,10464760401467,10464768751543,8350076
151,10464793812754,10464802029964,8217210
152,10464827039982,10464835103791,8063809
153,10464860469131,10464868806702,8337571
154,10464893845298,10464902511901,8666603
155,10464927009591,10464936455048,9445457
156,10464960388718,10464968991183,8602465
157,10464993838064,10465002522886,8684822
158,10465027179539,10465035589822,8410283
159,10465060482831,10465068763399,8280568
160,10465093930116,10465101746810,7816694
161,10465127284670,10465135532576,8247906
162,10465160358526,10465169300448,8941922
163,10465193690769,10465201870973,8180204
164,10465227034651,10465235465896,8431245
165,10465260391070,10465268695348,8304278
166,10465293726170,10465301886612,8160442
167,10465327039630,10465335164060,8124430
168,10465360380320,10465368588951,8208631
169,10465393730978,10465402553950,8822972
170,10465427067301,10465435431277,8363976
171,10465460356374,10465468701573,8345199
172,10465493715395,10465501851966,8136571
173,10465527030277,10465535807497,8777220
174,10465560354961,10465568998921,8643960
175,10465593712687,10465601823128,8110441
176,10465627035559,10465635527611,8492052
177,10465660382421,10465668667310,8284889
178,10465693709761,10465701925283,8215522
179,10465727043726,10465735326636,8282910
180,10465760358811,10465771721485,11362674
181,10465793713834,10465803194934,9481100
182,10465827050414,10465836318791,9268377
183,10465860457588,10465869724266,9266678
184,10465893840115,10465902378391,8538276
185,10465927049206,10465936258962,9209756
186,10465960356671,10465968859707,8503036
187,10465993689854,10466002304289,8614435
188,10466027029061,10466035691588,8662527
189,10466060355569,10466069164414,8808845
190,10466093688791,10466102274809,8586018
191,10466127032379,10466136078433,9046054
192,10466160374996,10466169113593,8738597
193,10466193716264,10466202971588,9255324
194,10466227032156,10466235981688,8949532
195,10466260355505,10466269265259,8909754
196,10466293713457,10466302548300,8834843
197,10466327039766,10466335649358,8609592
198,10466360374344,10466368789686,8415342
199,10466393717317,10466402084207,8366890
200,10466427152465,10466436494885,9342420
201,10466460506487,10466469256100,8749613
202,10466493826250,10466503008919,9182669
203,10466527060007,10466535747960,8687953
204,10466560377248,10466569952082,9574834
205,10466593718000,10466603118038,9400038
206,10466627023997,10466636297660,9273663
207,10466660391384,10466670023599,9632215
208,10466693870083,10466703231822,9361739
209,10466727051722,10466736227582,9175860
210,10466760356239,10466769533187,9176948
211,10466793721861,10466802766766,9044905
212,10466827048107,10466836215292,9167185
213,10466860526944,10466869646203,9119259
214,10466893746778,10466902557880,8811102
215,10466927248341,10466936565564,9317223
216,10466960387042,10466969894953,9507911
217,10466993713205,10467004762671,11049466
218,10467027040358,10467035681559,8641201
219,10467060383438,10467069135109,8751671
220,10467093729831,10467102828741,9098910
221,10467127119468,10467136160993,9041525
222,10467160484340,10467169018314,8533974
223,10467193691726,10467202225012,8533286
224,10467227048896,10467238368412,11319516
225,10467260383637,10467269936348,9552711
226,10467293691997,10467302682750,8990753
227,10467327056324,10467335827506,8771182
228,10467360382356,10467368769350,8386994
229,10467393716671,10467402065180,8348509
230,10467427029204,10467435340305,8311101
231,10467460382211,10467468689476,8307265
232,10467493720104,10467502096971,8376867
233,10467527004504,10467535413293,8408789
234,10467560384279,10467568725860,8341581
235,10467593725583,10467601918527,8192944
236,10467627177351,10467635813076,8635725
237,10467660357782,10467668244786,7887004
238,10467693727407,10467701719694,7992287
239,10467727181690,10467735523575,8341885
240,10467760360958,10467768604278,8243320
241,10467793721033,10467802298804,8577771
242,10467827055190,10467835896527,8841337
243,10467860359564,10467869019224,8659660
244,10467893722377,10467902322604,8600227
245,10467927151334,10467935695032,8543698
246,10467960360622,10467968668567,8307945
247,10467993715408,10468001988112,8272704
248,10468027190169,10468035529872,8339703
249,10468060359252,10468068663189,8303937
250,10468093721716,10468101847179,8125463
