tick_ns,sid,pid,comm,cpu_pct
507318822,427828,427828,ros2,0.00
507318822,427828,427845,usb_cam_node_ex,8.00
507318822,427828,427846,web_video_serve,14.00
1008505922,427828,427828,ros2,0.00
1008505922,427828,427845,usb_cam_node_ex,10.00
1008505922,427828,427846,web_video_serve,20.00
1507390430,427828,427828,ros2,0.00
1507390430,427828,427845,usb_cam_node_ex,6.00
1507390430,427828,427846,web_video_serve,20.00
2007134855,427828,427828,ros2,0.00
2007134855,427828,427845,usb_cam_node_ex,10.00
2007134855,427828,427846,web_video_serve,20.00
2507311020,427828,427828,ros2,0.00
2507311020,427828,427845,usb_cam_node_ex,8.00
2507311020,427828,427846,web_video_serve,18.00
3007249667,427828,427828,ros2,0.00
3007249667,427828,427845,usb_cam_node_ex,8.00
3007249667,427828,427846,web_video_serve,18.00
3507245418,427828,427828,ros2,0.00
3507245418,427828,427845,usb_cam_node_ex,8.00
3507245418,427828,427846,web_video_serve,22.00
4007713615,427828,427828,ros2,0.00
4007713615,427828,427845,usb_cam_node_ex,8.00
4007713615,427828,427846,web_video_serve,20.00
4507394671,427828,427828,ros2,0.00
4507394671,427828,427845,usb_cam_node_ex,8.00
4507394671,427828,427846,web_video_serve,20.00
5007236516,427828,427828,ros2,0.00
5007236516,427828,427845,usb_cam_node_ex,8.00
5007236516,427828,427846,web_video_serve,20.00
5507222952,427828,427828,ros2,0.00
5507222952,427828,427845,usb_cam_node_ex,6.00
5507222952,427828,427846,web_video_serve,18.00
6007186609,427828,427828,ros2,0.00
6007186609,427828,427845,usb_cam_node_ex,8.00
6007186609,427828,427846,web_video_serve,20.00
6507233809,427828,427828,ros2,0.00
6507233809,427828,427845,usb_cam_node_ex,8.00
6507233809,427828,427846,web_video_serve,18.00
7012534650,427828,427828,ros2,0.00
7012534650,427828,427845,usb_cam_node_ex,8.00
7012534650,427828,427846,web_video_serve,22.00
7507084313,427828,427828,ros2,0.00
7507084313,427828,427845,usb_cam_node_ex,6.00
7507084313,427828,427846,web_video_serve,18.00
8007631021,427828,427828,ros2,0.00
8007631021,427828,427845,usb_cam_node_ex,8.00
8007631021,427828,427846,web_video_serve,20.00
8507316614,427828,427828,ros2,0.00
8507316614,427828,427845,usb_cam_node_ex,8.00
8507316614,427828,427846,web_video_serve,20.00
9007522233,427828,427828,ros2,0.00
9007522233,427828,427845,usb_cam_node_ex,6.00
9007522233,427828,427846,web_video_serve,16.00
9507072554,427828,427828,ros2,0.00
9507072554,427828,427845,usb_cam_node_ex,6.00
9507072554,427828,427846,web_video_serve,20.00
10007747058,427828,427828,ros2,0.00
10007747058,427828,427845,usb_cam_node_ex,8.00
10007747058,427828,427846,web_video_serve,18.00
10506948343,427828,427828,ros2,0.00
10506948343,427828,427845,usb_cam_node_ex,8.00
10506948343,427828,427846,web_video_serve,18.00
11007583940,427828,427828,ros2,0.00
11007583940,427828,427845,usb_cam_node_ex,4.00
11007583940,427828,427846,web_video_serve,20.00
11508855105,427828,427828,ros2,0.00
11508855105,427828,427845,usb_cam_node_ex,8.00
11508855105,427828,427846,web_video_serve,20.00
12007380345,427828,427828,ros2,0.00
12007380345,427828,427845,usb_cam_node_ex,10.00
12007380345,427828,427846,web_video_serve,24.00
12507100275,427828,427828,ros2,0.00
12507100275,427828,427845,usb_cam_node_ex,6.00
12507100275,427828,427846,web_video_serve,22.00
13007722715,427828,427828,ros2,0.00
13007722715,427828,427845,usb_cam_node_ex,6.00
13007722715,427828,427846,web_video_serve,18.00
13507389728,427828,427828,ros2,0.00
13507389728,427828,427845,usb_cam_node_ex,8.00
13507389728,427828,427846,web_video_serve,18.00
14007863398,427828,427828,ros2,0.00
14007863398,427828,427845,usb_cam_node_ex,8.00
14007863398,427828,427846,web_video_serve,20.00
14507604674,427828,427828,ros2,0.00
14507604674,427828,427845,usb_cam_node_ex,6.00
14507604674,427828,427846,web_video_serve,18.00
