tick_ns,sid,pid,comm,cpu_pct
508452601,432366,432366,ros2,0.00
508452601,432366,432384,camera_server_s,56.00
1007556911,432366,432366,ros2,0.00
1007556911,432366,432384,camera_server_s,20.00
1507954048,432366,432366,ros2,0.00
1507954048,432366,432384,camera_server_s,8.00
2007232538,432366,432366,ros2,0.00
2007232538,432366,432384,camera_server_s,10.00
2507355393,432366,432366,ros2,0.00
2507355393,432366,432384,camera_server_s,8.00
3007097503,432366,432366,ros2,0.00
3007097503,432366,432384,camera_server_s,8.00
3507277128,432366,432366,ros2,0.00
3507277128,432366,432384,camera_server_s,6.00
4007200248,432366,432366,ros2,0.00
4007200248,432366,432384,camera_server_s,8.00
4507236243,432366,432366,ros2,0.00
4507236243,432366,432384,camera_server_s,8.00
5007111580,432366,432366,ros2,0.00
5007111580,432366,432384,camera_server_s,6.00
5506965287,432366,432366,ros2,0.00
5506965287,432366,432384,camera_server_s,8.00
6007160042,432366,432366,ros2,0.00
6007160042,432366,432384,camera_server_s,10.00
6507344315,432366,432366,ros2,0.00
6507344315,432366,432384,camera_server_s,6.00
7007680240,432366,432366,ros2,0.00
7007680240,432366,432384,camera_server_s,10.00
7507073045,432366,432366,ros2,0.00
7507073045,432366,432384,camera_server_s,6.00
8007041905,432366,432366,ros2,0.00
8007041905,432366,432384,camera_server_s,8.00
8507582432,432366,432366,ros2,0.00
8507582432,432366,432384,camera_server_s,8.00
9007486445,432366,432366,ros2,0.00
9007486445,432366,432384,camera_server_s,8.00
9507003940,432366,432366,ros2,0.00
9507003940,432366,432384,camera_server_s,6.00
10007139742,432366,432366,ros2,0.00
10007139742,432366,432384,camera_server_s,8.00
10507451463,432366,432366,ros2,0.00
10507451463,432366,432384,camera_server_s,8.00
11007185717,432366,432366,ros2,0.00
11007185717,432366,432384,camera_server_s,8.00
11507442439,432366,432366,ros2,0.00
11507442439,432366,432384,camera_server_s,8.00
12006869243,432366,432366,ros2,0.00
12006869243,432366,432384,camera_server_s,8.00
12507221211,432366,432366,ros2,0.00
12507221211,432366,432384,camera_server_s,8.00
13007502670,432366,432366,ros2,0.00
13007502670,432366,432384,camera_server_s,6.00
13507515075,432366,432366,ros2,0.00
13507515075,432366,432384,camera_server_s,8.00
14007510684,432366,432366,ros2,0.00
14007510684,432366,432384,camera_server_s,8.00
14507153539,432366,432366,ros2,0.00
14507153539,432366,432384,camera_server_s,8.00
