tick_ns,sid,pid,comm,cpu_pct
511406329,1242228,1242228,ros2,64.00
511406329,1242228,1242247,camera_server_s,0.00
1007630417,1242228,1242228,ros2,0.00
1007630417,1242228,1242247,camera_server_s,28.00
1515775765,1242228,1242228,ros2,0.00
1515775765,1242228,1242247,camera_server_s,24.00
2015497123,1242228,1242228,ros2,0.00
2015497123,1242228,1242247,camera_server_s,30.00
2515933426,1242228,1242228,ros2,0.00
2515933426,1242228,1242247,camera_server_s,30.00
3006080585,1242228,1242228,ros2,0.00
3006080585,1242228,1242247,camera_server_s,22.00
3506049829,1242228,1242228,ros2,0.00
3506049829,1242228,1242247,camera_server_s,12.00
4006124533,1242228,1242228,ros2,0.00
4006124533,1242228,1242247,camera_server_s,14.00
4505784426,1242228,1242228,ros2,0.00
4505784426,1242228,1242247,camera_server_s,14.00
5006035271,1242228,1242228,ros2,0.00
5006035271,1242228,1242247,camera_server_s,14.00
5506059606,1242228,1242228,ros2,0.00
5506059606,1242228,1242247,camera_server_s,14.00
6006249654,1242228,1242228,ros2,0.00
6006249654,1242228,1242247,camera_server_s,12.00
6506277418,1242228,1242228,ros2,0.00
6506277418,1242228,1242247,camera_server_s,16.00
7006088268,1242228,1242228,ros2,0.00
7006088268,1242228,1242247,camera_server_s,14.00
7506128735,1242228,1242228,ros2,0.00
7506128735,1242228,1242247,camera_server_s,14.00
8006313559,1242228,1242228,ros2,0.00
8006313559,1242228,1242247,camera_server_s,14.00
8506649229,1242228,1242228,ros2,0.00
8506649229,1242228,1242247,camera_server_s,14.00
9006090920,1242228,1242228,ros2,0.00
9006090920,1242228,1242247,camera_server_s,12.00
9506455692,1242228,1242228,ros2,0.00
9506455692,1242228,1242247,camera_server_s,16.00
10005988292,1242228,1242228,ros2,0.00
10005988292,1242228,1242247,camera_server_s,12.00
10506294601,1242228,1242228,ros2,0.00
10506294601,1242228,1242247,camera_server_s,14.00
11006102147,1242228,1242228,ros2,0.00
11006102147,1242228,1242247,camera_server_s,14.00
11506107595,1242228,1242228,ros2,0.00
11506107595,1242228,1242247,camera_server_s,14.00
12006116634,1242228,1242228,ros2,0.00
12006116634,1242228,1242247,camera_server_s,14.00
12506269743,1242228,1242228,ros2,0.00
12506269743,1242228,1242247,camera_server_s,14.00
13006096507,1242228,1242228,ros2,0.00
13006096507,1242228,1242247,camera_server_s,14.00
13506128505,1242228,1242228,ros2,0.00
13506128505,1242228,1242247,camera_server_s,14.00
14005998627,1242228,1242228,ros2,0.00
14005998627,1242228,1242247,camera_server_s,14.00
14506326871,1242228,1242228,ros2,0.00
14506326871,1242228,1242247,camera_server_s,14.00
15006332350,1242228,1242228,ros2,0.00
15006332350,1242228,1242247,camera_server_s,12.00
15505814696,1242228,1242228,ros2,0.00
15505814696,1242228,1242247,camera_server_s,16.00
16006286646,1242228,1242228,ros2,0.00
16006286646,1242228,1242247,camera_server_s,14.00
16506325194,1242228,1242228,ros2,0.00
16506325194,1242228,1242247,camera_server_s,14.00
17006084077,1242228,1242228,ros2,0.00
17006084077,1242228,1242247,camera_server_s,12.00
17506111318,1242228,1242228,ros2,0.00
17506111318,1242228,1242247,camera_server_s,14.00
18005980702,1242228,1242228,ros2,0.00
18005980702,1242228,1242247,camera_server_s,14.00
18506104814,1242228,1242228,ros2,0.00
18506104814,1242228,1242247,camera_server_s,14.00
19006053179,1242228,1242228,ros2,0.00
19006053179,1242228,1242247,camera_server_s,14.00
19506042758,1242228,1242228,ros2,0.00
19506042758,1242228,1242247,camera_server_s,14.00
20005989169,1242228,1242228,ros2,0.00
20005989169,1242228,1242247,camera_server_s,12.00
20506356765,1242228,1242228,ros2,0.00
20506356765,1242228,1242247,camera_server_s,14.00
21006183837,1242228,1242228,ros2,0.00
21006183837,1242228,1242247,camera_server_s,16.00
21506034092,1242228,1242228,ros2,0.00
21506034092,1242228,1242247,camera_server_s,16.00
22006077343,1242228,1242228,ros2,0.00
22006077343,1242228,1242247,camera_server_s,12.00
22505856704,1242228,1242228,ros2,0.00
22505856704,1242228,1242247,camera_server_s,16.00
23006129581,1242228,1242228,ros2,0.00
23006129581,1242228,1242247,camera_server_s,12.00
23506020348,1242228,1242228,ros2,0.00
23506020348,1242228,1242247,camera_server_s,14.00
24006140636,1242228,1242228,ros2,0.00
24006140636,1242228,1242247,camera_server_s,14.00
24506038751,1242228,1242228,ros2,0.00
24506038751,1242228,1242247,camera_server_s,14.00
25006362525,1242228,1242228,ros2,0.00
25006362525,1242228,1242247,camera_server_s,14.00
25506109124,1242228,1242228,ros2,0.00
25506109124,1242228,1242247,camera_server_s,12.00
26006206215,1242228,1242228,ros2,0.00
26006206215,1242228,1242247,camera_server_s,16.00
26506069361,1242228,1242228,ros2,0.00
26506069361,1242228,1242247,camera_server_s,12.00
27006249694,1242228,1242228,ros2,0.00
27006249694,1242228,1242247,camera_server_s,16.00
27505972625,1242228,1242228,ros2,0.00
27505972625,1242228,1242247,camera_server_s,12.00
28005929238,1242228,1242228,ros2,0.00
28005929238,1242228,1242247,camera_server_s,14.00
28505920932,1242228,1242228,ros2,0.00
28505920932,1242228,1242247,camera_server_s,12.00
29005868714,1242228,1242228,ros2,0.00
29005868714,1242228,1242247,camera_server_s,16.00
29505870925,1242228,1242228,ros2,0.00
29505870925,1242228,1242247,camera_server_s,12.00
