frame_id,send_ts_ns,recv_ts_ns,latency_ns
114,97562454419395,97562463445902,9026507
115,97562487818133,97562500473563,12655430
116,97562521047259,97562533997438,12950179
117,97562554486030,97562563695749,9209719
118,97562587812520,97562601533146,13720626
119,97562621010020,97562635992582,14982562
120,97562654437205,97562668996773,14559568
121,97562687748191,97562702438799,14690608
122,97562721049639,97562735539797,14490158
123,97562754413187,97562768443962,14030775
124,97562787753124,97562799786808,12033684
125,97562821076427,97562835969402,14892975
126,97562854380466,97562869058133,14677667
127,97562887747696,97562902030071,14282375
128,97562921196227,97562933848714,12652487
129,97562954660788,97562964107856,9447068
130,97562987951729,97562997355937,9404208
131,97563021252472,97563030568016,9315544
132,97563054378665,97563063468320,9089655
133,97563087898927,97563097099879,9200952
134,97563121251264,97563130531168,9279904
135,97563154573971,97563163598013,9024042
136,97563187888266,97563197057653,9169387
137,97563221267676,97563230516597,9248921
138,97563254622612,97563263728212,9105600
139,97563287954314,97563297291955,9337641
140,97563321197351,97563330160031,8962680
141,97563354608388,97563363630954,9022566
142,97563387951882,97563397016658,9064776
143,97563421235078,97563430445016,9209938
144,97563454378073,97563462194523,7816450
145,97563487886784,97563497270065,9383281
146,97563521225568,97563530189535,8963967
147,97563554575593,97563563866311,9290718
148,97563587948732,97563597174951,9226219
149,97563621245887,97563630368442,9122555
150,97563654613922,97563663598060,8984138
151,97563687963644,97563696944051,8980407
152,97563721286835,97563730436627,9149792
153,97563754560063,97563763540469,8980406
154,97563787896562,97563796883339,8986777
155,97563821151393,97563829922895,8771502
156,97563854405579,97563863248249,8842670
157,97563887818601,97563897524064,9705463
158,97563921259019,97563930330127,9071108
159,97563954378482,97563963384377,9005895
160,97563987906828,97563997707899,9801071
161,97564021231655,97564030430098,9198443
162,97564054378282,97564063443070,9064788
163,97564087924465,97564097207413,9282948
164,97564121297312,97564130463441,9166129
165,97564154378674,97564163431997,9053323
166,97564187780580,97564197014812,9234232
167,97564221342604,97564230444801,9102197
168,97564254411035,97564263379582,8968547
169,97564287888164,97564297025657,9137493
170,97564321052866,97564330134908,9082042
171,97564354377976,97564363387848,9009872
172,97564387742664,97564396952937,9210273
173,97564421255619,97564430438146,9182527
174,97564454526921,97564462031994,7505073
175,97564487823914,97564496981348,9157434
176,97564521223695,97564530169555,8945860
177,97564554433958,97564563607859,9173901
178,97564587907030,97564597379192,9472162
179,97564621200039,97564630405358,9205319
180,97564654409925,97564663554512,9144587
181,97564687711111,97564696743236,9032125
182,97564721200336,97564730396117,9195781
183,97564754581262,97564763488374,8907112
184,97564787768651,97564796876545,9107894
185,97564821146665,97564830006131,8859466
186,97564854393805,97564863361115,8967310
187,97564887944730,97564897151281,9206551
188,97564921219007,97564930243811,9024804
189,97564954572414,97564963696391,9123977
190,97564987915840,97564996910562,8994722
191,97565021167259,97565030104231,8936972
192,97565054378051,97565063401985,9023934
193,97565087906460,97565097197343,9290883
194,97565121265519,97565130261463,8995944
195,97565154590233,97565163735422,9145189
