tick_ns,sid,pid,comm,cpu_pct
506046648,1274128,1274128,ros2,0.00
506046648,1274128,1274146,camera_server_s,26.00
1006018553,1274128,1274128,ros2,0.00
1006018553,1274128,1274146,camera_server_s,8.00
1506205693,1274128,1274128,ros2,0.00
1506205693,1274128,1274146,camera_server_s,12.00
2006127674,1274128,1274128,ros2,0.00
2006127674,1274128,1274146,camera_server_s,8.00
2506210380,1274128,1274128,ros2,0.00
2506210380,1274128,1274146,camera_server_s,10.00
3006229515,1274128,1274128,ros2,0.00
3006229515,1274128,1274146,camera_server_s,8.00
3505989136,1274128,1274128,ros2,0.00
3505989136,1274128,1274146,camera_server_s,10.00
4006122592,1274128,1274128,ros2,0.00
4006122592,1274128,1274146,camera_server_s,8.00
4506113154,1274128,1274128,ros2,0.00
4506113154,1274128,1274146,camera_server_s,10.00
5007570617,1274128,1274128,ros2,0.00
5007570617,1274128,1274146,camera_server_s,10.00
5506213371,1274128,1274128,ros2,0.00
5506213371,1274128,1274146,camera_server_s,10.00
6005966522,1274128,1274128,ros2,0.00
6005966522,1274128,1274146,camera_server_s,8.00
6505813034,1274128,1274128,ros2,0.00
6505813034,1274128,1274146,camera_server_s,10.00
7006035596,1274128,1274128,ros2,0.00
7006035596,1274128,1274146,camera_server_s,8.00
7505848957,1274128,1274128,ros2,0.00
7505848957,1274128,1274146,camera_server_s,10.00
8006514955,1274128,1274128,ros2,0.00
8006514955,1274128,1274146,camera_server_s,8.00
8506054950,1274128,1274128,ros2,0.00
8506054950,1274128,1274146,camera_server_s,10.00
9005979408,1274128,1274128,ros2,0.00
9005979408,1274128,1274146,camera_server_s,8.00
9505822549,1274128,1274128,ros2,0.00
9505822549,1274128,1274146,camera_server_s,8.00
10008371628,1274128,1274128,ros2,0.00
10008371628,1274128,1274146,camera_server_s,12.00
10505974054,1274128,1274128,ros2,0.00
10505974054,1274128,1274146,camera_server_s,8.00
11005987557,1274128,1274128,ros2,0.00
11005987557,1274128,1274146,camera_server_s,8.00
11505918711,1274128,1274128,ros2,0.00
11505918711,1274128,1274146,camera_server_s,8.00
12006072522,1274128,1274128,ros2,0.00
12006072522,1274128,1274146,camera_server_s,10.00
12505931191,1274128,1274128,ros2,0.00
12505931191,1274128,1274146,camera_server_s,8.00
13006246333,1274128,1274128,ros2,0.00
13006246333,1274128,1274146,camera_server_s,10.00
13506168903,1274128,1274128,ros2,0.00
13506168903,1274128,1274146,camera_server_s,8.00
14007471515,1274128,1274128,ros2,0.00
14007471515,1274128,1274146,camera_server_s,10.00
14505868094,1274128,1274128,ros2,0.00
14505868094,1274128,1274146,camera_server_s,8.00
15005979023,1274128,1274128,ros2,0.00
15005979023,1274128,1274146,camera_server_s,10.00
15506059931,1274128,1274128,ros2,0.00
15506059931,1274128,1274146,camera_server_s,10.00
16006085079,1274128,1274128,ros2,0.00
16006085079,1274128,1274146,camera_server_s,8.00
16506164951,1274128,1274128,ros2,0.00
16506164951,1274128,1274146,camera_server_s,8.00
17006058151,1274128,1274128,ros2,0.00
17006058151,1274128,1274146,camera_server_s,10.00
17505895164,1274128,1274128,ros2,0.00
17505895164,1274128,1274146,camera_server_s,8.00
18006072118,1274128,1274128,ros2,0.00
18006072118,1274128,1274146,camera_server_s,10.00
18505772866,1274128,1274128,ros2,0.00
18505772866,1274128,1274146,camera_server_s,8.00
19005843873,1274128,1274128,ros2,0.00
19005843873,1274128,1274146,camera_server_s,8.00
19506042096,1274128,1274128,ros2,0.00
19506042096,1274128,1274146,camera_server_s,8.00
20006085114,1274128,1274128,ros2,0.00
20006085114,1274128,1274146,camera_server_s,10.00
20506040627,1274128,1274128,ros2,0.00
20506040627,1274128,1274146,camera_server_s,8.00
21006164100,1274128,1274128,ros2,0.00
21006164100,1274128,1274146,camera_server_s,12.00
21506252805,1274128,1274128,ros2,0.00
21506252805,1274128,1274146,camera_server_s,8.00
22006023957,1274128,1274128,ros2,0.00
22006023957,1274128,1274146,camera_server_s,8.00
22506029437,1274128,1274128,ros2,0.00
22506029437,1274128,1274146,camera_server_s,8.00
23006021055,1274128,1274128,ros2,0.00
23006021055,1274128,1274146,camera_server_s,12.00
23506035869,1274128,1274128,ros2,0.00
23506035869,1274128,1274146,camera_server_s,10.00
24005731777,1274128,1274128,ros2,0.00
24005731777,1274128,1274146,camera_server_s,8.00
24505721571,1274128,1274128,ros2,0.00
24505721571,1274128,1274146,camera_server_s,10.00
25005817545,1274128,1274128,ros2,0.00
25005817545,1274128,1274146,camera_server_s,10.00
25505756591,1274128,1274128,ros2,0.00
25505756591,1274128,1274146,camera_server_s,8.00
26005748652,1274128,1274128,ros2,0.00
26005748652,1274128,1274146,camera_server_s,10.00
26505870566,1274128,1274128,ros2,0.00
26505870566,1274128,1274146,camera_server_s,8.00
27005961412,1274128,1274128,ros2,0.00
27005961412,1274128,1274146,camera_server_s,10.00
27506128957,1274128,1274128,ros2,0.00
27506128957,1274128,1274146,camera_server_s,10.00
28006062460,1274128,1274128,ros2,0.00
28006062460,1274128,1274146,camera_server_s,8.00
28506034635,1274128,1274128,ros2,0.00
28506034635,1274128,1274146,camera_server_s,10.00
29005873484,1274128,1274128,ros2,0.00
29005873484,1274128,1274146,camera_server_s,8.00
29505935513,1274128,1274128,ros2,0.00
29505935513,1274128,1274146,camera_server_s,8.00
