frame_id,send_ts_ns,recv_ts_ns,latency_ns
114,98268052069723,98268070969172,18899449
115,98268085418906,98268105243333,19824427
116,98268118552809,98268138514660,19961851
117,98268152124526,98268172597599,20473073
118,98268185350670,98268204903411,19552741
119,98268218746590,98268238797571,20050981
120,98268252080818,98268271704116,19623298
121,98268285256580,98268305493923,20237343
122,98268318738622,98268338953819,20215197
123,98268352094292,98268371632356,19538064
124,98268385417177,98268405163338,19746161
125,98268418697550,98268438297068,19599518
126,98268452130407,98268471615244,19484837
127,98268485345487,98268505238849,19893362
128,98268518714433,98268538264700,19550267
129,98268552034762,98268571513460,19478698
130,98268585372548,98268605132552,19760004
131,98268618651436,98268638557966,19906530
132,98268652123080,98268672175712,20052632
133,98268685332768,98268705053419,19720651
134,98268718729463,98268738136924,19407461
135,98268752087336,98268771387590,19300254
136,98268785383260,98268804656360,19273100
137,98268818688051,98268838313740,19625689
138,98268851936159,98268871807505,19871346
139,98268885292855,98268905364670,20071815
140,98268918610672,98268938112433,19501761
141,98268952089321,98268971755218,19665897
142,98268985358828,98269004775222,19416394
143,98269018785986,98269038506425,19720439
144,98269052031394,98269070485258,18453864
145,98269085362265,98269104980078,19617813
146,98269118729856,98269138287697,19557841
147,98269151986073,98269171461661,19475588
148,98269185348174,98269205485004,20136830
149,98269218610376,98269238270895,19660519
150,98269252135964,98269271770462,19634498
151,98269285356978,98269306823971,21466993
152,98269318740345,98269338258108,19517763
153,98269352049125,98269371515393,19466268
154,98269385388910,98269404863085,19474175
155,98269418742893,98269440746076,22003183
156,98269451888957,98269473921937,22032980
157,98269485239562,98269505437435,20197873
158,98269518723721,98269538965487,20241766
159,98269552087079,98269572547484,20460405
160,98269585356310,98269605584948,20228638
161,98269618672941,98269638462037,19789096
162,98269652096007,98269671811187,19715180
163,98269685461000,98269705248926,19787926
164,98269718554690,98269739666214,21111524
165,98269752124708,98269772484422,20359714
166,98269785277157,98269805640087,20362930
167,98269818743702,98269839019387,20275685
168,98269852007217,98269871969650,19962433
169,98269885414600,98269904863043,19448443
170,98269918788385,98269938316422,19528037
171,98269952078847,98269972150403,20071556
172,98269985379647,98270004934226,19554579
173,98270018766021,98270038446052,19680031
174,98270052132342,98270070646450,18514108
175,98270085216924,98270104780352,19563428
176,98270118741349,98270138704019,19962670
177,98270152082629,98270171475852,19393223
178,98270185328921,98270204792638,19463717
179,98270218757174,98270238270410,19513236
180,98270252080588,98270271552896,19472308
181,98270285334221,98270305483188,20148967
182,98270318740767,98270338430452,19689685
183,98270352168297,98270371410544,19242247
184,98270385265898,98270404849843,19583945
185,98270418741642,98270438314158,19572516
186,98270452085469,98270471590630,19505161
187,98270485357479,98270506046340,20688861
188,98270518731882,98270538525740,19793858
189,98270552117839,98270571743433,19625594
190,98270585404463,98270605114827,19710364
191,98270618664670,98270638433324,19768654
192,98270652093652,98270671447122,19353470
193,98270685416828,98270704835752,19418924
194,98270718786193,98270738344915,19558722
195,98270752080674,98270771637252,19556578
196,98270785337007,98270804747759,19410752
197,98270818732457,98270838252873,19520416
198,98270852145694,98270872245255,20099561
199,98270885286490,98270905065139,19778649
200,98270918551410,98270938240903,19689493
201,98270952129518,98270971486077,19356559
202,98270985415174,98271005390332,19975158
203,98271018779296,98271038257460,19478164
204,98271052077888,98271070334744,18256856
205,98271085218517,98271104727241,19508724
206,98271118753055,98271138430708,19677653
207,98271152122212,98271171602682,19480470
208,98271185218918,98271204847930,19629012
209,98271218598430,98271239440085,20841655
210,98271252138332,98271271862380,19724048
211,98271285421044,98271305498354,20077310
212,98271318667551,98271338046560,19379009
213,98271352086963,98271371767867,19680904
214,98271385400196,98271405036353,19636157
215,98271418742303,98271438390480,19648177
216,98271452042489,98271471629756,19587267
217,98271485287377,98271505444323,20156946
218,98271518606268,98271538897370,20291102
219,98271552075912,98271571972896,19896984
220,98271585384866,98271605134574,19749708
221,98271618749685,98271639163814,20414129
222,98271652085646,98271671668459,19582813
223,98271685382076,98271705495986,20113910
224,98271718738482,98271739282399,20543917
225,98271752093100,98271773703029,21609929
226,98271785307828,98271806455513,21147685
227,98271818735560,98271839136494,20400934
228,98271852079502,98271872377633,20298131
229,98271885460704,98271905474333,20013629
230,98271918770181,98271938902359,20132178
