tick_ns,sid,pid,comm,cpu_pct
507057493,227434,227434,ros2,0.00
507057493,227434,227450,camera_server_s,40.00
1007525283,227434,227434,ros2,0.00
1007525283,227434,227450,camera_server_s,16.00
1507698514,227434,227434,ros2,0.00
1507698514,227434,227450,camera_server_s,10.00
2007986769,227434,227434,ros2,0.00
2007986769,227434,227450,camera_server_s,12.00
2507268937,227434,227434,ros2,0.00
2507268937,227434,227450,camera_server_s,12.00
3007792706,227434,227434,ros2,0.00
3007792706,227434,227450,camera_server_s,10.00
3507048604,227434,227434,ros2,0.00
3507048604,227434,227450,camera_server_s,10.00
4007299531,227434,227434,ros2,0.00
4007299531,227434,227450,camera_server_s,8.00
4507026018,227434,227434,ros2,0.00
4507026018,227434,227450,camera_server_s,10.00
5007301313,227434,227434,ros2,0.00
5007301313,227434,227450,camera_server_s,12.00
5507092927,227434,227434,ros2,0.00
5507092927,227434,227450,camera_server_s,8.00
6007106513,227434,227434,ros2,0.00
6007106513,227434,227450,camera_server_s,12.00
6507067637,227434,227434,ros2,0.00
6507067637,227434,227450,camera_server_s,8.00
7007322963,227434,227434,ros2,0.00
7007322963,227434,227450,camera_server_s,12.00
7507110814,227434,227434,ros2,0.00
7507110814,227434,227450,camera_server_s,10.00
8006950156,227434,227434,ros2,0.00
8006950156,227434,227450,camera_server_s,8.00
8507038819,227434,227434,ros2,0.00
8507038819,227434,227450,camera_server_s,10.00
9006920605,227434,227434,ros2,0.00
9006920605,227434,227450,camera_server_s,10.00
9508140044,227434,227434,ros2,0.00
9508140044,227434,227450,camera_server_s,10.00
10006965987,227434,227434,ros2,0.00
10006965987,227434,227450,camera_server_s,10.00
10506893181,227434,227434,ros2,0.00
10506893181,227434,227450,camera_server_s,10.00
11007150782,227434,227434,ros2,0.00
11007150782,227434,227450,camera_server_s,10.00
11508009436,227434,227434,ros2,0.00
11508009436,227434,227450,camera_server_s,10.00
12007297179,227434,227434,ros2,0.00
12007297179,227434,227450,camera_server_s,10.00
12507094096,227434,227434,ros2,0.00
12507094096,227434,227450,camera_server_s,10.00
13007754002,227434,227434,ros2,0.00
13007754002,227434,227450,camera_server_s,12.00
13507188959,227434,227434,ros2,0.00
13507188959,227434,227450,camera_server_s,8.00
14007076513,227434,227434,ros2,0.00
14007076513,227434,227450,camera_server_s,10.00
14507014145,227434,227434,ros2,0.00
14507014145,227434,227450,camera_server_s,8.00
