tick_ns,sid,pid,comm,cpu_pct
506469925,1277114,1277114,ros2,0.00
506469925,1277114,1277130,web_video_serve,32.00
1006434293,1277114,1277114,ros2,0.00
1006434293,1277114,1277130,web_video_serve,36.00
1506450784,1277114,1277114,ros2,0.00
1506450784,1277114,1277130,web_video_serve,36.00
2006704817,1277114,1277114,ros2,0.00
2006704817,1277114,1277130,web_video_serve,36.00
2507601335,1277114,1277114,ros2,0.00
2507601335,1277114,1277130,web_video_serve,36.00
3008489599,1277114,1277114,ros2,0.00
3008489599,1277114,1277130,web_video_serve,34.00
3506211494,1277114,1277114,ros2,0.00
3506211494,1277114,1277130,web_video_serve,34.00
4006388934,1277114,1277114,ros2,0.00
4006388934,1277114,1277130,web_video_serve,36.00
4506367858,1277114,1277114,ros2,0.00
4506367858,1277114,1277130,web_video_serve,36.00
5006378031,1277114,1277114,ros2,0.00
5006378031,1277114,1277130,web_video_serve,36.00
5506348094,1277114,1277114,ros2,0.00
5506348094,1277114,1277130,web_video_serve,34.00
6006598726,1277114,1277114,ros2,0.00
6006598726,1277114,1277130,web_video_serve,36.00
6506387148,1277114,1277114,ros2,0.00
6506387148,1277114,1277130,web_video_serve,34.00
7006611981,1277114,1277114,ros2,0.00
7006611981,1277114,1277130,web_video_serve,38.00
7506329788,1277114,1277114,ros2,0.00
7506329788,1277114,1277130,web_video_serve,34.00
8006435241,1277114,1277114,ros2,0.00
8006435241,1277114,1277130,web_video_serve,36.00
8506300450,1277114,1277114,ros2,0.00
8506300450,1277114,1277130,web_video_serve,38.00
9006351393,1277114,1277114,ros2,0.00
9006351393,1277114,1277130,web_video_serve,34.00
9506315459,1277114,1277114,ros2,0.00
9506315459,1277114,1277130,web_video_serve,36.00
10006427652,1277114,1277114,ros2,0.00
10006427652,1277114,1277130,web_video_serve,34.00
10506308258,1277114,1277114,ros2,0.00
10506308258,1277114,1277130,web_video_serve,36.00
11006398781,1277114,1277114,ros2,0.00
11006398781,1277114,1277130,web_video_serve,34.00
11506373520,1277114,1277114,ros2,0.00
11506373520,1277114,1277130,web_video_serve,36.00
12006305103,1277114,1277114,ros2,0.00
12006305103,1277114,1277130,web_video_serve,34.00
12506419804,1277114,1277114,ros2,0.00
12506419804,1277114,1277130,web_video_serve,38.00
13006223469,1277114,1277114,ros2,0.00
13006223469,1277114,1277130,web_video_serve,34.00
13506164998,1277114,1277114,ros2,0.00
13506164998,1277114,1277130,web_video_serve,38.00
14006213264,1277114,1277114,ros2,0.00
14006213264,1277114,1277130,web_video_serve,32.00
14506212793,1277114,1277114,ros2,0.00
14506212793,1277114,1277130,web_video_serve,38.00
15006046624,1277114,1277114,ros2,0.00
15006046624,1277114,1277130,web_video_serve,36.00
15506177499,1277114,1277114,ros2,0.00
15506177499,1277114,1277130,web_video_serve,34.00
16006364319,1277114,1277114,ros2,0.00
16006364319,1277114,1277130,web_video_serve,36.00
16506242920,1277114,1277114,ros2,0.00
16506242920,1277114,1277130,web_video_serve,34.00
17006303497,1277114,1277114,ros2,0.00
17006303497,1277114,1277130,web_video_serve,38.00
17513157374,1277114,1277114,ros2,0.00
17513157374,1277114,1277130,web_video_serve,36.00
18006453516,1277114,1277114,ros2,0.00
18006453516,1277114,1277130,web_video_serve,34.00
18506158327,1277114,1277114,ros2,0.00
18506158327,1277114,1277130,web_video_serve,36.00
19006205973,1277114,1277114,ros2,0.00
19006205973,1277114,1277130,web_video_serve,36.00
19506281430,1277114,1277114,ros2,0.00
19506281430,1277114,1277130,web_video_serve,38.00
20006159264,1277114,1277114,ros2,0.00
20006159264,1277114,1277130,web_video_serve,34.00
20506334008,1277114,1277114,ros2,0.00
20506334008,1277114,1277130,web_video_serve,36.00
21006296292,1277114,1277114,ros2,0.00
21006296292,1277114,1277130,web_video_serve,34.00
21506262267,1277114,1277114,ros2,0.00
21506262267,1277114,1277130,web_video_serve,36.00
22006359261,1277114,1277114,ros2,0.00
22006359261,1277114,1277130,web_video_serve,36.00
22506481563,1277114,1277114,ros2,0.00
22506481563,1277114,1277130,web_video_serve,36.00
23006356366,1277114,1277114,ros2,0.00
23006356366,1277114,1277130,web_video_serve,32.00
23506537100,1277114,1277114,ros2,0.00
23506537100,1277114,1277130,web_video_serve,36.00
24007235762,1277114,1277114,ros2,0.00
24007235762,1277114,1277130,web_video_serve,36.00
24509645345,1277114,1277114,ros2,0.00
24509645345,1277114,1277130,web_video_serve,36.00
25006301299,1277114,1277114,ros2,0.00
25006301299,1277114,1277130,web_video_serve,34.00
25506372657,1277114,1277114,ros2,0.00
25506372657,1277114,1277130,web_video_serve,38.00
26006381836,1277114,1277114,ros2,0.00
26006381836,1277114,1277130,web_video_serve,36.00
26507360175,1277114,1277114,ros2,0.00
26507360175,1277114,1277130,web_video_serve,34.00
27006633380,1277114,1277114,ros2,0.00
27006633380,1277114,1277130,web_video_serve,36.00
27506295815,1277114,1277114,ros2,0.00
27506295815,1277114,1277130,web_video_serve,36.00
28006268272,1277114,1277114,ros2,0.00
28006268272,1277114,1277130,web_video_serve,34.00
28506189971,1277114,1277114,ros2,0.00
28506189971,1277114,1277130,web_video_serve,36.00
29006188916,1277114,1277114,ros2,0.00
29006188916,1277114,1277130,web_video_serve,34.00
29507048335,1277114,1277114,ros2,0.00
29507048335,1277114,1277130,web_video_serve,36.00
