frame_id,send_ts_ns,recv_ts_ns,latency_ns
125,6075482440126,6075485819103,3378977
126,6075515649945,6075518981732,3331787
127,6075548988835,6075552197583,3208748
128,6075582290504,6075586868999,4578495
129,6075615658259,6075618915268,3257009
130,6075648982667,6075652340346,3357679
131,6075682287655,6075685590483,3302828
132,6075715652468,6075718888348,3235880
133,6075748989491,6075752194019,3204528
134,6075782313098,6075785604877,3291779
135,6075815672069,6075818977109,3305040
136,6075848982674,6075852307711,3325037
137,6075882313276,6075885599541,3286265
138,6075915656080,6075918959678,3303598
139,6075948977738,6075953061762,4084024
140,6075982294967,6075996444432,14149465
141,6076015627381,6076023142225,7514844
142,6076048966614,6076053006795,4040181
143,6076082326341,6076085690936,3364595
144,6076115653421,6076118962262,3308841
145,6076148985199,6076152197878,3212679
146,6076182287804,6076185474174,3186370
147,6076215786974,6076219111220,3324246
148,6076248955248,6076252287542,3332294
149,6076282287905,6076285591657,3303752
150,6076315655408,6076319094849,3439441
151,6076349083173,6076352589222,3506049
152,6076382403844,6076385720467,3316623
153,6076415734813,6076418988490,3253677
154,6076449080501,6076452435594,3355093
155,6076482410308,6076485646191,3235883
156,6076515649509,6076519340443,3690934
157,6076548985308,6076552528446,3543138
158,6076582291943,6076585766450,3474507
159,6076615654172,6076618641212,2987040
160,6076648983090,6076652053313,3070223
161,6076682334411,6076685587212,3252801
162,6076715695756,6076718860163,3164407
163,6076749037099,6076751953007,2915908
164,6076782317500,6076785799235,3481735
165,6076815787606,6076819208222,3420616
166,6076849116827,6076852498264,3381437
167,6076882459059,6076885991139,3532080
168,6076915709842,6076919117169,3407327
169,6076948999199,6076952931768,3932569
170,6076982318779,6076985722971,3404192
171,6077015686484,6077019270833,3584349
172,6077049014816,6077052280599,3265783
173,6077082423722,6077085997306,3573584
174,6077115779214,6077119139349,3360135
175,6077149177741,6077152651625,3473884
176,6077182520555,6077185962313,3441758
177,6077215750532,6077219084171,3333639
178,6077249131696,6077252525178,3393482
179,6077282334891,6077285735415,3400524
180,6077315758593,6077319099270,3340677
181,6077348962213,6077352269457,3307244
182,6077382471710,6077385883123,3411413
183,6077415757151,6077419287915,3530764
184,6077449028969,6077452212120,3183151
185,6077482542191,6077485852216,3310025
186,6077515730369,6077518957041,3226672
187,6077549076523,6077552156252,3079729
188,6077582294009,6077588517642,6223633
189,6077615810970,6077620096043,4285073
190,6077649109910,6077652438833,3328923
191,6077682414313,6077686074994,3660681
192,6077715798445,6077719134901,3336456
193,6077749123319,6077752424716,3301397
194,6077782435621,6077785829794,3394173
195,6077815707082,6077819061069,3353987
196,6077849122802,6077852429358,3306556
197,6077882447622,6077885680480,3232858
198,6077915643354,6077918883843,3240489
199,6077949114726,6077952416963,3302237
200,6077982407991,6077985676901,3268910
201,6078015656615,6078018875473,3218858
202,6078049143362,6078052256807,3113445
203,6078082413091,6078086147207,3734116
204,6078115666895,6078118786412,3119517
205,6078149086524,6078152346147,3259623
206,6078182449100,6078185783091,3333991
207,6078215733564,6078218924492,3190928
208,6078249091121,6078252168409,3077288
209,6078282417099,6078285478639,3061540
210,6078315731836,6078318897467,3165631
211,6078349124454,6078352318473,3194019
212,6078382445843,6078385714942,3269099
213,6078415730876,6078418902955,3172079
214,6078449110741,6078452455449,3344708
215,6078482438407,6078485768533,3330126
216,6078515622514,6078518780634,3158120
217,6078549012732,6078552215698,3202966
218,6078582292791,6078586010772,3717981
219,6078615678753,6078618766587,3087834
