frame_id,send_ts_ns,recv_ts_ns,latency_ns
85,6159811762606,6159830072788,18310182
86,6159845069287,6159860533470,15464183
87,6159878427529,6159892129952,13702423
88,6159911736509,6159925233702,13497193
89,6159945071929,6159958576484,13504555
90,6159978451525,6159991174281,12722756
91,6160011738688,6160023931226,12192538
92,6160045138264,6160056975325,11837061
93,6160078539593,6160089938613,11399020
94,6160111876482,6160123153051,11276569
95,6160145074232,6160157319153,12244921
96,6160178446026,6160189893439,11447413
97,6160211775034,6160222572391,10797357
98,6160245072995,6160255486525,10413530
99,6160278407779,6160288826230,10418451
100,6160311772637,6160321448007,9675370
101,6160345074786,6160353951081,8876295
102,6160378510616,6160387046855,8536239
103,6160411876191,6160419948747,8072556
104,6160445138008,6160453357562,8219554
105,6160478437421,6160486150134,7712713
106,6160511797572,6160519152796,7355224
107,6160545090589,6160551932411,6841822
108,6160578401010,6160585076580,6675570
109,6160611762256,6160618132284,6370028
110,6160645094783,6160651161043,6066260
111,6160678428446,6160683954966,5526520
112,6160711764628,6160717096539,5331911
113,6160745083747,6160750071310,4987563
114,6160778428171,6160783121561,4693390
115,6160811786719,6160815872306,4085587
116,6160845099532,6160848971663,3872131
117,6160878425272,6160882020284,3595012
118,6160911783726,6160915265250,3481524
119,6160945067689,6160948576846,3509157
120,6160978422550,6160981903702,3481152
121,6161011736266,6161015065008,3328742
122,6161045096353,6161048792023,3695670
123,6161078432651,6161081826810,3394159
124,6161111743969,6161115454343,3710374
125,6161145094881,6161148606598,3511717
126,6161178438882,6161182059997,3621115
127,6161211735350,6161215219467,3484117
128,6161245110144,6161248789181,3679037
129,6161278504427,6161282910407,4405980
130,6161311746259,6161315473837,3727578
131,6161345084083,6161348708786,3624703
132,6161378415563,6161381968475,3552912
133,6161411767412,6161415416976,3649564
134,6161445091517,6161448464180,3372663
135,6161478407388,6161481951929,3544541
136,6161511887232,6161515407174,3519942
137,6161545093165,6161548697108,3603943
138,6161578542962,6161581850565,3307603
139,6161611848649,6161615556836,3708187
140,6161645236610,6161648751848,3515238
141,6161678512372,6161681995895,3483523
142,6161711796293,6161715388121,3591828
143,6161745205205,6161748876623,3671418
144,6161778548857,6161782550561,4001704
145,6161811893529,6161815639060,3745531
146,6161845243999,6161848963453,3719454
147,6161878404413,6161881991055,3586642
148,6161911771083,6161915290631,3519548
149,6161945068237,6161948614194,3545957
150,6161978430355,6161982489742,4059387
151,6162011762664,6162015253205,3490541
152,6162045188083,6162048666777,3478694
153,6162078557665,6162082057175,3499510
154,6162111767035,6162115476271,3709236
155,6162145152450,6162148695947,3543497
156,6162178590493,6162181936947,3346454
157,6162211886792,6162215467647,3580855
158,6162245232170,6162248691083,3458913
159,6162278403368,6162281743820,3340452
160,6162311900107,6162315617533,3717426
161,6162345066960,6162348758891,3691931
162,6162378428759,6162382415744,3986985
163,6162411785992,6162415568991,3782999
164,6162445191025,6162448815901,3624876
165,6162478522866,6162482074086,3551220
166,6162511769746,6162515309068,3539322
167,6162545088741,6162548534538,3445797
168,6162578401127,6162581829206,3428079
169,6162611762821,6162614972073,3209252
170,6162645099561,6162648571283,3471722
171,6162678402422,6162681786900,3384478
172,6162711774614,6162715197606,3422992
173,6162745108391,6162748648572,3540181
174,6162778406020,6162782058728,3652708
175,6162811890306,6162815530738,3640432
176,6162845295907,6162848813668,3517761
177,6162878403739,6162882057309,3653570
