frame_id,send_ts_ns,recv_ts_ns,latency_ns
135,99278548763087,99278555956610,7193523
136,99278581841603,99278588962720,7121117
137,99278615273083,99278622573939,7300856
138,99278648684776,99278655921683,7236907
139,99278682067411,99278689323476,7256065
140,99278715225333,99278722220094,6994761
141,99278748703511,99278755845638,7142127
142,99278782076624,99278789201650,7125026
143,99278815313605,99278822602105,7288500
144,99278848625267,99278855584072,6958805
145,99278881986533,99278889225554,7239021
146,99278915234098,99278922491787,7257689
147,99278948568659,99278955571253,7002594
148,99278982075424,99278989139201,7063777
149,99279015231144,99279022207647,6976503
150,99279048511548,99279055557168,7045620
151,99279082058806,99279089019003,6960197
152,99279115175569,99279121997578,6822009
153,99279148581259,99279155598125,7016866
154,99279181903660,99279189075284,7171624
155,99279215214353,99279222186278,6971925
156,99279248568510,99279255610692,7042182
157,99279281947332,99279288975580,7028248
158,99279315368901,99279322392814,7023913
159,99279348612609,99279355757298,7144689
160,99279382116011,99279389181949,7065938
161,99279415210522,99279422438933,7228411
162,99279448673418,99279455946763,7273345
163,99279481866606,99279488985875,7119269
164,99279515271096,99279522626355,7355259
165,99279548508437,99279555670924,7162487
166,99279582075644,99279589182911,7107267
167,99279615201310,99279622273914,7072604
168,99279648507452,99279655436665,6929213
169,99279682060670,99279689133491,7072821
170,99279715246171,99279722215943,6969772
171,99279748507675,99279755376226,6868551
172,99279781904083,99279788847649,6943566
173,99279815236135,99279822217564,6981429
174,99279848603381,99279855752173,7148792
175,99279881957369,99279889084664,7127295
176,99279915427151,99279922303508,6876357
177,99279948705918,99279955900464,7194546
178,99279981900199,99279989019916,7119717
179,99280015275304,99280022279330,7004026
180,99280048565991,99280055574686,7008695
181,99280081841505,99280089121510,7280005
182,99280115244888,99280122228367,6983479
183,99280148553143,99280155483881,6930738
184,99280182047867,99280189084136,7036269
185,99280215235503,99280222071473,6835970
186,99280248568199,99280255521694,6953495
187,99280281842274,99280289483342,7641068
188,99280315279733,99280322608932,7329199
189,99280348619241,99280355925343,7306102
190,99280382094554,99280389243056,7148502
191,99280415290807,99280422440625,7149818
192,99280448675834,99280456238052,7562218
193,99280481990912,99280489158936,7168024
194,99280515447949,99280522476011,7028062
195,99280548687898,99280555598592,6910694
196,99280582067939,99280589350460,7282521
197,99280615235694,99280622290406,7054712
198,99280648662507,99280655901879,7239372
199,99280681987492,99280689106096,7118604
200,99280715240294,99280722120666,6880372
201,99280748665195,99280755736923,7071728
202,99280781959384,99280788868993,6909609
203,99280815218535,99280822225065,7006530
204,99280848618676,99280855779816,7161140
205,99280882065593,99280889073322,7007729
206,99280915362676,99280922352991,6990315
207,99280948551101,99280955724986,7173885
208,99280982062245,99280988955421,6893176
209,99281015417199,99281022268879,6851680
210,99281048722464,99281055804591,7082127
211,99281081991537,99281089122017,7130480
212,99281115378085,99281122421094,7043009
213,99281148756574,99281156043135,7286561
214,99281182077648,99281189205626,7127978
215,99281215317316,99281222272943,6955627
216,99281248729242,99281255775106,7045864
217,99281282084609,99281289193153,7108544
218,99281315379617,99281322454646,7075029
219,99281348611429,99281355909170,7297741
220,99281382072709,99281389170429,7097720
221,99281415235025,99281422307795,7072770
222,99281448719067,99281456206498,7487431
223,99281481893661,99281489085367,7191706
224,99281515238213,99281522678341,7440128
225,99281548560099,99281555662764,7102665
226,99281582058969,99281589191623,7132654
227,99281615378484,99281622399365,7020881
228,99281648695074,99281656058622,7363548
229,99281682089505,99281689106113,7016608
230,99281715232340,99281722225293,6992953
231,99281748662686,99281755683203,7020517
232,99281782057757,99281789087768,7030011
233,99281815176462,99281822261767,7085305
234,99281848609084,99281855850725,7241641
235,99281882052805,99281889137148,7084343
236,99281915370207,99281922468958,7098751
237,99281948538858,99281955875930,7337072
238,99281981987499,99281989242624,7255125
239,99282015301553,99282022293100,6991547
240,99282048749317,99282055771248,7021931
241,99282081963232,99282089175790,7212558
242,99282115175465,99282122944215,7768750
243,99282148721375,99282155806926,7085551
244,99282182035578,99282189159934,7124356
245,99282215192470,99282222610714,7418244
246,99282248757631,99282255912860,7155229
247,99282281995319,99282289499857,7504538
248,99282315204743,99282322527525,7322782
249,99282348617433,99282356023086,7405653
250,99282382089707,99282389191826,7102119
251,99282415314381,99282422599110,7284729
252,99282448677706,99282455973541,7295835
253,99282481843973,99282488546317,6702344
254,99282515230149,99282522392891,7162742
255,99282548695663,99282555672412,6976749
256,99282582078676,99282589112491,7033815
257,99282615319558,99282622474011,7154453
258,99282648555995,99282655998733,7442738
259,99282682091915,99282689139372,7047457
260,99282715176390,99282722435566,7259176
261,99282748699276,99282755710739,7011463
262,99282782039293,99282788891143,6851850
263,99282815266038,99282822514978,7248940
264,99282848611638,99282855978607,7366969
