tick_ns,sid,pid,comm,cpu_pct
508224262,1286722,1286722,gst-launch-1.0,26.00
1006151639,1286722,1286722,gst-launch-1.0,20.00
1505936804,1286722,1286722,gst-launch-1.0,20.00
2005950969,1286722,1286722,gst-launch-1.0,20.00
2506029539,1286722,1286722,gst-launch-1.0,18.00
3006188384,1286722,1286722,gst-launch-1.0,20.00
3506059739,1286722,1286722,gst-launch-1.0,20.00
4007911100,1286722,1286722,gst-launch-1.0,18.00
4506365047,1286722,1286722,gst-launch-1.0,20.00
5006132832,1286722,1286722,gst-launch-1.0,18.00
5506165930,1286722,1286722,gst-launch-1.0,18.00
6006113217,1286722,1286722,gst-launch-1.0,20.00
6506114538,1286722,1286722,gst-launch-1.0,18.00
7006228322,1286722,1286722,gst-launch-1.0,20.00
7506145041,1286722,1286722,gst-launch-1.0,18.00
8006082157,1286722,1286722,gst-launch-1.0,18.00
8506130755,1286722,1286722,gst-launch-1.0,20.00
9006243166,1286722,1286722,gst-launch-1.0,18.00
9505917862,1286722,1286722,gst-launch-1.0,20.00
10006186315,1286722,1286722,gst-launch-1.0,18.00
10505831252,1286722,1286722,gst-launch-1.0,20.00
11006014486,1286722,1286722,gst-launch-1.0,18.00
11505862935,1286722,1286722,gst-launch-1.0,20.00
12006086538,1286722,1286722,gst-launch-1.0,18.00
12506227424,1286722,1286722,gst-launch-1.0,20.00
13007796192,1286722,1286722,gst-launch-1.0,20.00
13506887804,1286722,1286722,gst-launch-1.0,20.00
14007540262,1286722,1286722,gst-launch-1.0,18.00
14506357527,1286722,1286722,gst-launch-1.0,20.00
15016011172,1286722,1286722,gst-launch-1.0,20.00
15512785368,1286722,1286722,gst-launch-1.0,18.00
16005981717,1286722,1286722,gst-launch-1.0,20.00
16506282553,1286722,1286722,gst-launch-1.0,18.00
17006166803,1286722,1286722,gst-launch-1.0,18.00
17506106560,1286722,1286722,gst-launch-1.0,20.00
18006319294,1286722,1286722,gst-launch-1.0,18.00
18506028295,1286722,1286722,gst-launch-1.0,18.00
19005978130,1286722,1286722,gst-launch-1.0,18.00
19505981365,1286722,1286722,gst-launch-1.0,20.00
20006018312,1286722,1286722,gst-launch-1.0,18.00
20506393308,1286722,1286722,gst-launch-1.0,18.00
21006058377,1286722,1286722,gst-launch-1.0,20.00
21506144964,1286722,1286722,gst-launch-1.0,18.00
22005976099,1286722,1286722,gst-launch-1.0,20.00
22506316824,1286722,1286722,gst-launch-1.0,20.00
23006058294,1286722,1286722,gst-launch-1.0,18.00
23505929192,1286722,1286722,gst-launch-1.0,20.00
24005904443,1286722,1286722,gst-launch-1.0,18.00
24506157781,1286722,1286722,gst-launch-1.0,18.00
25006072351,1286722,1286722,gst-launch-1.0,20.00
25507686178,1286722,1286722,gst-launch-1.0,18.00
26007955271,1286722,1286722,gst-launch-1.0,20.00
26506229264,1286722,1286722,gst-launch-1.0,18.00
27005991640,1286722,1286722,gst-launch-1.0,20.00
27506240961,1286722,1286722,gst-launch-1.0,18.00
28006133639,1286722,1286722,gst-launch-1.0,20.00
28506322990,1286722,1286722,gst-launch-1.0,18.00
29005886015,1286722,1286722,gst-launch-1.0,18.00
29506042555,1286722,1286722,gst-launch-1.0,20.00
