tick_ns,sid,pid,comm,cpu_pct
509170994,1333209,1333209,ros2,102.00
1008014625,1333209,1333209,ros2,10.00
1008014625,1333209,1333241,camera_server_s,0.00
1508620824,1333209,1333209,ros2,0.00
1508620824,1333209,1333241,camera_server_s,44.00
2009409739,1333209,1333209,ros2,0.00
2009409739,1333209,1333241,camera_server_s,42.00
2506505598,1333209,1333209,ros2,0.00
2506505598,1333209,1333241,camera_server_s,30.00
3006222495,1333209,1333209,ros2,0.00
3006222495,1333209,1333241,camera_server_s,24.00
3506476096,1333209,1333209,ros2,0.00
3506476096,1333209,1333241,camera_server_s,24.00
4007878765,1333209,1333209,ros2,0.00
4007878765,1333209,1333241,camera_server_s,22.00
4506425769,1333209,1333209,ros2,0.00
4506425769,1333209,1333241,camera_server_s,24.00
5006233186,1333209,1333209,ros2,0.00
5006233186,1333209,1333241,camera_server_s,24.00
5506344200,1333209,1333209,ros2,0.00
5506344200,1333209,1333241,camera_server_s,22.00
6006910784,1333209,1333209,ros2,0.00
6006910784,1333209,1333241,camera_server_s,24.00
6506354568,1333209,1333209,ros2,0.00
6506354568,1333209,1333241,camera_server_s,24.00
7006073337,1333209,1333209,ros2,0.00
7006073337,1333209,1333241,camera_server_s,22.00
7506183431,1333209,1333209,ros2,0.00
7506183431,1333209,1333241,camera_server_s,26.00
8006257180,1333209,1333209,ros2,0.00
8006257180,1333209,1333241,camera_server_s,22.00
8506486197,1333209,1333209,ros2,0.00
8506486197,1333209,1333241,camera_server_s,24.00
9006368414,1333209,1333209,ros2,0.00
9006368414,1333209,1333241,camera_server_s,24.00
9506387466,1333209,1333209,ros2,0.00
9506387466,1333209,1333241,camera_server_s,22.00
10006413142,1333209,1333209,ros2,0.00
10006413142,1333209,1333241,camera_server_s,24.00
10506416991,1333209,1333209,ros2,0.00
10506416991,1333209,1333241,camera_server_s,24.00
11006158706,1333209,1333209,ros2,0.00
11006158706,1333209,1333241,camera_server_s,22.00
11506463420,1333209,1333209,ros2,0.00
11506463420,1333209,1333241,camera_server_s,24.00
12009066050,1333209,1333209,ros2,0.00
12009066050,1333209,1333241,camera_server_s,24.00
12506352601,1333209,1333209,ros2,0.00
12506352601,1333209,1333241,camera_server_s,24.00
13006948672,1333209,1333209,ros2,0.00
13006948672,1333209,1333241,camera_server_s,22.00
13506528069,1333209,1333209,ros2,0.00
13506528069,1333209,1333241,camera_server_s,24.00
14006947183,1333209,1333209,ros2,0.00
14006947183,1333209,1333241,camera_server_s,24.00
14506279658,1333209,1333209,ros2,0.00
14506279658,1333209,1333241,camera_server_s,24.00
15006984107,1333209,1333209,ros2,0.00
15006984107,1333209,1333241,camera_server_s,24.00
15506399389,1333209,1333209,ros2,0.00
15506399389,1333209,1333241,camera_server_s,24.00
16007206747,1333209,1333209,ros2,0.00
16007206747,1333209,1333241,camera_server_s,22.00
16508701900,1333209,1333209,ros2,0.00
16508701900,1333209,1333241,camera_server_s,26.00
17006423012,1333209,1333209,ros2,0.00
17006423012,1333209,1333241,camera_server_s,22.00
17506176548,1333209,1333209,ros2,0.00
17506176548,1333209,1333241,camera_server_s,24.00
18007010766,1333209,1333209,ros2,0.00
18007010766,1333209,1333241,camera_server_s,22.00
18506477693,1333209,1333209,ros2,0.00
18506477693,1333209,1333241,camera_server_s,22.00
19006868785,1333209,1333209,ros2,0.00
19006868785,1333209,1333241,camera_server_s,26.00
19506336369,1333209,1333209,ros2,0.00
19506336369,1333209,1333241,camera_server_s,22.00
20006423375,1333209,1333209,ros2,0.00
20006423375,1333209,1333241,camera_server_s,24.00
20506456219,1333209,1333209,ros2,0.00
20506456219,1333209,1333241,camera_server_s,22.00
21006730501,1333209,1333209,ros2,0.00
21006730501,1333209,1333241,camera_server_s,22.00
21507039903,1333209,1333209,ros2,0.00
21507039903,1333209,1333241,camera_server_s,24.00
22006983236,1333209,1333209,ros2,0.00
22006983236,1333209,1333241,camera_server_s,24.00
22506345287,1333209,1333209,ros2,0.00
22506345287,1333209,1333241,camera_server_s,24.00
23006901233,1333209,1333209,ros2,0.00
23006901233,1333209,1333241,camera_server_s,22.00
23506526527,1333209,1333209,ros2,0.00
23506526527,1333209,1333241,camera_server_s,24.00
24006529784,1333209,1333209,ros2,0.00
24006529784,1333209,1333241,camera_server_s,24.00
24506494957,1333209,1333209,ros2,0.00
24506494957,1333209,1333241,camera_server_s,22.00
25006738918,1333209,1333209,ros2,0.00
25006738918,1333209,1333241,camera_server_s,24.00
25506482768,1333209,1333209,ros2,0.00
25506482768,1333209,1333241,camera_server_s,24.00
26006395319,1333209,1333209,ros2,0.00
26006395319,1333209,1333241,camera_server_s,24.00
26506114414,1333209,1333209,ros2,0.00
26506114414,1333209,1333241,camera_server_s,22.00
27006258866,1333209,1333209,ros2,0.00
27006258866,1333209,1333241,camera_server_s,24.00
27506232296,1333209,1333209,ros2,0.00
27506232296,1333209,1333241,camera_server_s,26.00
28006465480,1333209,1333209,ros2,0.00
28006465480,1333209,1333241,camera_server_s,24.00
28506247555,1333209,1333209,ros2,0.00
28506247555,1333209,1333241,camera_server_s,24.00
29006508080,1333209,1333209,ros2,0.00
29006508080,1333209,1333241,camera_server_s,22.00
29506189963,1333209,1333209,ros2,0.00
29506189963,1333209,1333241,camera_server_s,28.00
