tick_ns,sid,pid,comm,cpu_pct
515101140,289665,289665,ros2,0.00
515101140,289665,289682,usb_cam_node_ex,10.00
515101140,289665,289683,republish,8.00
1009418633,289665,289665,ros2,0.00
1009418633,289665,289682,usb_cam_node_ex,8.00
1009418633,289665,289683,republish,8.00
1507232261,289665,289665,ros2,0.00
1507232261,289665,289682,usb_cam_node_ex,10.00
1507232261,289665,289683,republish,6.00
2007924730,289665,289665,ros2,0.00
2007924730,289665,289682,usb_cam_node_ex,12.00
2007924730,289665,289683,republish,8.00
2508209247,289665,289665,ros2,0.00
2508209247,289665,289682,usb_cam_node_ex,8.00
2508209247,289665,289683,republish,6.00
3010985916,289665,289665,ros2,0.00
3010985916,289665,289682,usb_cam_node_ex,8.00
3010985916,289665,289683,republish,6.00
3507546679,289665,289665,ros2,0.00
3507546679,289665,289682,usb_cam_node_ex,6.00
3507546679,289665,289683,republish,6.00
4007871617,289665,289665,ros2,0.00
4007871617,289665,289682,usb_cam_node_ex,8.00
4007871617,289665,289683,republish,6.00
4508566035,289665,289665,ros2,0.00
4508566035,289665,289682,usb_cam_node_ex,8.00
4508566035,289665,289683,republish,8.00
5009294408,289665,289665,ros2,0.00
5009294408,289665,289682,usb_cam_node_ex,8.00
5009294408,289665,289683,republish,8.00
5507725068,289665,289665,ros2,0.00
5507725068,289665,289682,usb_cam_node_ex,10.00
5507725068,289665,289683,republish,6.00
6007660987,289665,289665,ros2,0.00
6007660987,289665,289682,usb_cam_node_ex,8.00
6007660987,289665,289683,republish,6.00
6508456673,289665,289665,ros2,0.00
6508456673,289665,289682,usb_cam_node_ex,8.00
6508456673,289665,289683,republish,8.00
7007899266,289665,289665,ros2,0.00
7007899266,289665,289682,usb_cam_node_ex,8.00
7007899266,289665,289683,republish,6.00
7508791618,289665,289665,ros2,0.00
7508791618,289665,289682,usb_cam_node_ex,8.00
7508791618,289665,289683,republish,8.00
8008492635,289665,289665,ros2,0.00
8008492635,289665,289682,usb_cam_node_ex,8.00
8008492635,289665,289683,republish,6.00
8508106172,289665,289665,ros2,0.00
8508106172,289665,289682,usb_cam_node_ex,8.00
8508106172,289665,289683,republish,6.00
9008051160,289665,289665,ros2,0.00
9008051160,289665,289682,usb_cam_node_ex,8.00
9008051160,289665,289683,republish,6.00
9507920453,289665,289665,ros2,0.00
9507920453,289665,289682,usb_cam_node_ex,10.00
9507920453,289665,289683,republish,6.00
10008978800,289665,289665,ros2,0.00
10008978800,289665,289682,usb_cam_node_ex,8.00
10008978800,289665,289683,republish,8.00
10508714767,289665,289665,ros2,0.00
10508714767,289665,289682,usb_cam_node_ex,8.00
10508714767,289665,289683,republish,6.00
11007746859,289665,289665,ros2,0.00
11007746859,289665,289682,usb_cam_node_ex,8.00
11007746859,289665,289683,republish,8.00
11507809888,289665,289665,ros2,0.00
11507809888,289665,289682,usb_cam_node_ex,8.00
11507809888,289665,289683,republish,8.00
12008177226,289665,289665,ros2,0.00
12008177226,289665,289682,usb_cam_node_ex,10.00
12008177226,289665,289683,republish,6.00
12509115974,289665,289665,ros2,0.00
12509115974,289665,289682,usb_cam_node_ex,8.00
12509115974,289665,289683,republish,8.00
13007937887,289665,289665,ros2,0.00
13007937887,289665,289682,usb_cam_node_ex,8.00
13007937887,289665,289683,republish,4.00
13508597557,289665,289665,ros2,0.00
13508597557,289665,289682,usb_cam_node_ex,10.00
13508597557,289665,289683,republish,8.00
14008441193,289665,289665,ros2,0.00
14008441193,289665,289682,usb_cam_node_ex,8.00
14008441193,289665,289683,republish,6.00
14507664748,289665,289665,ros2,0.00
14507664748,289665,289682,usb_cam_node_ex,6.00
14507664748,289665,289683,republish,6.00
