tick_ns,sid,pid,comm,cpu_pct
508229175,266007,266007,ros2,80.00
508229175,266007,266026,camera_server_s,0.00
1007278498,266007,266007,ros2,0.00
1007278498,266007,266026,camera_server_s,2.00
1507111378,266007,266007,ros2,0.00
1507111378,266007,266026,camera_server_s,0.00
2006863550,266007,266007,ros2,0.00
2006863550,266007,266026,camera_server_s,0.00
2506976250,266007,266007,ros2,0.00
2506976250,266007,266026,camera_server_s,0.00
3007331536,266007,266007,ros2,0.00
3007331536,266007,266026,camera_server_s,0.00
3507800377,266007,266007,ros2,0.00
3507800377,266007,266026,camera_server_s,2.00
4006887410,266007,266007,ros2,0.00
4006887410,266007,266026,camera_server_s,2.00
4506818041,266007,266007,ros2,0.00
4506818041,266007,266026,camera_server_s,0.00
5006790145,266007,266007,ros2,0.00
5006790145,266007,266026,camera_server_s,0.00
5506968960,266007,266007,ros2,0.00
5506968960,266007,266026,camera_server_s,0.00
6006892744,266007,266007,ros2,0.00
6006892744,266007,266026,camera_server_s,0.00
6506900633,266007,266007,ros2,0.00
6506900633,266007,266026,camera_server_s,0.00
7006836960,266007,266007,ros2,0.00
7006836960,266007,266026,camera_server_s,4.00
7506818806,266007,266007,ros2,0.00
7506818806,266007,266026,camera_server_s,0.00
8006922277,266007,266007,ros2,0.00
8006922277,266007,266026,camera_server_s,0.00
8506920329,266007,266007,ros2,0.00
8506920329,266007,266026,camera_server_s,0.00
9006930199,266007,266007,ros2,0.00
9006930199,266007,266026,camera_server_s,0.00
9507129822,266007,266007,ros2,0.00
9507129822,266007,266026,camera_server_s,2.00
10006822480,266007,266007,ros2,0.00
10006822480,266007,266026,camera_server_s,0.00
10506962891,266007,266007,ros2,0.00
10506962891,266007,266026,camera_server_s,2.00
11006863151,266007,266007,ros2,0.00
11006863151,266007,266026,camera_server_s,0.00
11506867481,266007,266007,ros2,0.00
11506867481,266007,266026,camera_server_s,0.00
12006947778,266007,266007,ros2,0.00
12006947778,266007,266026,camera_server_s,0.00
12506953469,266007,266007,ros2,0.00
12506953469,266007,266026,camera_server_s,0.00
13006839129,266007,266007,ros2,0.00
13006839129,266007,266026,camera_server_s,0.00
13507164962,266007,266007,ros2,0.00
13507164962,266007,266026,camera_server_s,4.00
14007053708,266007,266007,ros2,0.00
14007053708,266007,266026,camera_server_s,0.00
14506987788,266007,266007,ros2,0.00
14506987788,266007,266026,camera_server_s,0.00
