frame_id,send_ts_ns,recv_ts_ns,latency_ns
189,6642296517367,6642304869810,8352443
190,6642329886024,6642337929235,8043211
191,6642363216166,6642370875193,7659027
192,6642396546928,6642404478980,7932052
193,6642429914595,6642437671494,7756899
194,6642463179805,6642472330984,9151179
195,6642496555957,6642505477349,8921392
196,6642529885219,6642537558710,7673491
197,6642563219548,6642572454199,9234651
198,6642596542909,6642605496547,8953638
199,6642629846457,6642638695837,8849380
200,6642663207658,6642671209776,8002118
201,6642696557302,6642704706662,8149360
202,6642729878971,6642738504178,8625207
203,6642763209784,6642770940901,7731117
204,6642796514464,6642804480623,7966159
205,6642829875307,6642838177649,8302342
206,6642863180512,6642871770787,8590275
207,6642896549153,6642905408130,8858977
208,6642929895727,6642938778333,8882606
209,6642963237015,6642972007007,8769992
210,6642996513878,6643005039154,8525276
211,6643029879012,6643038052797,8173785
212,6643063206378,6643071813922,8607544
213,6643096540640,6643105183300,8642660
214,6643129883437,6643138150857,8267420
215,6643163180810,6643171243568,8062758
216,6643196547701,6643204867661,8319960
217,6643229882383,6643238191772,8309389
218,6643263196725,6643271864199,8667474
219,6643296548047,6643306426920,9878873
220,6643329880330,6643338779327,8898997
221,6643363180344,6643371669856,8489512
222,6643396514663,6643405565607,9050944
223,6643429884307,6643438680064,8795757
224,6643463213243,6643471506035,8292792
225,6643496559033,6643504624203,8065170
226,6643529847616,6643538387503,8539887
227,6643563218244,6643571859874,8641630
228,6643596518894,6643605489814,8970920
229,6643629891002,6643638620959,8729957
230,6643663185431,6643672760678,9575247
231,6643696514374,6643705372273,8857899
232,6643729883885,6643737800170,7916285
233,6643763182773,6643770928396,7745623
234,6643796514334,6643804638212,8123878
235,6643829874925,6643838243370,8368445
236,6643863218616,6643870723354,7504738
237,6643896569334,6643904656539,8087205
238,6643929847362,6643937896654,8049292
239,6643963181888,6643971723744,8541856
240,6643996514525,6644004803493,8288968
241,6644029847045,6644037956962,8109917
242,6644063293606,6644071760655,8467049
243,6644096553419,6644105119276,8565857
244,6644129889300,6644137907767,8018467
245,6644163183948,6644171272065,8088117
246,6644196579360,6644205328575,8749215
247,6644229847393,6644238559947,8712554
248,6644263211550,6644271199782,7988232
249,6644296667764,6644305696504,9028740
250,6644329885130,6644337766268,7881138
251,6644363218570,6644371737778,8519208
252,6644396652973,6644404730997,8078024
253,6644429879355,6644438560629,8681274
254,6644463179914,6644471657146,8477232
255,6644496546959,6644504641039,8094080
256,6644529889038,6644537496500,7607462
257,6644563214565,6644571355133,8140568
258,6644596670628,6644605072916,8402288
259,6644630066050,6644638305414,8239364
260,6644663183641,6644670882139,7698498
261,6644696678616,6644704695513,8016897
262,6644730042642,6644737981374,7938732
263,6644763212557,6644770667522,7454965
264,6644796514808,6644804563114,8048306
265,6644829991612,6644837634718,7643106
266,6644863196182,6644870612425,7416243
267,6644896550785,6644904563890,8013105
268,6644930066585,6644938065901,7999316
