tick_ns,sid,pid,comm,cpu_pct
505936420,1355825,1355825,ros2,60.00
505936420,1355825,1355853,camera_server_s,0.00
1006108351,1355825,1355825,ros2,0.00
1006108351,1355825,1355853,camera_server_s,24.00
1506159289,1355825,1355825,ros2,0.00
1506159289,1355825,1355853,camera_server_s,18.00
2006120841,1355825,1355825,ros2,0.00
2006120841,1355825,1355853,camera_server_s,20.00
2506109765,1355825,1355825,ros2,0.00
2506109765,1355825,1355853,camera_server_s,20.00
3006000960,1355825,1355825,ros2,0.00
3006000960,1355825,1355853,camera_server_s,18.00
3506224489,1355825,1355825,ros2,0.00
3506224489,1355825,1355853,camera_server_s,20.00
4006179567,1355825,1355825,ros2,0.00
4006179567,1355825,1355853,camera_server_s,20.00
4506104471,1355825,1355825,ros2,0.00
4506104471,1355825,1355853,camera_server_s,18.00
5012246963,1355825,1355825,ros2,0.00
5012246963,1355825,1355853,camera_server_s,20.00
5506297378,1355825,1355825,ros2,0.00
5506297378,1355825,1355853,camera_server_s,18.00
6006281071,1355825,1355825,ros2,0.00
6006281071,1355825,1355853,camera_server_s,20.00
6506150949,1355825,1355825,ros2,0.00
6506150949,1355825,1355853,camera_server_s,20.00
7006224224,1355825,1355825,ros2,0.00
7006224224,1355825,1355853,camera_server_s,18.00
7506378761,1355825,1355825,ros2,0.00
7506378761,1355825,1355853,camera_server_s,22.00
8005931249,1355825,1355825,ros2,0.00
8005931249,1355825,1355853,camera_server_s,18.00
8506197416,1355825,1355825,ros2,0.00
8506197416,1355825,1355853,camera_server_s,20.00
9006344692,1355825,1355825,ros2,0.00
9006344692,1355825,1355853,camera_server_s,18.00
9506296370,1355825,1355825,ros2,0.00
9506296370,1355825,1355853,camera_server_s,20.00
10006001103,1355825,1355825,ros2,0.00
10006001103,1355825,1355853,camera_server_s,20.00
10506448599,1355825,1355825,ros2,0.00
10506448599,1355825,1355853,camera_server_s,18.00
11005972988,1355825,1355825,ros2,0.00
11005972988,1355825,1355853,camera_server_s,20.00
11509879706,1355825,1355825,ros2,0.00
11509879706,1355825,1355853,camera_server_s,20.00
12005971423,1355825,1355825,ros2,0.00
12005971423,1355825,1355853,camera_server_s,18.00
12513407620,1355825,1355825,ros2,0.00
12513407620,1355825,1355853,camera_server_s,20.00
13009229014,1355825,1355825,ros2,0.00
13009229014,1355825,1355853,camera_server_s,18.00
13506726730,1355825,1355825,ros2,0.00
13506726730,1355825,1355853,camera_server_s,20.00
14006003007,1355825,1355825,ros2,0.00
14006003007,1355825,1355853,camera_server_s,18.00
14506343644,1355825,1355825,ros2,0.00
14506343644,1355825,1355853,camera_server_s,22.00
15006010014,1355825,1355825,ros2,0.00
15006010014,1355825,1355853,camera_server_s,18.00
15506313756,1355825,1355825,ros2,0.00
15506313756,1355825,1355853,camera_server_s,20.00
16005815213,1355825,1355825,ros2,0.00
16005815213,1355825,1355853,camera_server_s,20.00
16506218512,1355825,1355825,ros2,0.00
16506218512,1355825,1355853,camera_server_s,18.00
17006147890,1355825,1355825,ros2,0.00
17006147890,1355825,1355853,camera_server_s,18.00
17506438013,1355825,1355825,ros2,0.00
17506438013,1355825,1355853,camera_server_s,18.00
18006219029,1355825,1355825,ros2,0.00
18006219029,1355825,1355853,camera_server_s,22.00
18506250946,1355825,1355825,ros2,0.00
18506250946,1355825,1355853,camera_server_s,18.00
19006095726,1355825,1355825,ros2,0.00
19006095726,1355825,1355853,camera_server_s,18.00
19506188444,1355825,1355825,ros2,0.00
19506188444,1355825,1355853,camera_server_s,20.00
20005981210,1355825,1355825,ros2,0.00
20005981210,1355825,1355853,camera_server_s,20.00
20505959674,1355825,1355825,ros2,0.00
20505959674,1355825,1355853,camera_server_s,20.00
21006236309,1355825,1355825,ros2,0.00
21006236309,1355825,1355853,camera_server_s,18.00
21506026231,1355825,1355825,ros2,0.00
21506026231,1355825,1355853,camera_server_s,18.00
22006176561,1355825,1355825,ros2,0.00
22006176561,1355825,1355853,camera_server_s,22.00
22506038722,1355825,1355825,ros2,0.00
22506038722,1355825,1355853,camera_server_s,18.00
23005787162,1355825,1355825,ros2,0.00
23005787162,1355825,1355853,camera_server_s,18.00
23506104299,1355825,1355825,ros2,0.00
23506104299,1355825,1355853,camera_server_s,20.00
24006092200,1355825,1355825,ros2,0.00
24006092200,1355825,1355853,camera_server_s,20.00
24506422627,1355825,1355825,ros2,0.00
24506422627,1355825,1355853,camera_server_s,18.00
25006357052,1355825,1355825,ros2,0.00
25006357052,1355825,1355853,camera_server_s,20.00
25506010414,1355825,1355825,ros2,0.00
25506010414,1355825,1355853,camera_server_s,20.00
26006220813,1355825,1355825,ros2,0.00
26006220813,1355825,1355853,camera_server_s,18.00
26505857812,1355825,1355825,ros2,0.00
26505857812,1355825,1355853,camera_server_s,18.00
27007759708,1355825,1355825,ros2,0.00
27007759708,1355825,1355853,camera_server_s,20.00
27507639093,1355825,1355825,ros2,0.00
27507639093,1355825,1355853,camera_server_s,22.00
28007726969,1355825,1355825,ros2,0.00
28007726969,1355825,1355853,camera_server_s,18.00
28506196796,1355825,1355825,ros2,0.00
28506196796,1355825,1355853,camera_server_s,18.00
29007774022,1355825,1355825,ros2,0.00
29007774022,1355825,1355853,camera_server_s,20.00
29506488545,1355825,1355825,ros2,0.00
29506488545,1355825,1355853,camera_server_s,18.00
