frame_id,send_ts_ns,recv_ts_ns,latency_ns
266,100678269379673,100678285521162,16141489
267,100678302694514,100678319402766,16708252
268,100678336084775,100678351886301,15801526
269,100678369411073,100678386188934,16777861
270,100678402643156,100678418386197,15743041
271,100678436081457,100678452454479,16373022
272,100678469318445,100678484551389,15232944
273,100678502607626,100678519158262,16550636
274,100678536058388,100678551123154,15064766
275,100678569407270,100678585461752,16054482
276,100678602643992,100678617758257,15114265
277,100678636090997,100678651883528,15792531
278,100678669370221,100678684016137,14645916
279,100678702696792,100678719193112,16496320
280,100678735967704,100678751208881,15241177
281,100678769452198,100678785840250,16388052
282,100678802712401,100678817655491,14943090
283,100678836077397,100678852169592,16092195
284,100678869337588,100678884395092,15057504
285,100678902736572,100678918990434,16253862
286,100678936056182,100678951657784,15601602
287,100678969348513,100678985861966,16513453
288,100679002717717,100679018202263,15484546
289,100679036122370,100679054023550,17901180
290,100679069447784,100679086050896,16603112
291,100679102712384,100679120451853,17739469
292,100679136060948,100679152278285,16217337
293,100679169186856,100679185892255,16705399
294,100679202519627,100679218719805,16200178
295,100679236086911,100679252764761,16677850
296,100679269186085,100679285121361,15935276
297,100679302584305,100679319866494,17282189
298,100679336123253,100679351834326,15711073
299,100679369186104,100679385842460,16656356
300,100679402675245,100679418431093,15755848
301,100679436077513,100679452990365,16912852
302,100679469398668,100679485050911,15652243
303,100679502633441,100679520901228,18267787
304,100679536081465,100679552337716,16256251
305,100679569391868,100679588680594,19288726
306,100679602642628,100679618809714,16167086
307,100679636093918,100679652731434,16637516
308,100679669189023,100679685533760,16344737
309,100679702655914,100679719732844,17076930
310,100679736088881,100679752067249,15978368
311,100679769236853,100679786435914,17199061
312,100679802697665,100679818431446,15733781
313,100679836089661,100679852991771,16902110
314,100679869432365,100679885118312,15685947
315,100679902743336,100679919350181,16606845
316,100679936086639,100679952598997,16512358
317,100679969409161,100679985984767,16575606
318,100680002583127,100680018946727,16363600
319,100680036080712,100680052949375,16868663
320,100680069441274,100680084875575,15434301
321,100680102520936,100680119835650,17314714
322,100680135916758,100680151768348,15851590
323,100680169357412,100680186265777,16908365
324,100680202553917,100680218868276,16314359
325,100680236082664,100680252397402,16314738
326,100680269410360,100680285454099,16043739
327,100680302697203,100680323469755,20772552
328,100680335964608,100680351575608,15611000
329,100680369373166,100680388451901,19078735
330,100680402674075,100680418320154,15646079
331,100680436090757,100680453211014,17120257
332,100680469393516,100680484911361,15517845
333,100680502716296,100680521912135,19195839
334,100680536012579,100680551540787,15528208
335,100680569274398,100680586243317,16968919
336,100680602743425,100680618676695,15933270
337,100680636077214,100680655068487,18991273
338,100680669368557,100680685304018,15935461
339,100680702518881,100680719188730,16669849
340,100680736067421,100680752137545,16070124
341,100680769276272,100680786474812,17198540
342,100680802680727,100680818167467,15486740
343,100680835996205,100680852893693,16897488
344,100680869233413,100680884999347,15765934
345,100680902768021,100680919673626,16905605
346,100680936197349,100680952417396,16220047
347,100680969413989,100680985823159,16409170
348,100681002713138,100681018767297,16054159
349,100681035853013,100681052408134,16555121
350,100681069354803,100681084955152,15600349
351,100681102714575,100681119736525,17021950
352,100681136076634,100681151559382,15482748
353,100681169363959,100681186491225,17127266
354,100681202636557,100681218973185,16336628
355,100681236087363,100681256815570,20728207
356,100681269384828,100681285830254,16445426
357,100681302520683,100681319379304,16858621
358,100681335985443,100681351640483,15655040
359,100681369434958,100681386353226,16918268
360,100681402586201,100681418066737,15480536
361,100681436066800,100681452939237,16872437
362,100681469386573,100681484879670,15493097
363,100681502714605,100681519773233,17058628
364,100681536098315,100681552438119,16339804
365,100681569359702,100681588950551,19590849
366,100681602693991,100681619123417,16429426
367,100681636100757,100681652866010,16765253
368,100681669339315,100681684981465,15642150
369,100681702705318,100681720055166,17349848
370,100681736054002,100681751940289,15886287
371,100681769354279,100681786271336,16917057
372,100681802674740,100681818585234,15910494
373,100681836104486,100681852951949,16847463
374,100681869322557,100681885273243,15950686
375,100681902751124,100681919235897,16484773
376,100681936100771,100681952310525,16209754
377,100681969327802,100681991133823,21806021
378,100682002706212,100682018406526,15700314
379,100682036086214,100682054631523,18545309
380,100682069421303,100682085098527,15677224
381,100682102699129,100682125761595,23062466
382,100682136125050,100682152305922,16180872
383,100682169431405,100682188843909,19412504
384,100682202700191,100682218680582,15980391
385,100682236086951,100682254649094,18562143
386,100682269300444,100682285557825,16257381
387,100682302744829,100682319768437,17023608
388,100682336099340,100682352328148,16228808
389,100682369439204,100682386358886,16919682
390,100682402565829,100682418476750,15910921
391,100682436087932,100682454387012,18299080
392,100682469435354,100682485815770,16380416
393,100682502762425,100682519762626,17000201
394,100682536053236,100682552537259,16484023
395,100682569255973,100682585591399,16335426
396,100682602706003,100682619049459,16343456
397,100682636088535,100682652698862,16610327
398,100682669380326,100682685608347,16228021
399,100682702763153,100682719692097,16928944
400,100682735854818,100682751425006,15570188
401,100682769323907,100682786851656,17527749
402,100682802519239,100682818795121,16275882
403,100682836045420,100682852719807,16674387
404,100682869219300,100682885710494,16491194
405,100682902719600,100682919467381,16747781
406,100682935892121,100682951867886,15975765
407,100682969327613,100682986409501,17081888
408,100683002594592,100683018418894,15824302
409,100683036043176,100683053066857,17023681
410,100683069207892,100683085299226,16091334
411,100683102560943,100683119688681,17127738
412,100683135875117,100683151896864,16021747
413,100683169403143,100683185774852,16371709
414,100683202557420,100683218329693,15772273
415,100683236050033,100683252678387,16628354
416,100683269239665,100683285446514,16206849
417,100683302776665,100683319007739,16231074
418,100683335852522,100683351797722,15945200
419,100683369332126,100683386312824,16980698
420,100683402519497,100683417927631,15408134
421,100683436088094,100683452470849,16382755
422,100683469190001,100683484190467,15000466
423,100683502734691,100683518831956,16097265
424,100683535854642,100683551115922,15261280
425,100683569231040,100683585078198,15847158
426,100683602519204,100683617290555,14771351
427,100683636083141,100683653778083,17694942
428,100683669188223,100683684074628,14886405
429,100683702634794,100683719112228,16477434
430,100683735885395,100683751251493,15366098
431,100683769186225,100683790990793,21804568
432,100683802698352,100683817947029,15248677
433,100683836091705,100683853284606,17192901
434,100683869185436,100683884500242,15314806
435,100683902710403,100683918743764,16033361
436,100683935853398,100683951283264,15429866
437,100683969379152,100683985412426,16033274
438,100684002519660,100684017826619,15306959
439,100684036081374,100684053230625,17149251
440,100684069186331,100684084708778,15522447
441,100684102688630,100684124305577,21616947
442,100684136010456,100684152076329,16065873
443,100684169288521,100684188566560,19278039
444,100684202692309,100684219591920,16899611
445,100684236089264,100684253088489,16999225
446,100684269332987,100684285362139,16029152
447,100684302718095,100684320362383,17644288
448,100684335971268,100684351615636,15644368
449,100684369358780,100684386436875,17078095
450,100684402694672,100684419070174,16375502
451,100684436106996,100684453099162,16992166
452,100684469357165,100684485683284,16326119
453,100684502751448,100684519767926,17016478
454,100684535856176,100684551469769,15613593
455,100684569212526,100684586346622,17134096
456,100684602571530,100684620670282,18098752
457,100684636051199,100684655348559,19297360
458,100684669217986,100684686113416,16895430
459,100684702721201,100684719301808,16580607
460,100684735967173,100684752137139,16169966
461,100684769431673,100684786854038,17422365
462,100684802582941,100684819110698,16527757
463,100684835964087,100684858336312,22372225
464,100684869371902,100684885763235,16391333
465,100684902710716,100684922295974,19585258
466,100684936107687,100684953681853,17574166
467,100684969435751,100684991670033,22234282
468,100685002711708,100685019884780,17173072
469,100685035851687,100685056094510,20242823
470,100685069355782,100685085617667,16261885
471,100685102710221,100685120305500,17595279
472,100685135971375,100685153297815,17326440
473,100685169295942,100685187494187,18198245
474,100685202714235,100685220886645,18172410
475,100685236095596,100685253484326,17388730
476,100685269357541,100685285802978,16445437
477,100685302753667,100685319589364,16835697
478,100685336082273,100685352536049,16453776
479,100685369419467,100685386494517,17075050
480,100685402696005,100685418468409,15772404
481,100685436067199,100685453337525,17270326
482,100685469358940,100685485673208,16314268
483,100685502768827,100685520611008,17842181
484,100685535980775,100685552245097,16264322
485,100685569184779,100685586274305,17089526
486,100685602734051,100685619385853,16651802
487,100685636081432,100685652513142,16431710
488,100685669338788,100685685765439,16426651
489,100685702715102,100685719406293,16691191
490,100685736058225,100685752418348,16360123
491,100685769186472,100685785935502,16749030
492,100685802698665,100685819473622,16774957
493,100685835965345,100685852578411,16613066
494,100685869367262,100685886542196,17174934
495,100685902693804,100685919318533,16624729
496,100685935968152,100685953522896,17554744
497,100685969370537,100685985127777,15757240
498,100686002631783,100686019638793,17007010
499,100686036093879,100686052297580,16203701
500,100686069336964,100686086120824,16783860
501,100686102709466,100686119281715,16572249
502,100686136087015,100686153268192,17181177
503,100686169235869,100686185851207,16615338
504,100686202643730,100686219686037,17042307
505,100686236045936,100686251859800,15813864
506,100686269184880,100686286670817,17485937
507,100686302581777,100686318449018,15867241
508,100686336004144,100686353224134,17219990
509,100686369364854,100686385526514,16161660
510,100686402756970,100686419414005,16657035
511,100686436077596,100686452669546,16591950
512,100686469232474,100686485654891,16422417
513,100686502705626,100686518857473,16151847
514,100686536043752,100686553302216,17258464
515,100686569396155,100686585320067,15923912
516,100686602693354,100686620155488,17462134
517,100686636060309,100686652245468,16185159
518,100686669319992,100686686296922,16976930
519,100686702758317,100686718726583,15968266
520,100686736056252,100686752243920,16187668
521,100686769432777,100686785556728,16123951
522,100686802626451,100686819778115,17151664
523,100686836073318,100686852072965,15999647
524,100686869355216,100686886577619,17222403
525,100686902771577,100686918309541,15537964
526,100686936081239,100686953725816,17644577
527,100686969400814,100686985386270,15985456
528,100687002685314,100687020065252,17379938
529,100687036019517,100687051860783,15841266
530,100687069356913,100687086466351,17109438
531,100687102680463,100687118835203,16154740
532,100687136093098,100687152939133,16846035
533,100687169430792,100687185446395,16015603
534,100687202710643,100687219719056,17008413
535,100687236109129,100687251916155,15807026
536,100687269401823,100687286759539,17357716
