frame_id,send_ts_ns,recv_ts_ns,latency_ns
83,7500930034353,7500934047790,4013437
84,7500963390438,7500967124154,3733716
85,7500996733045,7501000896317,4163272
86,7501030046805,7501034012012,3965207
87,7501063388097,7501067498777,4110680
88,7501096728436,7501100683485,3955049
89,7501130040743,7501134347392,4306649
90,7501163365587,7501166902856,3537269
91,7501196720243,7501200360949,3640706
92,7501230054327,7501233724555,3670228
93,7501263365213,7501266995849,3630636
94,7501296722978,7501300366464,3643486
95,7501330005689,7501333706457,3700768
96,7501363365407,7501367019622,3654215
97,7501396736989,7501400242883,3505894
98,7501430067129,7501433763010,3695881
99,7501463366359,7501466882657,3516298
100,7501496724989,7501500238389,3513400
101,7501530036718,7501533486115,3449397
102,7501563395270,7501566874657,3479387
103,7501596733447,7501600295938,3562491
104,7501630053031,7501634067531,4014500
105,7501663366931,7501667361138,3994207
106,7501696712054,7501700300768,3588714
107,7501730258235,7501734298240,4040005
108,7501763486715,7501768115503,4628788
109,7501796856030,7501800522737,3666707
110,7501830151417,7501833791303,3639886
111,7501863397745,7501866893271,3495526
112,7501896732654,7501900501471,3768817
113,7501930059933,7501934038248,3978315
114,7501963397314,7501967155464,3758150
115,7501996732564,7502000523273,3790709
116,7502030044184,7502033652820,3608636
117,7502063392850,7502067160881,3768031
118,7502096726142,7502100481759,3755617
119,7502130065976,7502133817487,3751511
120,7502163392513,7502166932982,3540469
121,7502196725419,7502200243968,3518549
122,7502230062044,7502233794095,3732051
123,7502263364858,7502267075258,3710400
124,7502296699587,7502300117971,3418384
125,7502330055695,7502333598711,3543016
126,7502363364880,7502366808155,3443275
127,7502396725951,7502400284293,3558342
128,7502430034389,7502433800114,3765725
129,7502463478564,7502467166602,3688038
130,7502496727186,7502500547864,3820678
131,7502530032384,7502533575858,3543474
132,7502563401634,7502566821850,3420216
133,7502596699005,7502600189884,3490879
134,7502630057921,7502633753260,3695339
135,7502663395093,7502667096964,3701871
136,7502696737051,7502700544687,3807636
137,7502730058874,7502733819513,3760639
138,7502763390587,7502767043129,3652542
139,7502796699134,7502802150417,5451283
140,7502830046666,7502834927157,4880491
141,7502863479954,7502868185637,4705683
142,7502896729416,7502901071085,4341669
143,7502930068151,7502933688516,3620365
144,7502963369158,7502967523706,4154548
145,7502996734729,7503000481928,3747199
146,7503030056818,7503033871109,3814291
147,7503063383714,7503067191174,3807460
148,7503096735448,7503100672195,3936747
149,7503130064995,7503133999508,3934513
150,7503163391480,7503167173429,3781949
151,7503196699664,7503200447728,3748064
152,7503230040975,7503234036249,3995274
153,7503263390970,7503267373287,3982317
154,7503296699316,7503300351739,3652423
155,7503330034121,7503333775058,3740937
156,7503363365489,7503367203893,3838404
157,7503396727595,7503400748692,4021097
158,7503430038376,7503433984699,3946323
159,7503463404455,7503467092455,3688000
160,7503496810036,7503500540796,3730760
161,7503530041793,7503533737905,3696112
162,7503563366571,7503567220112,3853541
