frame_id,send_ts_ns,recv_ts_ns,latency_ns
135,101502297065317,101502304341374,7276057
136,101502330257827,101502338068080,7810253
137,101502363679738,101502375322772,11643034
138,101502397041097,101502404632403,7591306
139,101502430423623,101502437628438,7204815
140,101502463754580,101502470941457,7186877
141,101502496954073,101502504019022,7064949
142,101502530257661,101502537719321,7461660
143,101502563607165,101502571701299,8094134
144,101502596837269,101502604032302,7195033
145,101502630175307,101502637208021,7032714
146,101502663545652,101502670618882,7073230
147,101502696956499,101502704240907,7284408
148,101502730170394,101502737288697,7118303
149,101502763610862,101502771076609,7465747
150,101502796943672,101502804206991,7263319
151,101502830170565,101502837743856,7573291
152,101502863613263,101502874942363,11329100
153,101502896953419,101502904469202,7515783
154,101502930277890,101502937604589,7326699
155,101502963535261,101502970994850,7459589
156,101502996945944,101503004673822,7727878
157,101503030170261,101503037529032,7358771
158,101503063502093,101503070716536,7214443
159,101503096982023,101503104286562,7304539
160,101503130215985,101503137789349,7573364
161,101503163680386,101503171186901,7506515
162,101503196988951,101503204310398,7321447
163,101503230211380,101503237805675,7594295
164,101503263652457,101503270889272,7236815
165,101503297055425,101503304099060,7043635
166,101503330327577,101503337406610,7079033
167,101503363708767,101503370722828,7014061
168,101503396974865,101503403895452,6920587
169,101503430228067,101503437328828,7100761
170,101503463507200,101503470577879,7070679
171,101503497048167,101503504035086,6986919
172,101503530198186,101503537410696,7212510
173,101503563700376,101503571087711,7387335
174,101503597045720,101503604185811,7140091
175,101503630230703,101503637505424,7274721
176,101503663658047,101503670812253,7154206
177,101503696985083,101503704121024,7135941
178,101503730251129,101503737482682,7231553
179,101503763666290,101503770770237,7103947
180,101503797084170,101503804156070,7071900
181,101503830225075,101503837383427,7158352
182,101503863706945,101503870748197,7041252
183,101503897104811,101503904481735,7376924
184,101503930344943,101503937356556,7011613
185,101503963557375,101503970818763,7261388
186,101503996985087,101504004096983,7111896
187,101504030337691,101504037709734,7372043
188,101504063542559,101504070768478,7225919
189,101504096983793,101504104092130,7108337
190,101504130306655,101504137626868,7320213
191,101504163502222,101504170434267,6932045
192,101504196944305,101504203877016,6932711
193,101504230255744,101504237356985,7101241
194,101504263657529,101504271167125,7509596
195,101504296986284,101504304191293,7205009
196,101504330235820,101504337578181,7342361
197,101504363561746,101504370819185,7257439
198,101504397111505,101504404447888,7336383
199,101504430180548,101504437377632,7197084
200,101504463698884,101504471332108,7633224
201,101504496837822,101504504352894,7515072
202,101504530175368,101504537209441,7034073
203,101504563678558,101504571025603,7347045
204,101504597031480,101504604079899,7048419
205,101504630168694,101504637395313,7226619
206,101504663548863,101504670854292,7305429
207,101504697069264,101504704439732,7370468
208,101504730275404,101504737459451,7184047
209,101504763656950,101504770574476,6917526
210,101504797070116,101504804300861,7230745
211,101504830222375,101504837486511,7264136
212,101504863609664,101504870945121,7335457
213,101504896980431,101504904293217,7312786
214,101504930228321,101504937282668,7054347
215,101504963534940,101504970614993,7080053
216,101504997059059,101505003977493,6918434
217,101505030169319,101505037252865,7083546
218,101505063726641,101505070892968,7166327
219,101505096864042,101505103807148,6943106
220,101505130316087,101505137353929,7037842
221,101505163708888,101505170837479,7128591
222,101505196838249,101505203827923,6989674
223,101505230423875,101505237612306,7188431
224,101505263646162,101505270777358,7131196
225,101505297064979,101505304032705,6967726
226,101505330226791,101505337579139,7352348
227,101505363557233,101505370961485,7404252
228,101505397080483,101505404204426,7123943
229,101505430316591,101505437358977,7042386
230,101505463560440,101505470886281,7325841
