tick_ns,sid,pid,comm,cpu_pct
522486529,295312,295312,ros2,76.00
522486529,295312,295319,gscam_node,0.00
1007662496,295312,295312,ros2,0.00
1007662496,295312,295319,gscam_node,92.00
1507338050,295312,295312,ros2,0.00
1507338050,295312,295319,gscam_node,10.00
2006920653,295312,295312,ros2,0.00
2006920653,295312,295319,gscam_node,10.00
2507010550,295312,295312,ros2,0.00
2507010550,295312,295319,gscam_node,10.00
3007292929,295312,295312,ros2,0.00
3007292929,295312,295319,gscam_node,8.00
3507381364,295312,295312,ros2,0.00
3507381364,295312,295319,gscam_node,10.00
4007042867,295312,295312,ros2,0.00
4007042867,295312,295319,gscam_node,8.00
4506840966,295312,295312,ros2,0.00
4506840966,295312,295319,gscam_node,10.00
5007455912,295312,295312,ros2,0.00
5007455912,295312,295319,gscam_node,10.00
5507043766,295312,295312,ros2,0.00
5507043766,295312,295319,gscam_node,8.00
6007078521,295312,295312,ros2,0.00
6007078521,295312,295319,gscam_node,10.00
6507183612,295312,295312,ros2,0.00
6507183612,295312,295319,gscam_node,10.00
7007073649,295312,295312,ros2,0.00
7007073649,295312,295319,gscam_node,8.00
7507326960,295312,295312,ros2,0.00
7507326960,295312,295319,gscam_node,10.00
8007395535,295312,295312,ros2,0.00
8007395535,295312,295319,gscam_node,10.00
8507451082,295312,295312,ros2,0.00
8507451082,295312,295319,gscam_node,10.00
9007283439,295312,295312,ros2,0.00
9007283439,295312,295319,gscam_node,6.00
9507233605,295312,295312,ros2,0.00
9507233605,295312,295319,gscam_node,10.00
10007603198,295312,295312,ros2,0.00
10007603198,295312,295319,gscam_node,10.00
10507094858,295312,295312,ros2,0.00
10507094858,295312,295319,gscam_node,10.00
11007194206,295312,295312,ros2,0.00
11007194206,295312,295319,gscam_node,10.00
11507176136,295312,295312,ros2,0.00
11507176136,295312,295319,gscam_node,10.00
12007008899,295312,295312,ros2,0.00
12007008899,295312,295319,gscam_node,8.00
12507469236,295312,295312,ros2,0.00
12507469236,295312,295319,gscam_node,10.00
13007320385,295312,295312,ros2,0.00
13007320385,295312,295319,gscam_node,10.00
13507300102,295312,295312,ros2,0.00
13507300102,295312,295319,gscam_node,6.00
14006875650,295312,295312,ros2,0.00
14006875650,295312,295319,gscam_node,10.00
14507237452,295312,295312,ros2,0.00
14507237452,295312,295319,gscam_node,10.00
