frame_id,send_ts_ns,recv_ts_ns,latency_ns
82,7036484233522,7036487447997,3214475
83,7036517617994,7036520852732,3234738
84,7036550930418,7036554340986,3410568
85,7036584259701,7036587299768,3040067
86,7036617594051,7036620596446,3002395
87,7036650924120,7036654119333,3195213
88,7036684269954,7036687893376,3623422
89,7036717591274,7036720936527,3345253
90,7036750933280,7036754174252,3240972
91,7036784267136,7036787602709,3335573
92,7036817591298,7036820468840,2877542
93,7036850929987,7036854172076,3242089
94,7036884260899,7036887501416,3240517
95,7036917592255,7036920822851,3230596
96,7036950928845,7036954245274,3316429
97,7036984236802,7036988233216,3996414
98,7037017598170,7037020897704,3299534
99,7037050930984,7037054272888,3341904
100,7037084238941,7037087497487,3258546
101,7037117622262,7037120864477,3242215
102,7037150941769,7037154085811,3144042
103,7037184394842,7037187759728,3364886
104,7037217591527,7037221021096,3429569
105,7037250931971,7037253941390,3009419
106,7037284232330,7037287313803,3081473
107,7037317586979,7037320896014,3309035
108,7037350926600,7037353904639,2978039
109,7037384258502,7037387576752,3318250
110,7037417592462,7037420891142,3298680
111,7037450926109,7037453941908,3015799
112,7037484233753,7037487235826,3002073
113,7037517626705,7037520828866,3202161
114,7037550930295,7037554016309,3086014
115,7037584236341,7037587392015,3155674
116,7037617597105,7037620670844,3073739
117,7037650931377,7037654208850,3277473
118,7037684264107,7037687401271,3137164
119,7037717712597,7037720927140,3214543
120,7037751051465,7037754118013,3066548
121,7037784236227,7037787388683,3152456
122,7037817587665,7037820795880,3208215
123,7037850930057,7037853973486,3043429
124,7037884232741,7037887249073,3016332
125,7037917571454,7037920679537,3108083
126,7037950924602,7037954052365,3127763
127,7037984235839,7037987707331,3471492
128,7038017588886,7038020793144,3204258
129,7038051018617,7038054234254,3215637
130,7038084349491,7038087528714,3179223
131,7038117569000,7038120631633,3062633
132,7038150900689,7038153995882,3095193
133,7038184259777,7038187400007,3140230
134,7038217591737,7038220821549,3229812
135,7038250939067,7038254184806,3245739
136,7038284368771,7038287619143,3250372
137,7038317617977,7038320757202,3139225
138,7038350946746,7038354253161,3306415
139,7038384234273,7038387242408,3008135
140,7038417588646,7038420574204,2985558
141,7038450926246,7038454171735,3245489
142,7038484233205,7038487176092,2942887
143,7038517588061,7038520608346,3020285
144,7038550931354,7038553916577,2985223
145,7038584364457,7038587540623,3176166
146,7038617596185,7038620840732,3244547
147,7038650925098,7038654177700,3252602
148,7038684261662,7038687376891,3115229
149,7038717592366,7038720799602,3207236
150,7038750935200,7038754113500,3178300
151,7038784262535,7038787573493,3310958
152,7038817568210,7038820946965,3378755
153,7038850900030,7038854031757,3131727
154,7038884233390,7038887358060,3124670
