frame_id,send_ts_ns,recv_ts_ns,latency_ns
82,6974654253639,6974660062802,5809163
83,6974687606299,6974696069280,8462981
84,6974720947745,6974727075932,6128187
85,6974754250434,6974760014398,5763964
86,6974787605544,6974796078434,8472890
87,6974820955641,6974829479577,8523936
88,6974854253485,6974860771960,6518475
89,6974887584961,6974894187427,6602466
90,6974921066714,6974927719699,6652985
91,6974954361214,6974960874715,6513501
92,6974987606457,6974993874187,6267730
93,6975020955461,6975027662769,6707308
94,6975054252559,6975061233128,6980569
95,6975087584097,6975093623850,6039753
96,6975120916693,6975127228791,6312098
97,6975154250483,6975161214178,6963695
98,6975187616562,6975193917430,6300868
99,6975220917233,6975227081387,6164154
100,6975254252742,6975260744714,6491972
101,6975287744187,6975293976887,6232700
102,6975320920537,6975327022635,6102098
103,6975354276742,6975360255993,5979251
104,6975387623242,6975393668708,6045466
105,6975420944526,6975427030899,6086373
106,6975454281315,6975460935931,6654616
107,6975487627017,6975494058559,6431542
108,6975520939370,6975526992736,6053366
109,6975554249564,6975560142879,5893315
110,6975587615580,6975594077429,6461849
111,6975621056003,6975627290301,6234298
112,6975654385996,6975660693020,6307024
113,6975687742695,6975693921695,6179000
114,6975721076995,6975726949671,5872676
115,6975754378597,6975762347396,7968799
116,6975787629170,6975795035790,7406620
117,6975820925701,6975829876371,8950670
118,6975854288058,6975862179478,7891420
119,6975887645775,6975895075507,7429732
120,6975920974821,6975927275339,6300518
121,6975954278308,6975960610617,6332309
122,6975987643890,6975993523378,5879488
123,6976020960435,6976026990652,6030217
124,6976054390193,6976060474551,6084358
125,6976087584524,6976093699081,6114557
126,6976120951171,6976127096326,6145155
127,6976154251177,6976161288935,7037758
128,6976187616594,6976193798967,6182373
129,6976220955984,6976227126182,6170198
130,6976254375975,6976260557088,6181113
131,6976287721771,6976293981010,6259239
132,6976321088723,6976327177650,6088927
133,6976354252765,6976360029185,5776420
134,6976387606810,6976393388166,5781356
135,6976420953003,6976426816984,5863981
136,6976454253001,6976460140265,5887264
137,6976487608872,6976493447247,5838375
138,6976520944527,6976526914380,5969853
139,6976554249971,6976559976647,5726676
140,6976587610951,6976594957578,7346627
141,6976620947621,6976627148484,6200863
142,6976654301718,6976664413013,10111295
143,6976687611649,6976694102722,6491073
144,6976720916545,6976727028880,6112335
145,6976754250829,6976760462240,6211411
146,6976787608478,6976794189845,6581367
147,6976820946044,6976827175182,6229138
148,6976854251219,6976860990455,6739236
149,6976887627213,6976895028548,7401335
150,6976920920384,6976931812799,10892415
151,6976954252690,6976964594617,10341927
152,6976987607407,6976996113577,8506170
153,6977020956489,6977027175206,6218717
154,6977054254074,6977060487357,6233283
155,6977087620016,6977094195399,6575383
156,6977120950874,6977127319544,6368670
157,6977154252888,6977160203320,5950432
158,6977187618684,6977193747008,6128324
159,6977220946000,6977226694181,5748181
160,6977254250107,6977260066460,5816353
161,6977287612794,6977296179320,8566526
162,6977321073812,6977327770233,6696421
163,6977354250452,6977360195374,5944922
164,6977387694914,6977393552614,5857700
165,6977420950079,6977427171880,6221801
166,6977454249847,6977460354810,6104963
167,6977487582516,6977493743602,6161086
168,6977520946414,6977526851583,5905169
169,6977554250041,6977560281432,6031391
170,6977587615395,6977593816022,6200627
171,6977620916237,6977627019866,6103629
172,6977654256431,6977660164524,5908093
173,6977687757660,6977693934178,6176518
174,6977720954784,6977726938366,5983582
175,6977754278710,6977760163402,5884692
176,6977787612302,6977793951628,6339326
177,6977820945582,6977826822815,5877233
178,6977854282341,6977860118929,5836588
179,6977887606756,6977893865856,6259100
180,6977920934353,6977927016819,6082466
181,6977954250768,6977960126596,5875828
182,6977987630505,6977993941309,6310804
183,6978020950620,6978027196089,6245469
184,6978054251135,6978060044473,5793338
185,6978087583304,6978094174878,6591574
186,6978120894059,6978126964868,6070809
187,6978154276249,6978160760732,6484483
188,6978187613341,6978193776875,6163534
189,6978220944978,6978227431996,6487018
190,6978254419702,6978260538241,6118539
191,6978287804413,6978293848665,6044252
192,6978321068694,6978327340710,6272016
193,6978354251496,6978360490833,6239337
194,6978387583866,6978393860906,6277040
195,6978421081725,6978426909784,5828059
196,6978454253090,6978460655027,6401937
197,6978487695963,6978494008274,6312311
198,6978521089679,6978527256881,6167202
199,6978554363047,6978560670626,6307579
200,6978587770884,6978594014132,6243248
201,6978621109196,6978627376483,6267287
202,6978654286440,6978660568659,6282219
203,6978687725421,6978693661487,5936066
204,6978720950426,6978726870676,5920250
205,6978754250099,6978760461181,6211082
206,6978787605095,6978794257922,6652827
207,6978820954299,6978827567397,6613098
208,6978854250876,6978860792306,6541430
209,6978887613012,6978894059858,6446846
210,6978920943141,6978927614772,6671631
211,6978954250405,6978960873505,6623100
212,6978987582206,6978994106704,6524498
213,6979020936871,6979027370069,6433198
214,6979054250069,6979060310116,6060047
215,6979087613623,6979094035283,6421660
216,6979120938996,6979127568622,6629626
217,6979154272974,6979160658347,6385373
218,6979187607124,6979193786937,6179813
219,6979220942866,6979226703248,5760382
220,6979254282422,6979260673056,6390634
221,6979287625670,6979294132938,6507268
222,6979320950315,6979327087130,6136815
223,6979354250586,6979360166984,5916398
224,6979387618619,6979393593349,5974730
225,6979420949076,6979427115652,6166576
226,6979454252484,6979460342683,6090199
227,6979487737943,6979493936511,6198568
228,6979521073580,6979526746026,5672446
229,6979554281835,6979559934563,5652728
230,6979587606766,6979593522273,5915507
231,6979620942192,6979626647138,5704946
232,6979654277763,6979660132264,5854501
233,6979687608913,6979693843177,6234264
234,6979720945000,6979726571134,5626134
235,6979754277827,6979760227314,5949487
236,6979787604960,6979794102758,6497798
237,6979820945990,6979826892373,5946383
238,6979854382258,6979861160729,6778471
239,6979887609951,6979893998022,6388071
240,6979921079625,6979927143264,6063639
241,6979954252259,6979960731697,6479438
242,6979987622253,6979995301057,7678804
243,6980021080011,6980027132338,6052327
244,6980054368599,6980060248298,5879699
245,6980087614155,6980093744239,6130084
246,6980120917775,6980127050245,6132470
247,6980154250917,6980160173040,5922123
248,6980187611140,6980194177153,6566013
249,6980220968049,6980227134865,6166816
250,6980254372257,6980260774415,6402158
251,6980287732608,6980294187095,6454487
252,6980321065991,6980327376175,6310184
253,6980354253040,6980360146049,5893009
254,6980387646698,6980393927293,6280595
255,6980420946301,6980426918052,5971751
256,6980454250265,6980460168582,5918317
257,6980487626798,6980493737066,6110268
258,6980520940520,6980526646218,5705698
259,6980554280779,6980560086393,5805614
260,6980587747704,6980593770267,6022563
261,6980621070040,6980629747468,8677428
262,6980654483210,6980661373194,6889984
263,6980687691731,6980694548693,6856962
264,6980720923948,6980728486233,7562285
265,6980754252430,6980760231659,5979229
266,6980787697455,6980793512467,5815012
267,6980820952689,6980827030455,6077766
268,6980854433202,6980860964058,6530856
269,6980887761187,6980893812663,6051476
270,6980920956799,6980926983717,6026918
271,6980954277917,6980960435548,6157631
272,6980987676121,6980994489726,6813605
273,6981020922641,6981027035463,6112822
274,6981054285965,6981061242617,6956652
275,6981087618687,6981094231840,6613153
276,6981121035621,6981127592787,6557166
277,6981154285194,6981160556911,6271717
278,6981187583637,6981193957301,6373664
279,6981220941415,6981227159872,6218457
280,6981254286387,6981261109909,6823522
281,6981287583425,6981294070795,6487370
282,6981321073972,6981327987637,6913665
283,6981354297258,6981361181019,6883761
284,6981387616551,6981393676797,6060246
285,6981420945338,6981427030224,6084886
286,6981454360926,6981460438273,6077347
287,6981487749032,6981493859068,6110036
288,6981520945969,6981527017916,6071947
289,6981554250229,6981560441072,6190843
290,6981587716365,6981594043292,6326927
291,6981621121333,6981627508090,6386757
292,6981654401056,6981660656861,6255805
293,6981687627070,6981693960523,6333453
294,6981720951067,6981727175433,6224366
295,6981754251052,6981762168252,7917200
296,6981787613816,6981793854367,6240551
297,6981820942200,6981827025740,6083540
298,6981854249631,6981860043187,5793556
299,6981887743884,6981894242873,6498989
300,6981921081658,6981927509007,6427349
301,6981954253172,6981960424735,6171563
302,6981987753670,6981994240749,6487079
303,6982021183694,6982027546236,6362542
304,6982054408991,6982060617041,6208050
305,6982087615501,6982093615531,6000030
306,6982120943744,6982127218773,6275029
307,6982154278950,6982160269372,5990422
308,6982187697553,6982193814786,6117233
309,6982220939968,6982226959930,6019962
310,6982254414789,6982260967595,6552806
311,6982287729751,6982294446497,6716746
312,6982321087775,6982327007538,5919763
313,6982354277670,6982360376185,6098515
314,6982387733668,6982394176638,6442970
315,6982420945928,6982427648384,6702456
316,6982454250019,6982459924001,5673982
317,6982487761262,6982494210404,6449142
318,6982521041111,6982527588661,6547550
319,6982554252208,6982560448579,6196371
320,6982587739643,6982594066915,6327272
321,6982621097860,6982627614890,6517030
322,6982654490033,6982660619614,6129581
323,6982687643447,6982694359559,6716112
324,6982720917707,6982727241709,6324002
325,6982754249955,6982760772461,6522506
326,6982787616979,6982794055468,6438489
327,6982820897212,6982827025784,6128572
328,6982854383630,6982860551709,6168079
329,6982887755113,6982894130746,6375633
330,6982921082279,6982927434562,6352283
331,6982954360874,6982960516148,6155274
332,6982987617219,6982994021574,6404355
333,6983020948869,6983027075118,6126249
334,6983054290836,6983060603064,6312228
335,6983087719663,6983094229506,6509843
336,6983120944719,6983127276051,6331332
337,6983154292228,6983160992990,6700762
338,6983187621466,6983193739964,6118498
339,6983220940912,6983226852341,5911429
340,6983254250773,6983259634074,5383301
341,6983287742283,6983293925297,6183014
342,6983320959017,6983327670674,6711657
343,6983354292552,6983360642099,6349547
344,6983387616269,6983394197060,6580791
345,6983421067189,6983427673757,6606568
346,6983454289958,6983460686211,6396253
347,6983487737472,6983494154533,6417061
348,6983520947049,6983527155705,6208656
349,6983554252680,6983560630846,6378166
350,6983587622494,6983593728317,6105823
351,6983620949169,6983627300946,6351777
352,6983654292324,6983660229683,5937359
353,6983687617464,6983693830674,6213210
354,6983720954696,6983727275184,6320488
355,6983754435240,6983761103145,6667905
356,6983787625724,6983794163253,6537529
357,6983820918049,6983828762270,7844221
358,6983854253645,6983861191068,6937423
359,6983887607543,6983894301488,6693945
360,6983920938406,6983927555810,6617404
361,6983954249239,6983960747018,6497779
362,6983987607421,6983994644960,7037539
363,6984020919783,6984027608087,6688304
364,6984054289941,6984061712188,7422247
365,6984087591326,6984094612953,7021627
366,6984121127099,6984127636475,6509376
367,6984154250974,6984160464659,6213685
368,6984187865559,6984193916461,6050902
369,6984220962694,6984228272625,7309931
370,6984254282849,6984262893462,8610613
371,6984287750503,6984293771803,6021300
372,6984321200998,6984327310472,6109474
373,6984354371075,6984360324460,5953385
374,6984387631094,6984393779434,6148340
375,6984420948534,6984426980741,6032207
376,6984454250690,6984460131960,5881270
377,6984487607906,6984493453616,5845710
378,6984520941680,6984526987488,6045808
379,6984554250178,6984560264634,6014456
380,6984587621662,6984593879403,6257741
381,6984620916507,6984626976135,6059628
382,6984654284747,6984660994006,6709259
383,6984687655198,6984694087964,6432766
384,6984720942202,6984727268087,6325885
385,6984754250890,6984760334432,6083542
386,6984787618079,6984793506145,5888066
387,6984820939088,6984827089826,6150738
388,6984854287259,6984860551843,6264584
389,6984887731939,6984893972116,6240177
390,6984921143526,6984927461213,6317687
391,6984954250083,6984960516348,6266265
392,6984987585287,6984993961286,6375999
393,6985020940641,6985026962817,6022176
394,6985054275939,6985060378347,6102408
395,6985087617253,6985093875809,6258556
396,6985120937381,6985127360140,6422759
397,6985154249987,6985160210942,5960955
398,6985187610191,6985193751881,6141690
399,6985220942080,6985229531496,8589416
400,6985254250666,6985263045241,8794575
401,6985287584980,6985293794235,6209255
402,6985320955018,6985327175410,6220392
403,6985354250287,6985360246623,5996336
404,6985387610676,6985393513466,5902790
405,6985420948383,6985427390707,6442324
406,6985454288511,6985460789132,6500621
407,6985487615948,6985493678841,6062893
408,6985520915507,6985526669236,5753729
409,6985554412959,6985560426132,6013173
410,6985587733276,6985593935378,6202102
411,6985621053359,6985626875828,5822469
412,6985654392735,6985662441271,8048536
413,6985687608934,6985693872186,6263252
414,6985720943114,6985727036000,6092886
415,6985754279599,6985760622690,6343091
416,6985787582620,6985793769637,6187017
417,6985820949849,6985827221406,6271557
418,6985854251741,6985860672222,6420481
419,6985887617206,6985893714703,6097497
420,6985920891798,6985926718660,5826862
421,6985954250503,6985960085659,5835156
422,6985987611612,6985996575415,8963803
423,6986020911116,6986029239896,8328780
424,6986054250706,6986060750783,6500077
425,6986087743263,6986094214393,6471130
426,6986120949961,6986126884698,5934737
427,6986154253337,6986160593053,6339716
428,6986187644129,6986193929982,6285853
429,6986220943341,6986227020352,6077011
430,6986254249403,6986259938255,5688852
431,6986287620364,6986293899480,6279116
432,6986320945165,6986326893959,5948794
433,6986354250840,6986360117396,5866556
434,6986387606448,6986393826061,6219613
435,6986420939426,6986427279748,6340322
436,6986454275523,6986460878667,6603144
437,6986487609506,6986493466595,5857089
