tick_ns,sid,pid,comm,cpu_pct
508178940,296762,296762,ros2,76.00
508178940,296762,296781,camera_server_s,0.00
1007037823,296762,296762,ros2,0.00
1007037823,296762,296781,camera_server_s,52.00
1507405909,296762,296762,ros2,0.00
1507405909,296762,296781,camera_server_s,4.00
2007196748,296762,296762,ros2,0.00
2007196748,296762,296781,camera_server_s,32.00
2507149950,296762,296762,ros2,0.00
2507149950,296762,296781,camera_server_s,6.00
3007140920,296762,296762,ros2,0.00
3007140920,296762,296781,camera_server_s,4.00
3507558414,296762,296762,ros2,0.00
3507558414,296762,296781,camera_server_s,4.00
4007111622,296762,296762,ros2,0.00
4007111622,296762,296781,camera_server_s,4.00
4507275106,296762,296762,ros2,0.00
4507275106,296762,296781,camera_server_s,4.00
5007169692,296762,296762,ros2,0.00
5007169692,296762,296781,camera_server_s,6.00
5507391330,296762,296762,ros2,0.00
5507391330,296762,296781,camera_server_s,6.00
6007545017,296762,296762,ros2,0.00
6007545017,296762,296781,camera_server_s,2.00
6507387436,296762,296762,ros2,0.00
6507387436,296762,296781,camera_server_s,4.00
7007525811,296762,296762,ros2,0.00
7007525811,296762,296781,camera_server_s,6.00
7507300728,296762,296762,ros2,0.00
7507300728,296762,296781,camera_server_s,4.00
8007451569,296762,296762,ros2,0.00
8007451569,296762,296781,camera_server_s,6.00
8507562076,296762,296762,ros2,0.00
8507562076,296762,296781,camera_server_s,4.00
9007253815,296762,296762,ros2,0.00
9007253815,296762,296781,camera_server_s,4.00
9507388331,296762,296762,ros2,0.00
9507388331,296762,296781,camera_server_s,6.00
10007106435,296762,296762,ros2,0.00
10007106435,296762,296781,camera_server_s,4.00
10507426606,296762,296762,ros2,0.00
10507426606,296762,296781,camera_server_s,4.00
11007778455,296762,296762,ros2,0.00
11007778455,296762,296781,camera_server_s,6.00
11507416660,296762,296762,ros2,0.00
11507416660,296762,296781,camera_server_s,4.00
12007359419,296762,296762,ros2,0.00
12007359419,296762,296781,camera_server_s,6.00
12507523283,296762,296762,ros2,0.00
12507523283,296762,296781,camera_server_s,4.00
13007160205,296762,296762,ros2,0.00
13007160205,296762,296781,camera_server_s,4.00
13507481781,296762,296762,ros2,0.00
13507481781,296762,296781,camera_server_s,6.00
14007281180,296762,296762,ros2,0.00
14007281180,296762,296781,camera_server_s,6.00
14508696608,296762,296762,ros2,0.00
14508696608,296762,296781,camera_server_s,4.00
