tick_ns,sid,pid,comm,cpu_pct
507386610,301017,301017,ros2,0.00
507386610,301017,301046,usb_cam_node_ex,10.00
507386610,301017,301047,republish,8.00
1007268017,301017,301017,ros2,0.00
1007268017,301017,301046,usb_cam_node_ex,8.00
1007268017,301017,301047,republish,6.00
1507121923,301017,301017,ros2,0.00
1507121923,301017,301046,usb_cam_node_ex,8.00
1507121923,301017,301047,republish,6.00
2007078199,301017,301017,ros2,0.00
2007078199,301017,301046,usb_cam_node_ex,8.00
2007078199,301017,301047,republish,6.00
2507218297,301017,301017,ros2,0.00
2507218297,301017,301046,usb_cam_node_ex,8.00
2507218297,301017,301047,republish,8.00
3007181497,301017,301017,ros2,0.00
3007181497,301017,301046,usb_cam_node_ex,6.00
3007181497,301017,301047,republish,8.00
3507494989,301017,301017,ros2,0.00
3507494989,301017,301046,usb_cam_node_ex,8.00
3507494989,301017,301047,republish,4.00
4007382493,301017,301017,ros2,0.00
4007382493,301017,301046,usb_cam_node_ex,6.00
4007382493,301017,301047,republish,6.00
4507378557,301017,301017,ros2,0.00
4507378557,301017,301046,usb_cam_node_ex,8.00
4507378557,301017,301047,republish,6.00
5007494329,301017,301017,ros2,0.00
5007494329,301017,301046,usb_cam_node_ex,8.00
5007494329,301017,301047,republish,6.00
5507346989,301017,301017,ros2,0.00
5507346989,301017,301046,usb_cam_node_ex,6.00
5507346989,301017,301047,republish,6.00
6007326276,301017,301017,ros2,0.00
6007326276,301017,301046,usb_cam_node_ex,6.00
6007326276,301017,301047,republish,6.00
6507475072,301017,301017,ros2,0.00
6507475072,301017,301046,usb_cam_node_ex,6.00
6507475072,301017,301047,republish,4.00
7007463406,301017,301017,ros2,0.00
7007463406,301017,301046,usb_cam_node_ex,8.00
7007463406,301017,301047,republish,6.00
7507247446,301017,301017,ros2,0.00
7507247446,301017,301046,usb_cam_node_ex,8.00
7507247446,301017,301047,republish,6.00
8007507928,301017,301017,ros2,0.00
8007507928,301017,301046,usb_cam_node_ex,4.00
8007507928,301017,301047,republish,6.00
8507274495,301017,301017,ros2,0.00
8507274495,301017,301046,usb_cam_node_ex,8.00
8507274495,301017,301047,republish,6.00
9007278556,301017,301017,ros2,0.00
9007278556,301017,301046,usb_cam_node_ex,6.00
9007278556,301017,301047,republish,4.00
9507254917,301017,301017,ros2,0.00
9507254917,301017,301046,usb_cam_node_ex,8.00
9507254917,301017,301047,republish,6.00
10007274941,301017,301017,ros2,0.00
10007274941,301017,301046,usb_cam_node_ex,8.00
10007274941,301017,301047,republish,6.00
10507197893,301017,301017,ros2,0.00
10507197893,301017,301046,usb_cam_node_ex,6.00
10507197893,301017,301047,republish,6.00
11007276336,301017,301017,ros2,0.00
11007276336,301017,301046,usb_cam_node_ex,6.00
11007276336,301017,301047,republish,4.00
11507378554,301017,301017,ros2,0.00
11507378554,301017,301046,usb_cam_node_ex,6.00
11507378554,301017,301047,republish,6.00
12007304153,301017,301017,ros2,0.00
12007304153,301017,301046,usb_cam_node_ex,8.00
12007304153,301017,301047,republish,6.00
12507359371,301017,301017,ros2,0.00
12507359371,301017,301046,usb_cam_node_ex,8.00
12507359371,301017,301047,republish,6.00
13007186921,301017,301017,ros2,0.00
13007186921,301017,301046,usb_cam_node_ex,6.00
13007186921,301017,301047,republish,6.00
13507338493,301017,301017,ros2,0.00
13507338493,301017,301046,usb_cam_node_ex,8.00
13507338493,301017,301047,republish,6.00
14008040542,301017,301017,ros2,0.00
14008040542,301017,301046,usb_cam_node_ex,8.00
14008040542,301017,301047,republish,6.00
14507692495,301017,301017,ros2,0.00
14507692495,301017,301046,usb_cam_node_ex,6.00
14507692495,301017,301047,republish,6.00
