scenario,receiver,count,expected,frame_loss,fps_effective,mean_ms,stddev_ms,p50_ms,p95_ms,p99_ms,max_ms,p50_ms_raw,producer_encode_mean_ms,producer_underruns,seen,decoded,decoded_ratio,cpu_stack_total_mean_pct,cpu_stack_total_p95_pct
cam-ros-rcs-yuv,ros_raw,377,390,0.0333,30.00,2.983,0.317,2.948,3.385,4.372,5.660,3.217,0.269,0,437,437,1.0000,6.46,8.00
cam-ros-rcs-mjpeg,ros_jpeg,377,390,0.0333,30.00,1.890,0.295,1.862,2.316,2.981,3.929,3.506,1.644,0,437,437,1.0000,0.62,2.00
cam-ros-rcs-mjpeg-decoded,ros_raw,374,390,0.0410,30.00,4.673,0.672,4.512,6.152,7.245,9.183,6.221,1.709,0,434,434,1.0000,9.54,10.00
cam-ros-usb_cam-yuv,ros_raw,371,390,0.0487,30.00,2.837,0.230,2.810,3.071,3.716,5.553,3.068,0.258,0,431,431,1.0000,7.08,8.00
cam-ros-usb_cam-mjpeg,ros_raw,373,390,0.0436,30.00,3.635,0.283,3.604,3.955,5.026,5.605,5.256,1.651,0,433,433,1.0000,9.69,12.00
cam-ros-gscam-yuv,ros_raw,375,390,0.0385,30.00,2.935,0.263,2.894,3.245,4.111,4.763,3.146,0.252,0,435,435,1.0000,7.00,8.00
cam-ros-gscam-mjpeg,ros_raw,375,390,0.0385,30.00,3.595,0.314,3.527,4.107,4.674,5.976,5.186,1.658,0,435,435,1.0000,9.31,10.00
cam-stream-floor,stream,345,390,0.1154,30.00,4.601,0.213,4.605,4.955,5.083,5.492,4.862,0.257,0,405,405,1.0000,3.92,6.00
cam-stream-rcs-yuv-rtp,stream,331,390,0.1513,30.00,4.873,0.319,4.860,5.389,5.665,6.746,5.106,0.245,0,391,391,1.0000,5.77,6.00
cam-stream-rcs-yuv-webrtc,stream,362,390,0.0718,30.00,5.105,0.331,5.099,5.582,5.955,7.021,5.352,0.253,0,422,422,1.0000,5.08,6.00
cam-stream-usb_cam+gst_bridge-yuv-rtp,stream,344,390,0.1179,30.00,8.161,0.357,8.132,8.758,9.138,10.028,8.384,0.252,0,404,404,1.0000,16.08,19.50
cam-stream-gscam+gst_bridge-yuv-rtp,stream,344,390,0.1179,30.00,8.343,0.471,8.263,9.286,10.079,10.965,8.516,0.252,0,404,404,1.0000,16.31,18.00
cam-stream-usb_cam+web_video_server-yuv-mjpeg,stream,384,390,0.0154,30.00,8.508,0.713,8.359,9.704,10.559,13.357,8.617,0.258,0,444,444,1.0000,26.62,31.50
cam-stream-usb_cam+rtsp_fkie-yuv-h264,stream,383,390,0.0179,30.00,6.728,0.527,6.562,7.765,8.710,10.754,6.819,0.257,0,443,443,1.0000,12.85,14.00
ros-stream-rcs-raw-rtp,stream,327,390,0.1615,30.00,8.960,0.572,8.875,9.579,10.392,16.739,8.875,0.000,0,387,387,1.0000,10.31,13.50
ros-stream-rcs-jpeg-rtp,stream,326,390,0.1641,30.00,6.645,0.443,6.592,7.455,7.955,8.342,8.243,1.651,0,386,386,1.0000,8.54,12.50
ros-stream-rcs-raw-webrtc,stream,353,390,0.0949,30.00,6.966,0.677,6.820,8.084,10.170,11.296,9.118,2.298,0,413,413,1.0000,10.08,12.00
ros-stream-rcs-jpeg-webrtc,stream,359,390,0.0795,30.00,6.681,0.648,6.551,7.638,9.599,10.553,8.262,1.710,0,419,419,1.0000,7.69,10.00
ros-stream-gst_bridge-raw-rtp,stream,343,390,0.1205,30.00,8.867,0.730,8.755,9.347,11.825,17.337,8.755,0.000,0,403,403,1.0000,9.38,10.00
