frame_id,send_ts_ns,recv_ts_ns,latency_ns
243,102125243363523,102125262552748,19189225
244,102125276851197,102125297427945,20576748
245,102125310221941,102125330646143,20424202
246,102125343325971,102125363585383,20259412
247,102125376853429,102125397385874,20532445
248,102125410137220,102125430394341,20257121
249,102125443592386,102125463375299,19782913
250,102125476789046,102125497434773,20645727
251,102125510148676,102125531143591,20994915
252,102125543369247,102125563614920,20245673
253,102125576830727,102125597402463,20571736
254,102125610143725,102125630467930,20324205
255,102125643337361,102125664156169,20818808
256,102125676854047,102125697433727,20579680
257,102125710105488,102125730503173,20397685
258,102125743561324,102125764483468,20922144
259,102125776844066,102125797753002,20908936
260,102125810208003,102125830992259,20784256
261,102125843325230,102125864091520,20766290
262,102125876660446,102125897551912,20891466
263,102125910194229,102125930755637,20561408
264,102125943400593,102125964216138,20815545
265,102125976836347,102125997664312,20827965
266,102126010275779,102126030731745,20455966
267,102126043324570,102126063499512,20174942
268,102126076813397,102126097450594,20637197
269,102126110127062,102126130222689,20095627
270,102126143499109,102126163916537,20417428
271,102126176762630,102126197358565,20595935
272,102126210229914,102126230926295,20696381
273,102126243384222,102126262430871,19046649
274,102126276860710,102126297451813,20591103
275,102126310249823,102126330736144,20486321
276,102126343444743,102126363876198,20431455
277,102126376854858,102126397609177,20754319
278,102126410121480,102126430809675,20688195
279,102126443480863,102126464034282,20553419
280,102126476883002,102126497628207,20745205
281,102126510176152,102126530542042,20365890
282,102126543516339,102126564268052,20751713
283,102126576816984,102126597204177,20387193
284,102126610146859,102126630465418,20318559
285,102126643433677,102126664120756,20687079
286,102126676843664,102126699466315,22622651
287,102126710214408,102126730604824,20390416
288,102126743500621,102126764420591,20919970
289,102126776802203,102126797494725,20692522
290,102126810145117,102126830681121,20536004
291,102126843466688,102126864030173,20563485
292,102126876680031,102126897533303,20853272
293,102126910247752,102126931366065,21118313
294,102126943498272,102126963533435,20035163
295,102126976915183,102126997428425,20513242
296,102127010168807,102127030268898,20100091
297,102127043444666,102127063857087,20412421
298,102127076810654,102127097292018,20481364
299,102127110162872,102127130243806,20080934
300,102127143324937,102127163607586,20282649
301,102127176832620,102127199226464,22393844
302,102127210240162,102127230533998,20293836
303,102127243490474,102127262910781,19420307
304,102127276849691,102127296849419,19999728
305,102127310198482,102127331916376,21717894
306,102127343373335,102127363964413,20591078
307,102127376848199,102127397350532,20502333
308,102127409992182,102127430082561,20090379
309,102127443499489,102127463623822,20124333
310,102127476799806,102127497154098,20354292
311,102127510195571,102127530697239,20501668
312,102127543498482,102127564313358,20814876
