tick_ns,sid,pid,comm,cpu_pct
507603566,307231,307231,ros2,0.00
507603566,307231,307236,republish,10.00
1007271639,307231,307231,ros2,0.00
1007271639,307231,307236,republish,6.00
1507481602,307231,307231,ros2,0.00
1507481602,307231,307236,republish,6.00
2007763446,307231,307231,ros2,0.00
2007763446,307231,307236,republish,6.00
2507577525,307231,307231,ros2,0.00
2507577525,307231,307236,republish,6.00
3007419894,307231,307231,ros2,0.00
3007419894,307231,307236,republish,6.00
3507333143,307231,307231,ros2,0.00
3507333143,307231,307236,republish,6.00
4007626735,307231,307231,ros2,0.00
4007626735,307231,307236,republish,4.00
4507795412,307231,307231,ros2,0.00
4507795412,307231,307236,republish,6.00
5007715926,307231,307231,ros2,0.00
5007715926,307231,307236,republish,6.00
5507754455,307231,307231,ros2,0.00
5507754455,307231,307236,republish,6.00
6007229655,307231,307231,ros2,0.00
6007229655,307231,307236,republish,6.00
6507556749,307231,307231,ros2,0.00
6507556749,307231,307236,republish,6.00
7007584659,307231,307231,ros2,0.00
7007584659,307231,307236,republish,6.00
7507770110,307231,307231,ros2,0.00
7507770110,307231,307236,republish,6.00
8007388174,307231,307231,ros2,0.00
8007388174,307231,307236,republish,4.00
8507587532,307231,307231,ros2,0.00
8507587532,307231,307236,republish,8.00
9007985378,307231,307231,ros2,0.00
9007985378,307231,307236,republish,6.00
9508256644,307231,307231,ros2,0.00
9508256644,307231,307236,republish,6.00
10008427425,307231,307231,ros2,0.00
10008427425,307231,307236,republish,6.00
10508064419,307231,307231,ros2,0.00
10508064419,307231,307236,republish,4.00
11008011611,307231,307231,ros2,0.00
11008011611,307231,307236,republish,8.00
11507936018,307231,307231,ros2,0.00
11507936018,307231,307236,republish,6.00
12007669077,307231,307231,ros2,0.00
12007669077,307231,307236,republish,4.00
12507764413,307231,307231,ros2,0.00
12507764413,307231,307236,republish,6.00
13007800446,307231,307231,ros2,0.00
13007800446,307231,307236,republish,6.00
13507453645,307231,307231,ros2,0.00
13507453645,307231,307236,republish,8.00
14007636710,307231,307231,ros2,0.00
14007636710,307231,307236,republish,6.00
14507934156,307231,307231,ros2,0.00
14507934156,307231,307236,republish,4.00
