frame_id,send_ts_ns,recv_ts_ns,latency_ns
129,103167473298451,103167487974742,14676291
130,103167506590451,103167526530130,19939679
131,103167540070051,103167554963839,14893788
132,103167573257584,103167585304491,12046907
133,103167606591559,103167618705784,12114225
134,103167639924491,103167652047533,12123042
135,103167673261319,103167685456303,12194984
136,103167706787572,103167719019082,12231510
137,103167740039663,103167752054785,12015122
138,103167773422356,103167785287610,11865254
139,103167806791337,103167819033111,12241774
140,103167840065795,103167852139946,12074151
141,103167873377811,103167885392727,12014916
142,103167906651258,103167918852024,12200766
143,103167940038472,103167954651348,14612876
144,103167973260058,103167987926502,14666444
145,103168006594839,103168021399370,14804531
146,103168040038411,103168053095992,13057581
147,103168073259416,103168086515126,13255710
148,103168106652814,103168119225523,12572709
149,103168140026826,103168152614266,12587440
150,103168173259541,103168185618982,12359441
151,103168206722433,103168219908359,13185926
152,103168239924850,103168253060428,13135578
153,103168273524243,103168286076931,12552688
154,103168306646520,103168319578177,12931657
155,103168340022185,103168353045006,13022821
156,103168373422763,103168385665542,12242779
157,103168406732063,103168419472941,12740878
158,103168440048552,103168452275271,12226719
159,103168473405693,103168485494465,12088772
160,103168506590523,103168519097260,12506737
161,103168540073427,103168552601365,12527938
162,103168573259821,103168585776655,12516834
163,103168606589801,103168618971489,12381688
164,103168640039784,103168652849266,12809482
165,103168673259880,103168685793014,12533134
166,103168706822594,103168719463725,12641131
167,103168740062477,103168752556290,12493813
168,103168773260755,103168785617496,12356741
169,103168806764245,103168819878310,13114065
170,103168840065635,103168852557127,12491492
171,103168873259628,103168885685060,12425432
172,103168906594054,103168918646524,12052470
173,103168940056125,103168952477976,12421851
174,103168973259719,103168985867727,12608008
175,103169006591008,103169019418827,12827819
176,103169039936919,103169052127408,12190489
177,103169073258321,103169085598797,12340476
178,103169106590687,103169118655901,12065214
179,103169140029492,103169152115457,12085965
180,103169173256860,103169185568146,12311286
181,103169206654612,103169218616571,11961959
182,103169240086079,103169252731269,12645190
183,103169273256851,103169285515197,12258346
184,103169306778928,103169319077780,12298852
185,103169340036071,103169352337350,12301279
186,103169373256820,103169385357705,12100885
187,103169406646761,103169419444635,12797874
188,103169440038336,103169452161045,12122709
189,103169473407660,103169485453936,12046276
190,103169506622437,103169519176697,12554260
191,103169539923684,103169552091773,12168089
192,103169573258444,103169586417950,13159506
193,103169606590277,103169618898924,12308647
194,103169639923715,103169652101476,12177761
195,103169673259720,103169685595867,12336147
196,103169706723460,103169718981625,12258165
197,103169739924021,103169753445161,13521140
198,103169773257944,103169788833529,15575585
199,103169806600733,103169826118406,19517673
200,103169839928719,103169853439768,13511049
201,103169873257751,103169885839563,12581812
202,103169906789637,103169919223723,12434086
203,103169939926318,103169952984723,13058405
204,103169973364801,103169986005965,12641164
205,103170006593155,103170019162307,12569152
206,103170040027193,103170052504489,12477296
207,103170073260197,103170085897044,12636847
208,103170106721979,103170119217648,12495669
209,103170139925566,103170152865896,12940330
210,103170173475019,103170186231186,12756167
211,103170206724108,103170219234822,12510714
212,103170240100173,103170252814950,12714777
213,103170273444252,103170286143436,12699184
214,103170306647155,103170319284791,12637636
215,103170340051590,103170352734429,12682839
216,103170373343037,103170385832973,12489936
217,103170406612232,103170419171784,12559552
218,103170439924389,103170452597045,12672656
219,103170473259577,103170485702526,12442949
220,103170506738514,103170519066334,12327820
221,103170540036901,103170552099475,12062574
222,103170573288276,103170586530428,13242152
223,103170606744924,103170619042364,12297440
224,103170640043983,103170652223383,12179400
225,103170673450416,103170685923082,12472666
226,103170706779717,103170719441539,12661822
227,103170740136830,103170752858953,12722123
228,103170773520248,103170785437679,11917431
229,103170806760739,103170819414201,12653462
230,103170840115898,103170852309782,12193884
231,103170873440466,103170885642724,12202258
232,103170906776228,103170919443132,12666904
233,103170940066842,103170952477064,12410222
234,103170973260295,103170985629808,12369513
235,103171006808902,103171019337160,12528258
236,103171040074786,103171051940492,11865706
237,103171073403681,103171085953379,12549698
238,103171106841591,103171119093392,12251801
239,103171140035753,103171152049920,12014167
240,103171173259128,103171186332410,13073282
241,103171206653658,103171218710529,12056871
242,103171240131633,103171252484831,12353198
243,103171273260057,103171286011750,12751693
244,103171306816258,103171319154795,12338537
245,103171340143799,103171353067612,12923813
246,103171373467712,103171385789202,12321490
247,103171406653938,103171419105916,12451978
248,103171440092861,103171452297601,12204740
249,103171473454769,103171486009687,12554918
250,103171506742258,103171519090788,12348530
251,103171540106152,103171552283632,12177480
252,103171573380254,103171586044628,12664374
