tick_ns,sid,pid,comm,cpu_pct
509128045,319242,319242,ros2,76.00
509128045,319242,319262,usb_cam_node_ex,0.00
1007150057,319242,319242,ros2,0.00
1007150057,319242,319262,usb_cam_node_ex,12.00
1507036752,319242,319242,ros2,0.00
1507036752,319242,319262,usb_cam_node_ex,10.00
2007251828,319242,319242,ros2,0.00
2007251828,319242,319262,usb_cam_node_ex,10.00
2507624210,319242,319242,ros2,0.00
2507624210,319242,319262,usb_cam_node_ex,8.00
3007211397,319242,319242,ros2,0.00
3007211397,319242,319262,usb_cam_node_ex,10.00
3507899984,319242,319242,ros2,0.00
3507899984,319242,319262,usb_cam_node_ex,10.00
4007243733,319242,319242,ros2,0.00
4007243733,319242,319262,usb_cam_node_ex,10.00
4507066699,319242,319242,ros2,0.00
4507066699,319242,319262,usb_cam_node_ex,8.00
5007829428,319242,319242,ros2,0.00
5007829428,319242,319262,usb_cam_node_ex,12.00
5507367470,319242,319242,ros2,0.00
5507367470,319242,319262,usb_cam_node_ex,10.00
6007310270,319242,319242,ros2,0.00
6007310270,319242,319262,usb_cam_node_ex,8.00
6507154105,319242,319242,ros2,0.00
6507154105,319242,319262,usb_cam_node_ex,10.00
7007283747,319242,319242,ros2,0.00
7007283747,319242,319262,usb_cam_node_ex,10.00
7507525304,319242,319242,ros2,0.00
7507525304,319242,319262,usb_cam_node_ex,12.00
8007644003,319242,319242,ros2,0.00
8007644003,319242,319262,usb_cam_node_ex,8.00
8507335164,319242,319242,ros2,0.00
8507335164,319242,319262,usb_cam_node_ex,12.00
9006972611,319242,319242,ros2,0.00
9006972611,319242,319262,usb_cam_node_ex,8.00
9506974839,319242,319242,ros2,0.00
9506974839,319242,319262,usb_cam_node_ex,10.00
10007474934,319242,319242,ros2,0.00
10007474934,319242,319262,usb_cam_node_ex,8.00
10507111085,319242,319242,ros2,0.00
10507111085,319242,319262,usb_cam_node_ex,12.00
11007411623,319242,319242,ros2,0.00
11007411623,319242,319262,usb_cam_node_ex,10.00
11507439911,319242,319242,ros2,0.00
11507439911,319242,319262,usb_cam_node_ex,8.00
12007321102,319242,319242,ros2,0.00
12007321102,319242,319262,usb_cam_node_ex,10.00
12507252829,319242,319242,ros2,0.00
12507252829,319242,319262,usb_cam_node_ex,8.00
13007269712,319242,319242,ros2,0.00
13007269712,319242,319262,usb_cam_node_ex,10.00
13507308550,319242,319242,ros2,0.00
13507308550,319242,319262,usb_cam_node_ex,8.00
14007051376,319242,319242,ros2,0.00
14007051376,319242,319262,usb_cam_node_ex,12.00
14507188303,319242,319242,ros2,0.00
14507188303,319242,319262,usb_cam_node_ex,8.00
