frame_id,send_ts_ns,recv_ts_ns,latency_ns
131,103238572100991,103238581629094,9528103
132,103238605438305,103238614968301,9529996
133,103238638931801,103238648321742,9389941
134,103238672152016,103238681894811,9742795
135,103238705559080,103238715077156,9518076
136,103238738931977,103238748500311,9568334
137,103238772074675,103238781553551,9478876
138,103238805402900,103238815105379,9702479
139,103238838987309,103238849325803,10338494
140,103238872068137,103238881592948,9524811
141,103238905403970,103238915054138,9650168
142,103238938908559,103238949068589,10160030
143,103238972172548,103238982045710,9873162
144,103239005606609,103239015936431,10329822
145,103239038895834,103239048600604,9704770
146,103239072067858,103239081806277,9738419
147,103239105404319,103239115835365,10431046
148,103239138896917,103239148941381,10044464
149,103239172087321,103239181832290,9744969
150,103239205404638,103239215155122,9750484
151,103239238918250,103239248482032,9563782
152,103239272134613,103239282583655,10449042
153,103239305403958,103239315069847,9665889
154,103239338934835,103239348842736,9907901
155,103239372325928,103239382088967,9763039
156,103239405577220,103239415142563,9565343
157,103239438766357,103239448661174,9894817
158,103239472161620,103239481863069,9701449
159,103239505455193,103239515250059,9794866
160,103239538973278,103239548715476,9742198
161,103239572229732,103239582500532,10270800
162,103239605404044,103239615244836,9840792
163,103239638926084,103239648384886,9458802
164,103239672179328,103239682181499,10002171
165,103239705576743,103239715613407,10036664
166,103239738905891,103239748654450,9748559
167,103239772068358,103239781940929,9872571
168,103239805442767,103239815386457,9943690
169,103239838862316,103239849065359,10203043
170,103239872166262,103239881897140,9730878
171,103239905402090,103239915074154,9672064
172,103239938767400,103239948806753,10039353
173,103239972106871,103239982073502,9966631
174,103240005402829,103240015930347,10527518
175,103240038737398,103240048230148,9492750
176,103240072072524,103240081619845,9547321
177,103240105434505,103240115464739,10030234
178,103240138920762,103240148417334,9496572
179,103240172261967,103240181864296,9602329
180,103240205402045,103240215165522,9763477
181,103240238768423,103240248496498,9728075
182,103240272068006,103240282054756,9986750
183,103240305423306,103240314966718,9543412
184,103240338926964,103240348822664,9895700
185,103240372177293,103240381835446,9658153
186,103240405559256,103240415059445,9500189
187,103240438767224,103240448967349,10200125
