frame_id,send_ts_ns,recv_ts_ns,latency_ns
134,7917747890679,7917756037858,8147179
135,7917781214695,7917788369967,7155272
136,7917814556915,7917821845247,7288332
137,7917847887614,7917855730375,7842761
138,7917881187302,7917888828876,7641574
139,7917914555028,7917922743458,8188430
140,7917947891695,7917955761997,7870302
141,7917981188937,7917988795975,7607038
142,7918014563618,7918023366755,8803137
143,7918047854923,7918055679731,7824808
144,7918081191243,7918089093232,7901989
145,7918114564887,7918122163606,7598719
146,7918147887200,7918155301056,7413856
147,7918181187217,7918189358002,8170785
148,7918214557322,7918222574253,8016931
149,7918247889807,7918255902636,8012829
150,7918281186438,7918288665673,7479235
151,7918314554168,7918322955841,8401673
152,7918347890086,7918356517697,8627611
153,7918381187930,7918389374615,8186685
154,7918414550176,7918422659903,8109727
155,7918447884563,7918455965990,8081427
156,7918481187027,7918489369302,8182275
157,7918514554366,7918522917283,8362917
158,7918547885799,7918555666351,7780552
159,7918581190632,7918589045095,7854463
160,7918614560239,7918623016004,8455765
161,7918647892469,7918656788741,8896272
162,7918681187409,7918689633807,8446398
163,7918714545565,7918722475313,7929748
164,7918747887097,7918756787443,8900346
165,7918781209253,7918789159297,7950044
166,7918814557723,7918822724366,8166643
167,7918847899188,7918856227188,8328000
168,7918881186538,7918888975092,7788554
169,7918914561518,7918923409755,8848237
170,7918947856967,7918955876820,8019853
171,7918981189948,7918988920815,7730867
172,7919014522493,7919022888759,8366266
173,7919047896907,7919056701921,8805014
174,7919081188653,7919089724172,8535519
175,7919114549768,7919122831492,8281724
176,7919147902889,7919155729752,7826863
177,7919181193439,7919188717491,7524052
178,7919214584515,7919222595602,8011087
179,7919247895501,7919255883081,7987580
180,7919281303375,7919289687093,8383718
181,7919314551737,7919323533104,8981367
182,7919347876597,7919355823022,7946425
183,7919381190699,7919389205623,8014924
184,7919414520084,7919422359525,7839441
185,7919447877715,7919455946765,8069050
186,7919481189339,7919488638145,7448806
187,7919514559493,7919522256066,7696573
188,7919547886983,7919556024868,8137885
189,7919581189503,7919590279247,9089744
190,7919614523208,7919622719672,8196464
191,7919647889195,7919656126713,8237518
192,7919681188591,7919689628834,8440243
193,7919714547410,7919723022597,8475187
194,7919747887270,7919756075985,8188715
195,7919781187042,7919789536211,8349169
196,7919814521107,7919822930244,8409137
197,7919847887002,7919856723712,8836710
198,7919881186376,7919889481979,8295603
199,7919914551259,7919923183014,8631755
200,7919947885755,7919956355325,8469570
201,7919981187938,7919989846142,8658204
202,7920014554730,7920022742137,8187407
203,7920047881114,7920056388037,8506923
204,7920081187778,7920089689200,8501422
205,7920114557623,7920122803666,8246043
206,7920147883229,7920155724953,7841724
207,7920181186473,7920189906954,8720481
208,7920214559762,7920223884377,9324615
209,7920247878216,7920256849755,8971539
210,7920281186719,7920289784263,8597544
211,7920314556415,7920322741143,8184728
212,7920347898036,7920356133990,8235954
213,7920381197530,7920389395826,8198296
214,7920414597887,7920422765608,8167721
215,7920448049768,7920456284099,8234331
216,7920481187649,7920488866138,7678489
217,7920514564109,7920522552657,7988548
218,7920547884604,7920556278920,8394316
219,7920581191204,7920588981800,7790596
220,7920614524871,7920624677228,10152357
221,7920647890264,7920655527686,7637422
222,7920681187445,7920689497857,8310412
223,7920714559348,7920722714731,8155383
224,7920747892910,7920756429689,8536779
225,7920781220590,7920789923705,8703115
226,7920814553789,7920823154951,8601162
227,7920847886612,7920856550163,8663551
228,7920881208802,7920889376650,8167848
229,7920914553669,7920923115705,8562036
230,7920947886709,7920956030817,8144108
231,7920981188201,7920989148336,7960135
232,7921014549284,7921023266679,8717395
233,7921048014812,7921056493027,8478215
234,7921081191229,7921089905830,8714601
235,7921114547735,7921122939405,8391670
236,7921147856332,7921156768072,8911740
237,7921181198890,7921189410459,8211569
238,7921214521419,7921223207553,8686134
239,7921247864199,7921256327764,8463565
240,7921281185921,7921289172453,7986532
241,7921314522114,7921322881120,8359006
242,7921347890454,7921356101344,8210890
243,7921381269295,7921389644892,8375597
244,7921414659692,7921423352733,8693041
245,7921448042576,7921455975662,7933086
246,7921481190102,7921490410358,9220256
247,7921514548829,7921523754938,9206109
248,7921547872987,7921556758367,8885380
249,7921581188670,7921591101256,9912586
250,7921614526987,7921625168707,10641720
251,7921647899010,7921656973515,9074505
252,7921681297149,7921690521897,9224748
253,7921714520768,7921723714977,9194209
254,7921747854237,7921757721660,9867423
255,7921781187707,7921790468192,9280485
256,7921814558639,7921824661608,10102969
257,7921847889453,7921857281062,9391609
258,7921881291782,7921889696652,8404870
259,7921914555590,7921922646175,8090585
260,7921947889789,7921956341999,8452210
261,7921981205787,7921989478141,8272354
262,7922014557728,7922022722577,8164849
263,7922047886974,7922056021382,8134408
264,7922081188349,7922089622858,8434509
265,7922114561841,7922122195330,7633489
266,7922147882294,7922155462638,7580344
267,7922181187617,7922189358374,8170757
268,7922214560911,7922222792809,8231898
269,7922247888787,7922256510829,8622042
270,7922281186467,7922289711936,8525469
271,7922314521615,7922322887567,8365952
272,7922347896670,7922356694981,8798311
273,7922381187368,7922389263180,8075812
274,7922414552645,7922422832193,8279548
275,7922447882844,7922456358965,8476121
276,7922481190742,7922489481880,8291138
277,7922514554028,7922522705978,8151950
278,7922547886967,7922555986273,8099306
279,7922581190698,7922589179736,7989038
280,7922614553166,7922622701870,8148704
281,7922648076819,7922655740463,7663644
282,7922681191981,7922689179283,7987302
283,7922714553497,7922722493375,7939878
284,7922747888342,7922755939416,8051074
285,7922781187272,7922789556269,8368997
286,7922814554016,7922822818439,8264423
287,7922847893756,7922855944680,8050924
288,7922881186766,7922889653688,8466922
289,7922914551195,7922922265456,7714261
290,7922947854208,7922955968507,8114299
291,7922981187069,7922989006544,7819475
292,7923014519619,7923022545451,8025832
293,7923047854970,7923055801783,7946813
294,7923081188948,7923089291712,8102764
295,7923114520615,7923122517620,7997005
296,7923147891519,7923155823561,7932042
297,7923181190734,7923188701510,7510776
298,7923214523036,7923223785406,9262370
299,7923247858128,7923258113083,10254955
300,7923281188447,7923289704926,8516479
301,7923314563013,7923323363538,8800525
302,7923347890379,7923356249105,8358726
303,7923381187256,7923389366490,8179234
304,7923414651042,7923426772217,12121175
305,7923447986829,7923457484800,9497971
306,7923481187804,7923490270417,9082613
307,7923514551435,7923523727596,9176161
308,7923547885897,7923556593875,8707978
309,7923581225109,7923590621473,9396364
310,7923614553605,7923623632858,9079253
311,7923647891611,7923657772766,9881155
312,7923681299731,7923689724051,8424320
313,7923714564582,7923722999752,8435170
314,7923747976843,7923756727736,8750893
315,7923781227877,7923789693286,8465409
316,7923814558022,7923823141243,8583221
317,7923848069741,7923856530207,8460466
318,7923881297307,7923889654111,8356804
319,7923914558748,7923923061475,8502727
320,7923947868434,7923957759163,9890729
321,7923981188787,7923989770798,8582011
322,7924014545179,7924023039751,8494572
323,7924047883096,7924056345954,8462858
324,7924081230279,7924089690720,8460441
325,7924114550728,7924123323348,8772620
326,7924147889344,7924155929518,8040174
327,7924181219208,7924189048752,7829544
328,7924214522299,7924222434165,7911866
329,7924247899007,7924256066389,8167382
330,7924281189923,7924289873530,8683607
331,7924314523749,7924322579337,8055588
332,7924347885599,7924356023531,8137932
333,7924381188106,7924388763034,7574928
334,7924414519594,7924422761408,8241814
335,7924447881039,7924456142164,8261125
336,7924481216660,7924489157403,7940743
337,7924514561509,7924522748759,8187250
338,7924547886979,7924556115680,8228701
339,7924581188126,7924589937503,8749377
340,7924614559022,7924622915871,8356849
341,7924647895024,7924656072783,8177759
342,7924681187415,7924689143653,7956238
343,7924714553786,7924722812000,8258214
344,7924747887053,7924756303451,8416398
345,7924781187992,7924789146563,7958571
346,7924814546950,7924822697062,8150112
347,7924847887060,7924856493458,8606398
348,7924881186541,7924889836338,8649797
349,7924914552052,7924922552457,8000405
350,7924947897969,7924956149781,8251812
351,7924981186966,7924989133979,7947013
352,7925014563575,7925022712618,8149043
353,7925047887295,7925056404314,8517019
354,7925081188803,7925089009789,7820986
355,7925114551291,7925122546965,7995674
356,7925147886073,7925155862654,7976581
357,7925181187392,7925189718459,8531067
358,7925214563940,7925222686331,8122391
359,7925247884910,7925256069913,8185003
360,7925281187658,7925289742761,8555103
361,7925314557031,7925323114309,8557278
362,7925347886344,7925356192857,8306513
363,7925381187679,7925389532009,8344330
364,7925414553830,7925422898152,8344322
365,7925447891118,7925456573901,8682783
366,7925481191695,7925489515352,8323657
367,7925514557599,7925523304965,8747366
368,7925547908991,7925556630127,8721136
369,7925581192451,7925588994121,7801670
370,7925614521003,7925622379889,7858886
371,7925647888774,7925656445726,8556952
372,7925681220739,7925689583063,8362324
373,7925714578510,7925723184514,8606004
374,7925747904757,7925756998798,9094041
375,7925781230679,7925789222776,7992097
376,7925814674880,7925823261097,8586217
377,7925847914118,7925856512551,8598433
378,7925881361968,7925890058376,8696408
379,7925914584599,7925923021449,8436850
380,7925947901330,7925956077768,8176438
381,7925981188862,7925989203270,8014408
382,7926014559852,7926023188689,8628837
383,7926047894791,7926056039018,8144227
384,7926081229593,7926089335370,8105777
385,7926114574022,7926122905081,8331059
386,7926147891320,7926155732182,7840862
387,7926181233242,7926188956406,7723164
388,7926214569014,7926222331050,7762036
389,7926247895364,7926255878793,7983429
390,7926281189359,7926289056739,7867380
391,7926314570798,7926323082103,8511305
392,7926347894861,7926356118196,8223335
393,7926381231524,7926389172545,7941021
394,7926414546244,7926423015994,8469750
395,7926447891755,7926456104293,8212538
396,7926481218063,7926489026280,7808217
397,7926514557570,7926523194084,8636514
398,7926547889612,7926556102236,8212624
399,7926581300010,7926589170524,7870514
400,7926614525185,7926622028487,7503302
401,7926647902974,7926655914368,8011394
402,7926681227714,7926689208686,7980972
403,7926714522419,7926722410923,7888504
404,7926747934731,7926756434987,8500256
405,7926781219368,7926788966956,7747588
406,7926814560166,7926822906805,8346639
407,7926848120342,7926855955034,7834692
408,7926881315143,7926889320047,8004904
