frame_id,send_ts_ns,recv_ts_ns,latency_ns
129,7897028053278,7897036614723,8561445
130,7897061169700,7897069577025,8407325
131,7897094535358,7897102681703,8146345
132,7897128061870,7897136783731,8721861
133,7897161228904,7897169744985,8516081
134,7897194557829,7897203023409,8465580
135,7897227833335,7897236588577,8755242
136,7897261214737,7897270214447,8999710
137,7897294538368,7897303513652,8975284
138,7897327876108,7897336443152,8567044
139,7897361181472,7897369754938,8573466
140,7897394546573,7897403598371,9051798
141,7897427899668,7897436636424,8736756
142,7897461171102,7897469975395,8804293
143,7897494549591,7897503503176,8953585
144,7897528054060,7897536761429,8707369
145,7897561186422,7897574612003,13425581
146,7897594548997,7897604851918,10302921
147,7897627939826,7897637733871,9794045
148,7897661172845,7897670726948,9554103
149,7897694606138,7897704543466,9937328
150,7897727948658,7897737721025,9772367
151,7897761170607,7897770852134,9681527
152,7897794538239,7897804153315,9615076
153,7897827848070,7897837385252,9537182
154,7897861170974,7897869825048,8654074
155,7897894544693,7897903495448,8950755
156,7897927872512,7897938595637,10723125
157,7897961168456,7897969730187,8561731
158,7897994525269,7898003600287,9075018
159,7898027879152,7898036830153,8951001
160,7898061167912,7898069830073,8662161
161,7898094501869,7898103578474,9076605
162,7898127981104,7898137129083,9147979
163,7898161316006,7898170316653,9000647
164,7898194499408,7898203749253,9249845
165,7898227871695,7898236919995,9048300
166,7898261173457,7898272097463,10924006
167,7898294503801,7898304085531,9581730
168,7898327862291,7898338049957,10187666
169,7898361171589,7898370496595,9325006
170,7898394554987,7898403349664,8794677
171,7898427873246,7898437795606,9922360
172,7898461170725,7898470639702,9468977
173,7898494567045,7898503778218,9211173
174,7898527973669,7898537640853,9667184
175,7898561198776,7898571168986,9970210
176,7898594533724,7898603604665,9070941
177,7898627982571,7898637035984,9053413
178,7898661169231,7898670677994,9508763
179,7898694564111,7898704174848,9610737
180,7898727968724,7898737451872,9483148
181,7898761283546,7898770159598,8876052
182,7898794653848,7898804391734,9737886
183,7898827997432,7898837185334,9187902
184,7898861171435,7898870209609,9038174
185,7898894574600,7898903662188,9087588
186,7898927858679,7898936620601,8761922
187,7898961168037,7898969761066,8593029
188,7898994529811,7899003474937,8945126
189,7899027881207,7899037258409,9377202
190,7899061170989,7899069956984,8785995
191,7899094552761,7899103614914,9062153
192,7899127884918,7899136605744,8720826
193,7899161276966,7899169854354,8577388
194,7899194670935,7899203656240,8985305
