tick_ns,sid,pid,comm,cpu_pct
510637504,360964,360964,ros2,80.00
510637504,360964,361013,camera_server_s,0.00
1007180149,360964,360964,ros2,0.00
1007180149,360964,361013,camera_server_s,64.00
1507095141,360964,360964,ros2,0.00
1507095141,360964,361013,camera_server_s,2.00
2010034259,360964,360964,ros2,0.00
2010034259,360964,361013,camera_server_s,32.00
2507342321,360964,360964,ros2,0.00
2507342321,360964,361013,camera_server_s,30.00
3007961516,360964,360964,ros2,0.00
3007961516,360964,361013,camera_server_s,12.00
3507586714,360964,360964,ros2,0.00
3507586714,360964,361013,camera_server_s,16.00
4007556001,360964,360964,ros2,0.00
4007556001,360964,361013,camera_server_s,14.00
4507126977,360964,360964,ros2,0.00
4507126977,360964,361013,camera_server_s,16.00
5007609381,360964,360964,ros2,0.00
5007609381,360964,361013,camera_server_s,14.00
5507589958,360964,360964,ros2,0.00
5507589958,360964,361013,camera_server_s,14.00
6007237555,360964,360964,ros2,0.00
6007237555,360964,361013,camera_server_s,14.00
6507009832,360964,360964,ros2,0.00
6507009832,360964,361013,camera_server_s,14.00
7007098700,360964,360964,ros2,0.00
7007098700,360964,361013,camera_server_s,14.00
7507295635,360964,360964,ros2,0.00
7507295635,360964,361013,camera_server_s,14.00
8007526218,360964,360964,ros2,0.00
8007526218,360964,361013,camera_server_s,14.00
8507512588,360964,360964,ros2,0.00
8507512588,360964,361013,camera_server_s,14.00
9007183092,360964,360964,ros2,0.00
9007183092,360964,361013,camera_server_s,16.00
9507357516,360964,360964,ros2,0.00
9507357516,360964,361013,camera_server_s,16.00
10007301972,360964,360964,ros2,0.00
10007301972,360964,361013,camera_server_s,14.00
10507021289,360964,360964,ros2,0.00
10507021289,360964,361013,camera_server_s,16.00
11007147104,360964,360964,ros2,0.00
11007147104,360964,361013,camera_server_s,14.00
11507061528,360964,360964,ros2,0.00
11507061528,360964,361013,camera_server_s,14.00
12007498955,360964,360964,ros2,0.00
12007498955,360964,361013,camera_server_s,14.00
12507135719,360964,360964,ros2,0.00
12507135719,360964,361013,camera_server_s,14.00
13007226871,360964,360964,ros2,0.00
13007226871,360964,361013,camera_server_s,12.00
13507292955,360964,360964,ros2,0.00
13507292955,360964,361013,camera_server_s,14.00
14007742070,360964,360964,ros2,0.00
14007742070,360964,361013,camera_server_s,12.00
14507692831,360964,360964,ros2,0.00
14507692831,360964,361013,camera_server_s,14.00
