frame_id,send_ts_ns,recv_ts_ns,latency_ns
135,104092828413266,104092838379081,9965815
136,104092861745206,104092873438764,11693558
137,104092895248903,104092905940389,10691486
138,104092928413594,104092939264777,10851183
139,104092962051356,104092973069965,11018609
140,104092995245094,104093006141407,10896313
141,104093028413293,104093039806027,11392734
142,104093061937971,104093072853766,10915795
143,104093095137785,104093106598031,11460246
144,104093128417172,104093139294830,10877658
145,104093161746575,104093172791996,11045421
146,104093195079377,104093205773775,10694398
147,104093228417250,104093239700554,11283304
148,104093261948399,104093272734728,10786329
149,104093295126300,104093305442809,10316509
150,104093328414376,104093338840239,10425863
151,104093361925048,104093372309335,10384287
152,104093395227330,104093405865265,10637935
153,104093428546092,104093439293653,10747561
154,104093461747938,104093472249360,10501422
155,104093495225343,104093505820856,10595513
156,104093528480391,104093538759478,10279087
157,104093561923507,104093572682516,10759009
158,104093595235560,104093605890881,10655321
159,104093628611098,104093639150422,10539324
160,104093661979781,104093672790174,10810393
161,104093695278210,104093705937799,10659589
162,104093728413582,104093739250598,10837016
163,104093761941139,104093772676839,10735700
164,104093795273505,104093806989890,11716385
165,104093828525528,104093838250211,9724683
166,104093861776678,104093873155991,11379313
167,104093895251539,104093906869667,11618128
168,104093928413961,104093940038904,11624943
169,104093961745311,104093973547646,11802335
170,104093995314920,104094006813350,11498430
171,104094028413738,104094039458344,11044606
172,104094061936258,104094072895781,10959523
173,104094095211710,104094106664868,11453158
174,104094128413272,104094139724543,11311271
175,104094161860445,104094173316497,11456052
176,104094195142883,104094206485917,11343034
177,104094228413935,104094239276972,10863037
178,104094261973472,104094273473136,11499664
179,104094295267500,104094307223372,11955872
180,104094328423325,104094340124948,11701623
181,104094361935559,104094373364403,11428844
182,104094395331055,104094406043626,10712571
183,104094428413866,104094439792935,11379069
184,104094461980187,104094473148153,11167966
185,104094495248308,104094507167431,11919123
186,104094528413704,104094539821598,11407894
187,104094561907227,104094573570196,11662969
188,104094595222999,104094606746990,11523991
189,104094628413768,104094639770643,11356875
190,104094661923678,104094672847441,10923763
191,104094695226070,104094706112837,10886767
192,104094728442102,104094740012317,11570215
193,104094761920915,104094772503276,10582361
194,104094795325927,104094806126267,10800340
195,104094828410858,104094837950950,9540092
196,104094861963106,104094872790523,10827417
197,104094895254529,104094905803672,10549143
198,104094928414264,104094938919777,10505513
199,104094961947344,104094972387549,10440205
200,104094995283652,104095005690550,10406898
201,104095028413579,104095038903853,10490274
202,104095061918810,104095072438439,10519629
203,104095095199490,104095105732109,10532619
204,104095128411262,104095139169248,10757986
205,104095161859096,104095172742403,10883307
206,104095195134478,104095205709522,10575044
207,104095228414224,104095238901323,10487099
208,104095261891342,104095273421283,11529941
209,104095295301336,104095306157708,10856372
210,104095328413838,104095339444729,11030891
211,104095361744954,104095372149488,10404534
212,104095395246274,104095406096639,10850365
213,104095428414433,104095440075325,11660892
214,104095461855329,104095472069079,10213750
215,104095495298230,104095505676107,10377877
216,104095528413297,104095538768528,10355231
217,104095561978524,104095574245049,12266525
218,104095595277707,104095605949208,10671501
219,104095628413361,104095638724329,10310968
220,104095661922902,104095672437065,10514163
221,104095695266095,104095705644538,10378443
222,104095728439164,104095739125753,10686589
223,104095761926056,104095774362945,12436889
224,104095795109333,104095805556881,10447548
225,104095828412536,104095838063999,9651463
226,104095861928184,104095872395695,10467511
227,104095895279753,104095905611352,10331599
228,104095928427598,104095939033170,10605572
229,104095961930854,104095972877309,10946455
230,104095995267865,104096006138229,10870364
231,104096028573859,104096038991517,10417658
232,104096062070537,104096072691731,10621194
233,104096095298222,104096105982113,10683891
234,104096128411700,104096139130224,10718524
235,104096161745915,104096173101420,11355505
236,104096195262012,104096206424493,11162481
237,104096228414045,104096239543609,11129564
238,104096261946223,104096273387104,11440881
239,104096295239427,104096306510203,11270776
240,104096328423131,104096338629868,10206737
241,104096361936001,104096373091153,11155152
242,104096395276815,104096406243667,10966852
243,104096428600623,104096438932429,10331806
244,104096461932974,104096472377588,10444614
245,104096495267068,104096505753820,10486752
246,104096528414015,104096538771647,10357632
247,104096561995050,104096572376101,10381051
248,104096595170655,104096605632072,10461417
249,104096628414148,104096638988312,10574164
250,104096661937079,104096673214064,11276985
251,104096695222138,104096706454463,11232325
252,104096728580838,104096738706736,10125898
253,104096761902650,104096772425660,10523010
254,104096795269297,104096806456171,11186874
255,104096828581220,104096838360975,9779755
256,104096861986086,104096874016063,12029977
257,104096895233503,104096905985212,10751709
258,104096928436608,104096939279639,10843031
259,104096961897995,104096972946295,11048300
260,104096995268574,104097006085519,10816945
261,104097028413035,104097039060161,10647126
262,104097061909571,104097072381044,10471473
263,104097095248796,104097108248101,12999305
264,104097128538317,104097139130899,10592582
265,104097161995011,104097173585848,11590837
266,104097195277700,104097206287504,11009804
267,104097228413226,104097239416271,11003045
268,104097261902756,104097272417901,10515145
269,104097295311401,104097306818508,11507107
270,104097328414039,104097339168872,10754833
271,104097361966919,104097373266990,11300071
272,104097395265366,104097406200355,10934989
273,104097428584864,104097439236301,10651437
274,104097461927159,104097472626059,10698900
275,104097495229105,104097505902469,10673364
276,104097528438200,104097539033248,10595048
277,104097561941076,104097573631391,11690315
278,104097595216738,104097605878799,10662061
279,104097628445680,104097639118511,10672831
280,104097661979381,104097672512103,10532722
281,104097695222257,104097705873947,10651690
282,104097728413813,104097739333411,10919598
283,104097761972983,104097772616074,10643091
284,104097795239942,104097805975350,10735408
285,104097828449011,104097838305150,9856139
286,104097861868075,104097872528347,10660272
287,104097895255404,104097905851988,10596584
288,104097928414034,104097939113474,10699440
289,104097961745088,104097972746892,11001804
290,104097995201855,104098006574987,11373132
291,104098028552355,104098041698500,13146145
292,104098061972987,104098072483528,10510541
293,104098095245739,104098106420470,11174731
294,104098128414806,104098139611427,11196621
295,104098161955676,104098172255565,10299889
296,104098195153037,104098206391129,11238092
297,104098228412768,104098239975620,11562852
298,104098261934822,104098273192692,11257870
299,104098295245074,104098306547650,11302576
300,104098328413311,104098339608858,11195547
301,104098361970991,104098373357720,11386729
302,104098395336243,104098406804726,11468483
303,104098428414125,104098439610454,11196329
304,104098461972724,104098473113841,11141117
305,104098495197458,104098505787892,10590434
306,104098528413732,104098539760404,11346672
307,104098561943628,104098572896692,10953064
308,104098595163140,104098606165897,11002757
309,104098628581141,104098639322180,10741039
310,104098661922350,104098673296083,11373733
311,104098695204969,104098706726345,11521376
312,104098728411617,104098739780803,11369186
313,104098761758061,104098772638370,10880309
314,104098795201203,104098805953566,10752363
315,104098828412875,104098838281306,9868431
316,104098861986939,104098873332750,11345811
317,104098895105823,104098906473729,11367906
318,104098928414167,104098939779862,11365695
319,104098961934823,104098973404165,11469342
320,104098995198723,104099005743551,10544828
321,104099028413778,104099039094112,10680334
322,104099061940909,104099072852587,10911678
323,104099095267952,104099106725815,11457863
324,104099128587875,104099139696249,11108374
325,104099161940134,104099172244326,10304192
326,104099195263304,104099206781361,11518057
327,104099228531213,104099239732076,11200863
328,104099261747739,104099272923541,11175802
329,104099295259963,104099306167818,10907855
330,104099328413835,104099339795571,11381736
331,104099361746088,104099373359202,11613114
332,104099395236909,104099406813848,11576939
333,104099428414214,104099440079381,11665167
334,104099461926854,104099473528718,11601864
335,104099495219434,104099506751133,11531699
336,104099528615690,104099542010806,13395116
337,104099561939623,104099573167152,11227529
338,104099595190207,104099606110913,10920706
339,104099628613755,104099640130639,11516884
340,104099661952621,104099673374248,11421627
341,104099695205700,104099706645753,11440053
342,104099728597805,104099740019983,11422178
343,104099761949009,104099773566344,11617335
344,104099795109484,104099806084387,10974903
345,104099828599532,104099839144248,10544716
346,104099861744605,104099873260351,11515746
347,104099895077715,104099906159697,11081982
348,104099928527382,104099940313648,11786266
349,104099962035293,104099973649491,11614198
350,104099995081779,104100006824672,11742893
351,104100028599749,104100040285456,11685707
352,104100061992591,104100073577197,11584606
353,104100095333879,104100106958419,11624540
354,104100128610620,104100139616731,11006111
355,104100161931584,104100173083973,11152389
356,104100195238340,104100206773301,11534961
357,104100228521848,104100239853942,11332094
358,104100261936911,104100273252065,11315154
359,104100295232156,104100306173761,10941605
360,104100328413723,104100339645756,11232033
361,104100361984112,104100373435281,11451169
362,104100395331003,104100406779000,11447997
363,104100428413525,104100439238444,10824919
364,104100461952844,104100473174878,11222034
365,104100495274261,104100506408296,11134035
366,104100528413851,104100539708299,11294448
367,104100561912035,104100572954963,11042928
368,104100595111002,104100605939971,10828969
369,104100628549043,104100639366824,10817781
370,104100661949918,104100673055276,11105358
371,104100695193325,104100706997700,11804375
372,104100728413989,104100739107233,10693244
373,104100761937869,104100772744820,10806951
374,104100795236849,104100806051415,10814566
375,104100828601267,104100838472011,9870744
376,104100861917783,104100872780330,10862547
377,104100895267269,104100906097250,10829981
378,104100928413248,104100939070437,10657189
379,104100961962766,104100972793487,10830721
380,104100995208913,104101006135036,10926123
381,104101028413409,104101039295467,10882058
382,104101061779634,104101073600498,11820864
383,104101095232244,104101106409969,11177725
384,104101128418625,104101139456543,11037918
385,104101161950533,104101174792196,12841663
386,104101195216685,104101205983195,10766510
387,104101228562980,104101239439111,10876131
388,104101261778520,104101272514390,10735870
389,104101295344947,104101306038132,10693185
390,104101328448600,104101339402327,10953727
391,104101361985194,104101373387069,11401875
392,104101395182165,104101406326231,11144066
