frame_id,send_ts_ns,recv_ts_ns,latency_ns
144,8800779865169,8800788672011,8806842
145,8800813165497,8800822354857,9189360
146,8800846526225,8800854854065,8327840
147,8800879850680,8800889940505,10089825
148,8800913276784,8800922963880,9687096
149,8800946521070,8800956372341,9851271
150,8800979855963,8800989664357,9808394
151,8801013165771,8801022893876,9728105
152,8801046519155,8801056012217,9493062
153,8801079865527,8801089422393,9556866
154,8801113167458,8801122879000,9711542
155,8801146519646,8801156066349,9546703
156,8801179830956,8801188678338,8847382
157,8801213343082,8801222254314,8911232
158,8801246499529,8801255375946,8876417
159,8801279996112,8801289327352,9331240
160,8801313169396,8801321864501,8695105
161,8801346532049,8801355269393,8737344
162,8801379860463,8801388791353,8930890
163,8801413226536,8801421810923,8584387
164,8801446520941,8801455820527,9299586
165,8801479975386,8801488952149,8976763
166,8801513173168,8801521801235,8628067
167,8801546544982,8801555546835,9001853
168,8801579853696,8801590493331,10639635
169,8801613379072,8801622378474,8999402
170,8801646549195,8801655107230,8558035
171,8801679861801,8801688409523,8547722
172,8801713165165,8801722088086,8922921
173,8801746524519,8801755228547,8704028
174,8801779975816,8801789304065,9328249
175,8801813279930,8801822402863,9122933
176,8801846545538,8801855527869,8982331
177,8801880006169,8801888844146,8837977
178,8801913164739,8801921746874,8582135
179,8801946528703,8801955121058,8592355
180,8801979861706,8801988638905,8777199
181,8802013164383,8802021856392,8692009
182,8802046497646,8802055008387,8510741
183,8802079861843,8802088571704,8709861
184,8802113464933,8802122559640,9094707
185,8802146519764,8802155868463,9348699
186,8802179850954,8802188674273,8823319
187,8802213162320,8802222395220,9232900
188,8802246521183,8802255630374,9109191
189,8802279877503,8802288828045,8950542
190,8802313285006,8802321897885,8612879
191,8802346521423,8802355502900,8981477
192,8802379871769,8802388732840,8861071
193,8802413284430,8802421924607,8640177
194,8802446574029,8802455798604,9224575
195,8802479854219,8802488806119,8951900
196,8802513166065,8802522005881,8839816
197,8802546523030,8802554947563,8424533
198,8802579857834,8802588566728,8708894
199,8802613186826,8802621792542,8605716
200,8802646561920,8802655449918,8887998
201,8802679831557,8802688393011,8561454
202,8802713332113,8802722453688,9121575
203,8802746546231,8802755653582,9107351
204,8802779986040,8802789042674,9056634
205,8802813319202,8802821818032,8498830
206,8802846560769,8802855877797,9317028
207,8802880050160,8802889695538,9645378
208,8802913285084,8802922398933,9113849
209,8802946524863,8802955597889,9073026
210,8802979984027,8802988879305,8895278
211,8803013182758,8803021735067,8552309
212,8803046498755,8803055290768,8792013
213,8803079988841,8803088842235,8853394
214,8803113386956,8803122174921,8787965
215,8803146498366,8803154975222,8476856
216,8803179868098,8803188392176,8524078
217,8803213407602,8803221873572,8465970
218,8803246498328,8803255510164,9011836
219,8803279858870,8803288341968,8483098
220,8803313193539,8803321732016,8538477
221,8803346497518,8803355008141,8510623
222,8803379831885,8803388337848,8505963
223,8803413297920,8803421835441,8537521
224,8803446497733,8803455442485,8944752
225,8803479872545,8803488780689,8908144
226,8803513189287,8803521672121,8482834
227,8803546659377,8803555580724,8921347
228,8803579864448,8803589171444,9306996
229,8803613222434,8803622660362,9437928
230,8803646655915,8803655459040,8803125
231,8803679862616,8803690368287,10505671
232,8803713183686,8803721841232,8657546
233,8803746526141,8803755541845,9015704
