frame_id,send_ts_ns,recv_ts_ns,latency_ns
130,103606187751028,103606195468247,7717219
131,103606221197063,103606229176996,7979933
132,103606254532419,103606260696763,6164344
133,103606287861843,103606293980321,6118478
134,103606321206951,103606327204351,5997400
135,103606354595947,103606359984920,5388973
136,103606387933027,103606393556143,5623116
137,103606421264408,103606426618802,5354394
138,103606454588679,103606460072491,5483812
139,103606488051764,103606493814315,5762551
140,103606521252994,103606526753750,5500756
141,103606554589328,103606560124084,5534756
142,103606587934767,103606593740184,5805417
143,103606621256435,103606626784422,5527987
144,103606654618868,103606660786358,6167490
145,103606687930062,103606693393475,5463413
146,103606721082032,103606726707163,5625131
147,103606754609387,103606760241066,5631679
148,103606787941299,103606793531098,5589799
149,103606821211722,103606826813083,5601361
150,103606854418377,103606860294369,5875992
151,103606887863391,103606893483159,5619768
152,103606921266952,103606927333597,6066645
153,103606954534779,103606960153587,5618808
154,103606987866565,103606993601440,5734875
155,103607021235270,103607026594793,5359523
156,103607054416124,103607059732254,5316130
157,103607087988715,103607093644245,5655530
158,103607121295242,103607126878411,5583169
159,103607154591605,103607160431742,5840137
160,103607187783186,103607193432711,5649525
161,103607221255615,103607226862414,5606799
162,103607254415858,103607259950201,5534343
163,103607287940846,103607293675701,5734855
164,103607321216482,103607327190578,5974096
165,103607354594681,103607360265767,5671086
166,103607387997459,103607393551666,5554207
167,103607421243621,103607426762376,5518755
168,103607454623554,103607460153661,5530107
169,103607487943180,103607493762515,5819335
170,103607521199426,103607527126277,5926851
171,103607554626515,103607560260536,5634021
172,103607587749923,103607593338072,5588149
173,103607621300685,103607626647162,5346477
174,103607654658102,103607660418907,5760805
175,103607687940844,103607693396955,5456111
176,103607721321463,103607726523401,5201938
177,103607754596688,103607760598681,6001993
178,103607787962049,103607793251278,5289229
179,103607821167315,103607826702234,5534919
180,103607854417288,103607859916830,5499542
181,103607887990099,103607893458370,5468271
182,103607921280933,103607927326145,6045212
183,103607954417408,103607960189385,5771977
184,103607987854679,103607993512485,5657806
185,103608021267874,103608026675272,5407398
186,103608054647541,103608060091998,5444457
187,103608087940345,103608093759750,5819405
188,103608121232917,103608126904672,5671755
189,103608154417733,103608160336086,5918353
190,103608187780926,103608193614270,5833344
191,103608221168849,103608226819517,5650668
