frame_id,send_ts_ns,recv_ts_ns,latency_ns
146,105386147958010,105386165372216,17414206
147,105386181349032,105386200059177,18710145
148,105386214434364,105386233251085,18816721
149,105386247945322,105386266657883,18712561
150,105386281238679,105386299930201,18691522
151,105386314548411,105386333362259,18813848
152,105386347950014,105386366784978,18834964
153,105386381242095,105386399774187,18532092
154,105386414433925,105386432776287,18342362
155,105386448036696,105386466782422,18745726
156,105386481282987,105386499755860,18472873
157,105386514679969,105386533282482,18602513
158,105386547972061,105386566605745,18633684
159,105386581112619,105386599417926,18305307
160,105386614563222,105386633115466,18552244
161,105386647885671,105386666809898,18924227
162,105386681098783,105386699697669,18598886
163,105386714617794,105386733569634,18951840
164,105386747950466,105386766930483,18980017
165,105386781129846,105386799404630,18274784
166,105386814603919,105386833518776,18914857
167,105386847937408,105386866564308,18626900
168,105386881098325,105386899500102,18401777
169,105386914619747,105386933159385,18539638
170,105386947957726,105386966584408,18626682
171,105386981231074,105387000432444,19201370
172,105387014590147,105387032878231,18288084
173,105387047931881,105387066425225,18493344
174,105387081215516,105387099769376,18553860
175,105387114434372,105387132876768,18442396
176,105387147960735,105387165705191,17744456
177,105387181278006,105387199860620,18582614
178,105387214434397,105387233341041,18906644
179,105387247947057,105387266464352,18517295
180,105387281260930,105387299841657,18580727
181,105387314495699,105387333383898,18888199
182,105387347767320,105387366431336,18664016
183,105387381314354,105387400074193,18759839
184,105387414624099,105387433436343,18812244
185,105387447969999,105387466740234,18770235
186,105387481265322,105387499901901,18636579
187,105387514668619,105387533172843,18504224
188,105387547969161,105387566430801,18461640
189,105387581292442,105387599556347,18263905
190,105387614493098,105387633035620,18542522
191,105387647954952,105387667123841,19168889
192,105387681262062,105387700018571,18756509
193,105387714492254,105387733251062,18758808
194,105387747938577,105387766860091,18921514
195,105387781294285,105387800196033,18901748
196,105387814684284,105387833676987,18992703
197,105387847961987,105387866567279,18605292
198,105387881164270,105387899616926,18452656
199,105387914431939,105387932726085,18294146
200,105387947955310,105387966102051,18146741
201,105387981098557,105387999959540,18860983
202,105388014624832,105388033522640,18897808
203,105388047958961,105388066619902,18660941
204,105388081279716,105388099986214,18706498
205,105388114622872,105388134226794,19603922
206,105388147908283,105388165157679,17249396
207,105388181222043,105388199770098,18548055
208,105388214617481,105388232978095,18360614
209,105388247940830,105388266273869,18333039
210,105388281265184,105388299757757,18492573
211,105388314431893,105388332812514,18380621
212,105388347799694,105388366469587,18669893
213,105388381180478,105388399558888,18378410
214,105388414449547,105388432829738,18380191
215,105388447888927,105388466484821,18595894
216,105388481344766,105388499587202,18242436
217,105388514625774,105388534953988,20328214
218,105388548068616,105388567047023,18978407
219,105388581255250,105388600066058,18810808
220,105388614559998,105388632934519,18374521
221,105388647885625,105388667480303,19594678
222,105388681306537,105388700099795,18793258
223,105388714495413,105388734996525,20501112
224,105388748012819,105388766677164,18664345
225,105388781278051,105388799631158,18353107
226,105388814479296,105388833073692,18594396
227,105388847875117,105388866342921,18467804
228,105388881255191,105388899698090,18442899
229,105388914539256,105388932907063,18367807
230,105388947997577,105388968504911,20507334
231,105388981246670,105388999979580,18732910
232,105389014633946,105389032994621,18360675
233,105389047914332,105389066032745,18118413
234,105389081271459,105389099835511,18564052
235,105389114434109,105389132924230,18490121
236,105389147983941,105389165482485,17498544
237,105389181226122,105389199957451,18731329
238,105389214623133,105389233495980,18872847
239,105389247949867,105389266281387,18331520
240,105389281253443,105389299903111,18649668
241,105389314572165,105389333308878,18736713
242,105389347766062,105389366174546,18408484
243,105389381291976,105389400585148,19293172
244,105389414467864,105389432984048,18516184
245,105389447968377,105389466613138,18644761
246,105389481315314,105389499435703,18120389
247,105389514622876,105389532986593,18363717
248,105389547964173,105389566376143,18411970
249,105389581212720,105389599832344,18619624
250,105389614434137,105389633499501,19065364
251,105389647956688,105389667114792,19158104
252,105389681211438,105389700174992,18963554
253,105389714605870,105389733285523,18679653
254,105389747956599,105389766422259,18465660
