tick_ns,sid,pid,comm,cpu_pct
507708032,389851,389851,ros2,0.00
507708032,389851,389855,usb_cam_node_ex,10.00
507708032,389900,389900,gst-launch-1.0,78.00
1007187515,389851,389851,ros2,0.00
1007187515,389851,389855,usb_cam_node_ex,10.00
1007187515,389900,389900,gst-launch-1.0,2.00
1507836224,389851,389851,ros2,0.00
1507836224,389851,389855,usb_cam_node_ex,8.00
1507836224,389900,389900,gst-launch-1.0,22.00
2007546967,389851,389851,ros2,0.00
2007546967,389851,389855,usb_cam_node_ex,14.00
2007546967,389900,389900,gst-launch-1.0,20.00
2507808496,389851,389851,ros2,0.00
2507808496,389851,389855,usb_cam_node_ex,10.00
2507808496,389900,389900,gst-launch-1.0,12.00
3007591002,389851,389851,ros2,0.00
3007591002,389851,389855,usb_cam_node_ex,12.00
3007591002,389900,389900,gst-launch-1.0,8.00
3508468280,389851,389851,ros2,0.00
3508468280,389851,389855,usb_cam_node_ex,12.00
3508468280,389900,389900,gst-launch-1.0,12.00
4007875024,389851,389851,ros2,0.00
4007875024,389851,389855,usb_cam_node_ex,12.00
4007875024,389900,389900,gst-launch-1.0,8.00
4508047729,389851,389851,ros2,0.00
4508047729,389851,389855,usb_cam_node_ex,10.00
4508047729,389900,389900,gst-launch-1.0,12.00
5008969873,389851,389851,ros2,0.00
5008969873,389851,389855,usb_cam_node_ex,12.00
5008969873,389900,389900,gst-launch-1.0,8.00
5507549227,389851,389851,ros2,0.00
5507549227,389851,389855,usb_cam_node_ex,10.00
5507549227,389900,389900,gst-launch-1.0,12.00
6007543367,389851,389851,ros2,0.00
6007543367,389851,389855,usb_cam_node_ex,10.00
6007543367,389900,389900,gst-launch-1.0,8.00
6507988976,389851,389851,ros2,0.00
6507988976,389851,389855,usb_cam_node_ex,12.00
6507988976,389900,389900,gst-launch-1.0,10.00
7008061235,389851,389851,ros2,0.00
7008061235,389851,389855,usb_cam_node_ex,14.00
7008061235,389900,389900,gst-launch-1.0,12.00
7507545917,389851,389851,ros2,0.00
7507545917,389851,389855,usb_cam_node_ex,10.00
7507545917,389900,389900,gst-launch-1.0,10.00
8008249937,389851,389851,ros2,0.00
8008249937,389851,389855,usb_cam_node_ex,12.00
8008249937,389900,389900,gst-launch-1.0,12.00
8507253550,389851,389851,ros2,0.00
8507253550,389851,389855,usb_cam_node_ex,12.00
8507253550,389900,389900,gst-launch-1.0,8.00
9007336317,389851,389851,ros2,0.00
9007336317,389851,389855,usb_cam_node_ex,10.00
9007336317,389900,389900,gst-launch-1.0,10.00
9507197243,389851,389851,ros2,0.00
9507197243,389851,389855,usb_cam_node_ex,10.00
9507197243,389900,389900,gst-launch-1.0,10.00
10007431800,389851,389851,ros2,0.00
10007431800,389851,389855,usb_cam_node_ex,12.00
10007431800,389900,389900,gst-launch-1.0,10.00
10507157753,389851,389851,ros2,0.00
10507157753,389851,389855,usb_cam_node_ex,10.00
10507157753,389900,389900,gst-launch-1.0,10.00
11007099296,389851,389851,ros2,0.00
11007099296,389851,389855,usb_cam_node_ex,10.00
11007099296,389900,389900,gst-launch-1.0,12.00
11506916514,389851,389851,ros2,0.00
11506916514,389851,389855,usb_cam_node_ex,12.00
11506916514,389900,389900,gst-launch-1.0,12.00
12007071458,389851,389851,ros2,0.00
12007071458,389851,389855,usb_cam_node_ex,12.00
12007071458,389900,389900,gst-launch-1.0,10.00
12507210396,389851,389851,ros2,0.00
12507210396,389851,389855,usb_cam_node_ex,10.00
12507210396,389900,389900,gst-launch-1.0,10.00
13008907391,389851,389851,ros2,0.00
13008907391,389851,389855,usb_cam_node_ex,12.00
13008907391,389900,389900,gst-launch-1.0,10.00
13507358374,389851,389851,ros2,0.00
13507358374,389851,389855,usb_cam_node_ex,10.00
13507358374,389900,389900,gst-launch-1.0,10.00
14007383422,389851,389851,ros2,0.00
14007383422,389851,389855,usb_cam_node_ex,12.00
14007383422,389900,389900,gst-launch-1.0,8.00
14507482090,389851,389851,ros2,0.00
14507482090,389851,389855,usb_cam_node_ex,10.00
14507482090,389900,389900,gst-launch-1.0,12.00
