tick_ns,sid,pid,comm,cpu_pct
507401855,388144,388144,ros2,0.00
507401855,388144,388149,usb_cam_node_ex,8.00
507401855,388206,388206,gst-launch-1.0,78.00
1007221944,388144,388144,ros2,0.00
1007221944,388144,388149,usb_cam_node_ex,6.00
1007221944,388206,388206,gst-launch-1.0,4.00
1507383461,388144,388144,ros2,0.00
1507383461,388144,388149,usb_cam_node_ex,8.00
1507383461,388206,388206,gst-launch-1.0,20.00
2011806516,388144,388144,ros2,0.00
2011806516,388144,388149,usb_cam_node_ex,8.00
2011806516,388206,388206,gst-launch-1.0,20.00
2507489896,388144,388144,ros2,0.00
2507489896,388144,388149,usb_cam_node_ex,8.00
2507489896,388206,388206,gst-launch-1.0,10.00
3007677064,388144,388144,ros2,0.00
3007677064,388144,388149,usb_cam_node_ex,10.00
3007677064,388206,388206,gst-launch-1.0,10.00
3507412755,388144,388144,ros2,0.00
3507412755,388144,388149,usb_cam_node_ex,8.00
3507412755,388206,388206,gst-launch-1.0,10.00
4007409209,388144,388144,ros2,0.00
4007409209,388144,388149,usb_cam_node_ex,8.00
4007409209,388206,388206,gst-launch-1.0,10.00
4508075792,388144,388144,ros2,0.00
4508075792,388144,388149,usb_cam_node_ex,8.00
4508075792,388206,388206,gst-launch-1.0,10.00
5007833948,388144,388144,ros2,0.00
5007833948,388144,388149,usb_cam_node_ex,8.00
5007833948,388206,388206,gst-launch-1.0,10.00
5507503450,388144,388144,ros2,0.00
5507503450,388144,388149,usb_cam_node_ex,8.00
5507503450,388206,388206,gst-launch-1.0,10.00
6007292403,388144,388144,ros2,0.00
6007292403,388144,388149,usb_cam_node_ex,8.00
6007292403,388206,388206,gst-launch-1.0,10.00
6507931668,388144,388144,ros2,0.00
6507931668,388144,388149,usb_cam_node_ex,8.00
6507931668,388206,388206,gst-launch-1.0,8.00
7007409595,388144,388144,ros2,0.00
7007409595,388144,388149,usb_cam_node_ex,8.00
7007409595,388206,388206,gst-launch-1.0,12.00
7507428818,388144,388144,ros2,0.00
7507428818,388144,388149,usb_cam_node_ex,8.00
7507428818,388206,388206,gst-launch-1.0,12.00
8007295577,388144,388144,ros2,0.00
8007295577,388144,388149,usb_cam_node_ex,10.00
8007295577,388206,388206,gst-launch-1.0,8.00
8507357369,388144,388144,ros2,0.00
8507357369,388144,388149,usb_cam_node_ex,8.00
8507357369,388206,388206,gst-launch-1.0,10.00
9007607843,388144,388144,ros2,0.00
9007607843,388144,388149,usb_cam_node_ex,8.00
9007607843,388206,388206,gst-launch-1.0,10.00
9507506759,388144,388144,ros2,0.00
9507506759,388144,388149,usb_cam_node_ex,8.00
9507506759,388206,388206,gst-launch-1.0,10.00
10007201461,388144,388144,ros2,0.00
10007201461,388144,388149,usb_cam_node_ex,8.00
10007201461,388206,388206,gst-launch-1.0,10.00
10508001201,388144,388144,ros2,0.00
10508001201,388144,388149,usb_cam_node_ex,8.00
10508001201,388206,388206,gst-launch-1.0,10.00
11007449594,388144,388144,ros2,0.00
11007449594,388144,388149,usb_cam_node_ex,8.00
11007449594,388206,388206,gst-launch-1.0,10.00
11507469683,388144,388144,ros2,0.00
11507469683,388144,388149,usb_cam_node_ex,8.00
11507469683,388206,388206,gst-launch-1.0,10.00
12007644007,388144,388144,ros2,0.00
12007644007,388144,388149,usb_cam_node_ex,8.00
12007644007,388206,388206,gst-launch-1.0,10.00
12507728886,388144,388144,ros2,0.00
12507728886,388144,388149,usb_cam_node_ex,8.00
12507728886,388206,388206,gst-launch-1.0,12.00
13014189322,388144,388144,ros2,0.00
13014189322,388144,388149,usb_cam_node_ex,8.00
13014189322,388206,388206,gst-launch-1.0,10.00
13507585069,388144,388144,ros2,0.00
13507585069,388144,388149,usb_cam_node_ex,8.00
13507585069,388206,388206,gst-launch-1.0,10.00
14007175007,388144,388144,ros2,0.00
14007175007,388144,388149,usb_cam_node_ex,10.00
14007175007,388206,388206,gst-launch-1.0,10.00
14507190466,388144,388144,ros2,0.00
14507190466,388144,388149,usb_cam_node_ex,6.00
14507190466,388206,388206,gst-launch-1.0,8.00
