frame_id,send_ts_ns,recv_ts_ns,latency_ns
296,105278496320063,105278512928094,16608031
297,105278529720444,105278546043361,16322917
298,105278562937981,105278579459012,16521031
299,105278596410950,105278612739360,16328410
300,105278629739397,105278646297283,16557886
301,105278663127058,105278679800914,16673856
302,105278696402361,105278712884418,16482057
303,105278729826022,105278746235912,16409890
304,105278763119855,105278779263797,16143942
305,105278796459797,105278812817256,16357459
306,105278829604600,105278846228758,16624158
307,105278863156812,105278879498857,16342045
308,105278896273164,105278912571321,16298157
309,105278929770573,105278946189295,16418722
310,105278963135437,105278979370851,16235414
311,105278996270884,105279012391490,16120606
312,105279029661655,105279045745250,16083595
313,105279063154395,105279079535837,16381442
314,105279096305747,105279112559360,16253613
315,105279129764590,105279146214289,16449699
316,105279163120718,105279179572781,16452063
317,105279196272224,105279212463709,16191485
318,105279229645254,105279245694842,16049588
319,105279263181082,105279279839748,16658666
320,105279296270978,105279313318453,17047475
321,105279329783894,105279346419829,16635935
322,105279363101810,105279379460058,16358248
323,105279396294087,105279412632610,16338523
324,105279429804701,105279446182236,16377535
325,105279463108737,105279479551506,16442769
326,105279496288372,105279512703329,16414957
327,105279529834804,105279546308326,16473522
328,105279563109913,105279579862093,16752180
329,105279596437414,105279613050619,16613205
330,105279629605178,105279646366712,16761534
331,105279663075937,105279679597636,16521699
332,105279696287195,105279712433228,16146033
333,105279729784496,105279746635184,16850688
334,105279763099840,105279779301899,16202059
335,105279796271886,105279813206804,16934918
336,105279829687837,105279846151550,16463713
337,105279863130980,105279879516889,16385909
338,105279896449209,105279912952043,16502834
339,105279929601465,105279946287061,16685596
340,105279963139063,105279979386151,16247088
341,105279996395834,105280012720403,16324569
342,105280029802068,105280046233685,16431617
343,105280063142104,105280079677724,16535620
344,105280096404432,105280112735408,16330976
345,105280129861932,105280146153351,16291419
346,105280163197078,105280179779323,16582245
347,105280196273665,105280213751630,17477965
348,105280229790124,105280246322787,16532663
349,105280263104760,105280279612341,16507581
350,105280296424817,105280312962450,16537633
351,105280329850707,105280346703059,16852352
352,105280363203947,105280379683562,16479615
353,105280396314327,105280412836781,16522454
354,105280429774655,105280446269089,16494434
355,105280463146253,105280479589822,16443569
356,105280496272645,105280512961800,16689155
357,105280529788772,105280546241822,16453050
358,105280563135039,105280579807301,16672262
359,105280596277988,105280612839578,16561590
360,105280629644933,105280646148208,16503275
361,105280663205159,105280679809968,16604809
362,105280696277980,105280712593791,16315811
363,105280729658932,105280746379997,16721065
364,105280763143117,105280779661462,16518345
365,105280796269768,105280812581872,16312104
366,105280829610627,105280846026419,16415792
367,105280863139278,105280879556100,16416822
368,105280896271116,105280912775611,16504495
369,105280929603904,105280946299000,16695096
370,105280963150741,105280979625889,16475148
371,105280996430278,105281014083555,17653277
372,105281029662777,105281047160558,17497781
373,105281063134975,105281080568646,17433671
374,105281096508699,105281113226405,16717706
375,105281129640188,105281145825961,16185773
376,105281163146433,105281179648301,16501868
377,105281196271950,105281212761124,16489174
378,105281229767365,105281246160030,16392665
379,105281263138573,105281279790374,16651801
380,105281296434328,105281312906765,16472437
381,105281329790117,105281346374705,16584588
382,105281362967333,105281379613353,16646020
383,105281396270769,105281412785931,16515162
384,105281429807801,105281446499008,16691207
385,105281463191739,105281479511707,16319968
386,105281496271523,105281512735355,16463832
387,105281529831707,105281546458203,16626496
388,105281563144410,105281579591901,16447491
389,105281596393435,105281612838136,16444701
390,105281629780879,105281646394266,16613387
391,105281663119259,105281679798615,16679356
392,105281696270994,105281712747397,16476403
393,105281729802666,105281746577140,16774474
394,105281763069330,105281780074674,17005344
395,105281796294276,105281812998556,16704280
396,105281829609200,105281846311975,16702775
397,105281863113961,105281879927134,16813173
398,105281896278664,105281912351009,16072345
399,105281929648824,105281946247124,16598300
400,105281963115133,105281979237360,16122227
401,105281996276900,105282012636210,16359310
402,105282029654690,105282046030471,16375781
403,105282063093763,105282079641938,16548175
404,105282096449606,105282112996558,16546952
405,105282129791330,105282146507091,16715761
406,105282163098043,105282179583042,16484999
407,105282196471147,105282212835553,16364406
408,105282229606402,105282245993156,16386754
409,105282263138668,105282279767898,16629230
410,105282296271311,105282312409105,16137794
411,105282329793061,105282346179460,16386399
412,105282363061151,105282379628139,16566988
413,105282396271367,105282412862826,16591459
414,105282429662277,105282446285766,16623489
415,105282463101813,105282479690366,16588553
416,105282496289765,105282513278084,16988319
417,105282529850552,105282546512640,16662088
418,105282563159719,105282580296933,17137214
419,105282596271253,105282612597466,16326213
420,105282629772711,105282646320115,16547404
421,105282663142896,105282679698079,16555183
422,105282696271081,105282712626199,16355118
423,105282729663984,105282746169059,16505075
424,105282763102708,105282779173497,16070789
425,105282796272193,105282812290708,16018515
426,105282829750182,105282845876370,16126188
427,105282863121390,105282879319262,16197872
428,105282896270744,105282912501713,16230969
429,105282929782291,105282946265571,16483280
430,105282963139681,105282979592515,16452834
431,105282996271064,105283012271041,15999977
432,105283029770024,105283046254836,16484812
433,105283063118597,105283079404407,16285810
434,105283096271177,105283112754407,16483230
435,105283129786862,105283146284108,16497246
436,105283163132909,105283179501622,16368713
437,105283196271446,105283212483977,16212531
438,105283229662867,105283245855906,16193039
439,105283263171648,105283279480815,16309167
440,105283296271682,105283312434900,16163218
441,105283329849554,105283346516757,16667203
442,105283362936098,105283379270059,16333961
443,105283396271229,105283413458493,17187264
444,105283429662413,105283446014785,16352372
445,105283462937895,105283479396166,16458271
446,105283496282018,105283512899419,16617401
447,105283529734955,105283546187115,16452160
448,105283563116590,105283579328340,16211750
449,105283596271316,105283612544041,16272725
450,105283629727727,105283646075886,16348159
451,105283663132828,105283679548885,16416057
452,105283696270941,105283712729027,16458086
453,105283729781553,105283746256306,16474753
454,105283763133006,105283779656789,16523783
455,105283796271386,105283812744873,16473487
456,105283829638323,105283846807918,17169595
457,105283863191583,105283879626697,16435114
458,105283896439800,105283912900249,16460449
459,105283929663130,105283945934366,16271236
460,105283963119193,105283979246497,16127304
461,105283996489651,105284012816238,16326587
462,105284029639473,105284046063876,16424403
463,105284063137343,105284079315461,16178118
464,105284096424234,105284112497060,16072826
465,105284129610753,105284145861791,16251038
466,105284162995744,105284179482224,16486480
467,105284196462046,105284212640192,16178146
468,105284229663723,105284246251347,16587624
469,105284263233840,105284279569742,16335902
470,105284296270751,105284312583428,16312677
