tick_ns,sid,pid,comm,cpu_pct
528594116,371031,371031,ros2,80.00
528594116,371031,371052,gscam_node,0.00
1006901875,371031,371031,ros2,0.00
1006901875,371031,371052,gscam_node,134.00
1507039704,371031,371031,ros2,0.00
1507039704,371031,371052,gscam_node,8.00
2007014177,371031,371031,ros2,0.00
2007014177,371031,371052,gscam_node,4.00
2507285602,371031,371031,ros2,0.00
2507285602,371031,371052,gscam_node,8.00
3007028275,371031,371031,ros2,0.00
3007028275,371031,371052,gscam_node,8.00
3506738834,371031,371031,ros2,0.00
3506738834,371031,371052,gscam_node,6.00
4006996592,371031,371031,ros2,0.00
4006996592,371031,371052,gscam_node,8.00
4506844965,371031,371031,ros2,0.00
4506844965,371031,371052,gscam_node,6.00
5006898246,371031,371031,ros2,0.00
5006898246,371031,371052,gscam_node,6.00
5506820821,371031,371031,ros2,0.00
5506820821,371031,371052,gscam_node,8.00
6006808433,371031,371031,ros2,0.00
6006808433,371031,371052,gscam_node,8.00
6507176980,371031,371031,ros2,0.00
6507176980,371031,371052,gscam_node,6.00
7006795679,371031,371031,ros2,0.00
7006795679,371031,371052,gscam_node,8.00
7506867733,371031,371031,ros2,0.00
7506867733,371031,371052,gscam_node,6.00
8007111643,371031,371031,ros2,0.00
8007111643,371031,371052,gscam_node,8.00
8507313687,371031,371031,ros2,0.00
8507313687,371031,371052,gscam_node,6.00
9007008641,371031,371031,ros2,0.00
9007008641,371031,371052,gscam_node,8.00
9507160304,371031,371031,ros2,0.00
9507160304,371031,371052,gscam_node,8.00
10007205426,371031,371031,ros2,0.00
10007205426,371031,371052,gscam_node,8.00
10507199381,371031,371031,ros2,0.00
10507199381,371031,371052,gscam_node,6.00
11007147374,371031,371031,ros2,0.00
11007147374,371031,371052,gscam_node,8.00
11507187959,371031,371031,ros2,0.00
11507187959,371031,371052,gscam_node,6.00
12007290754,371031,371031,ros2,0.00
12007290754,371031,371052,gscam_node,8.00
12506939078,371031,371031,ros2,0.00
12506939078,371031,371052,gscam_node,8.00
13007373831,371031,371031,ros2,0.00
13007373831,371031,371052,gscam_node,8.00
13507193497,371031,371031,ros2,0.00
13507193497,371031,371052,gscam_node,6.00
14006737075,371031,371031,ros2,0.00
14006737075,371031,371052,gscam_node,8.00
14506836519,371031,371031,ros2,0.00
14506836519,371031,371052,gscam_node,6.00
