tick_ns,sid,pid,comm,cpu_pct
508315423,1535236,1535236,ros2,102.00
1015162461,1535236,1535236,ros2,8.00
1015162461,1535236,1535253,usb_cam_node_ex,0.00
1515798833,1535236,1535236,ros2,0.00
1515798833,1535236,1535253,usb_cam_node_ex,32.00
2015941474,1535236,1535236,ros2,0.00
2015941474,1535236,1535253,usb_cam_node_ex,24.00
2515167553,1535236,1535236,ros2,0.00
2515167553,1535236,1535253,usb_cam_node_ex,28.00
3006508309,1535236,1535236,ros2,0.00
3006508309,1535236,1535253,usb_cam_node_ex,18.00
3506009077,1535236,1535236,ros2,0.00
3506009077,1535236,1535253,usb_cam_node_ex,16.00
4006206647,1535236,1535236,ros2,0.00
4006206647,1535236,1535253,usb_cam_node_ex,16.00
4510680480,1535236,1535236,ros2,0.00
4510680480,1535236,1535253,usb_cam_node_ex,16.00
5006200484,1535236,1535236,ros2,0.00
5006200484,1535236,1535253,usb_cam_node_ex,16.00
5506144798,1535236,1535236,ros2,0.00
5506144798,1535236,1535253,usb_cam_node_ex,14.00
6006163516,1535236,1535236,ros2,0.00
6006163516,1535236,1535253,usb_cam_node_ex,16.00
6505978326,1535236,1535236,ros2,0.00
6505978326,1535236,1535253,usb_cam_node_ex,14.00
7008445373,1535236,1535236,ros2,0.00
7008445373,1535236,1535253,usb_cam_node_ex,16.00
7505976171,1535236,1535236,ros2,0.00
7505976171,1535236,1535253,usb_cam_node_ex,14.00
8006405288,1535236,1535236,ros2,0.00
8006405288,1535236,1535253,usb_cam_node_ex,16.00
8506001878,1535236,1535236,ros2,0.00
8506001878,1535236,1535253,usb_cam_node_ex,14.00
9006060718,1535236,1535236,ros2,0.00
9006060718,1535236,1535253,usb_cam_node_ex,14.00
9506234854,1535236,1535236,ros2,0.00
9506234854,1535236,1535253,usb_cam_node_ex,16.00
10006110642,1535236,1535236,ros2,0.00
10006110642,1535236,1535253,usb_cam_node_ex,14.00
10506120353,1535236,1535236,ros2,0.00
10506120353,1535236,1535253,usb_cam_node_ex,16.00
11006089192,1535236,1535236,ros2,0.00
