tick_ns,sid,pid,comm,cpu_pct
506985383,375721,375721,ros2,0.00
506985383,375721,375738,gscam_node,4.00
506985383,375789,375789,gst-launch-1.0,76.00
1007047247,375721,375721,ros2,0.00
1007047247,375721,375738,gscam_node,8.00
1007047247,375789,375789,gst-launch-1.0,2.00
1507406281,375721,375721,ros2,0.00
1507406281,375721,375738,gscam_node,4.00
1507406281,375789,375789,gst-launch-1.0,24.00
2007238971,375721,375721,ros2,0.00
2007238971,375721,375738,gscam_node,6.00
2007238971,375789,375789,gst-launch-1.0,14.00
2507073597,375721,375721,ros2,0.00
2507073597,375721,375738,gscam_node,10.00
2507073597,375789,375789,gst-launch-1.0,10.00
3007519813,375721,375721,ros2,0.00
3007519813,375721,375738,gscam_node,8.00
3007519813,375789,375789,gst-launch-1.0,8.00
3507211616,375721,375721,ros2,0.00
3507211616,375721,375738,gscam_node,6.00
3507211616,375789,375789,gst-launch-1.0,12.00
4007628580,375721,375721,ros2,0.00
4007628580,375721,375738,gscam_node,8.00
4007628580,375789,375789,gst-launch-1.0,8.00
4507454718,375721,375721,ros2,0.00
4507454718,375721,375738,gscam_node,8.00
4507454718,375789,375789,gst-launch-1.0,10.00
5007038133,375721,375721,ros2,0.00
5007038133,375721,375738,gscam_node,6.00
5007038133,375789,375789,gst-launch-1.0,8.00
5507300858,375721,375721,ros2,0.00
5507300858,375721,375738,gscam_node,8.00
5507300858,375789,375789,gst-launch-1.0,8.00
6007234809,375721,375721,ros2,0.00
6007234809,375721,375738,gscam_node,6.00
6007234809,375789,375789,gst-launch-1.0,10.00
6507494942,375721,375721,ros2,0.00
6507494942,375721,375738,gscam_node,8.00
6507494942,375789,375789,gst-launch-1.0,10.00
7007391684,375721,375721,ros2,0.00
7007391684,375721,375738,gscam_node,8.00
7007391684,375789,375789,gst-launch-1.0,8.00
7507581171,375721,375721,ros2,0.00
7507581171,375721,375738,gscam_node,8.00
7507581171,375789,375789,gst-launch-1.0,10.00
8007568684,375721,375721,ros2,0.00
8007568684,375721,375738,gscam_node,6.00
8007568684,375789,375789,gst-launch-1.0,6.00
8507494798,375721,375721,ros2,0.00
8507494798,375721,375738,gscam_node,6.00
8507494798,375789,375789,gst-launch-1.0,10.00
9007718869,375721,375721,ros2,0.00
9007718869,375721,375738,gscam_node,8.00
9007718869,375789,375789,gst-launch-1.0,8.00
9507170400,375721,375721,ros2,0.00
9507170400,375721,375738,gscam_node,8.00
9507170400,375789,375789,gst-launch-1.0,10.00
10007572852,375721,375721,ros2,0.00
10007572852,375721,375738,gscam_node,6.00
10007572852,375789,375789,gst-launch-1.0,8.00
10507711165,375721,375721,ros2,0.00
10507711165,375721,375738,gscam_node,6.00
10507711165,375789,375789,gst-launch-1.0,10.00
11007441585,375721,375721,ros2,0.00
11007441585,375721,375738,gscam_node,8.00
11007441585,375789,375789,gst-launch-1.0,10.00
11507334873,375721,375721,ros2,0.00
11507334873,375721,375738,gscam_node,6.00
11507334873,375789,375789,gst-launch-1.0,8.00
12007511204,375721,375721,ros2,0.00
12007511204,375721,375738,gscam_node,8.00
12007511204,375789,375789,gst-launch-1.0,10.00
12507167283,375721,375721,ros2,0.00
12507167283,375721,375738,gscam_node,6.00
12507167283,375789,375789,gst-launch-1.0,8.00
13007533549,375721,375721,ros2,0.00
13007533549,375721,375738,gscam_node,8.00
13007533549,375789,375789,gst-launch-1.0,8.00
13507116706,375721,375721,ros2,0.00
13507116706,375721,375738,gscam_node,6.00
13507116706,375789,375789,gst-launch-1.0,10.00
14007377537,375721,375721,ros2,0.00
14007377537,375721,375738,gscam_node,8.00
14007377537,375789,375789,gst-launch-1.0,8.00
14507435409,375721,375721,ros2,0.00
14507435409,375721,375738,gscam_node,6.00
14507435409,375789,375789,gst-launch-1.0,10.00
