tick_ns,sid,pid,comm,cpu_pct
507273239,374892,374892,ros2,0.00
507273239,374892,374896,usb_cam_node_ex,6.00
507273239,374951,374951,gst-launch-1.0,78.00
1007061249,374892,374892,ros2,0.00
1007061249,374892,374896,usb_cam_node_ex,4.00
1007061249,374951,374951,gst-launch-1.0,2.00
1508449211,374892,374892,ros2,0.00
1508449211,374892,374896,usb_cam_node_ex,4.00
1508449211,374951,374951,gst-launch-1.0,22.00
2007569111,374892,374892,ros2,0.00
2007569111,374892,374896,usb_cam_node_ex,8.00
2007569111,374951,374951,gst-launch-1.0,18.00
2508153313,374892,374892,ros2,0.00
2508153313,374892,374896,usb_cam_node_ex,6.00
2508153313,374951,374951,gst-launch-1.0,10.00
3007587533,374892,374892,ros2,0.00
3007587533,374892,374896,usb_cam_node_ex,8.00
3007587533,374951,374951,gst-launch-1.0,10.00
3507424549,374892,374892,ros2,0.00
3507424549,374892,374896,usb_cam_node_ex,8.00
3507424549,374951,374951,gst-launch-1.0,10.00
4007366753,374892,374892,ros2,0.00
4007366753,374892,374896,usb_cam_node_ex,8.00
4007366753,374951,374951,gst-launch-1.0,8.00
4508283601,374892,374892,ros2,0.00
4508283601,374892,374896,usb_cam_node_ex,4.00
4508283601,374951,374951,gst-launch-1.0,10.00
5007532780,374892,374892,ros2,0.00
5007532780,374892,374896,usb_cam_node_ex,8.00
5007532780,374951,374951,gst-launch-1.0,12.00
5507893190,374892,374892,ros2,0.00
5507893190,374892,374896,usb_cam_node_ex,8.00
5507893190,374951,374951,gst-launch-1.0,8.00
6007520178,374892,374892,ros2,0.00
6007520178,374892,374896,usb_cam_node_ex,6.00
6007520178,374951,374951,gst-launch-1.0,8.00
6507522190,374892,374892,ros2,0.00
6507522190,374892,374896,usb_cam_node_ex,6.00
6507522190,374951,374951,gst-launch-1.0,10.00
7007116299,374892,374892,ros2,0.00
7007116299,374892,374896,usb_cam_node_ex,8.00
7007116299,374951,374951,gst-launch-1.0,8.00
7507330237,374892,374892,ros2,0.00
7507330237,374892,374896,usb_cam_node_ex,6.00
7507330237,374951,374951,gst-launch-1.0,10.00
8007524958,374892,374892,ros2,0.00
8007524958,374892,374896,usb_cam_node_ex,8.00
8007524958,374951,374951,gst-launch-1.0,8.00
8507778771,374892,374892,ros2,0.00
8507778771,374892,374896,usb_cam_node_ex,6.00
8507778771,374951,374951,gst-launch-1.0,10.00
9007457570,374892,374892,ros2,0.00
9007457570,374892,374896,usb_cam_node_ex,8.00
9007457570,374951,374951,gst-launch-1.0,8.00
9507475209,374892,374892,ros2,0.00
9507475209,374892,374896,usb_cam_node_ex,8.00
9507475209,374951,374951,gst-launch-1.0,8.00
10007324626,374892,374892,ros2,0.00
10007324626,374892,374896,usb_cam_node_ex,6.00
10007324626,374951,374951,gst-launch-1.0,10.00
10511437241,374892,374892,ros2,0.00
10511437241,374892,374896,usb_cam_node_ex,8.00
10511437241,374951,374951,gst-launch-1.0,8.00
11007227152,374892,374892,ros2,0.00
11007227152,374892,374896,usb_cam_node_ex,6.00
11007227152,374951,374951,gst-launch-1.0,10.00
11507454926,374892,374892,ros2,0.00
11507454926,374892,374896,usb_cam_node_ex,8.00
11507454926,374951,374951,gst-launch-1.0,10.00
12007077142,374892,374892,ros2,0.00
12007077142,374892,374896,usb_cam_node_ex,8.00
12007077142,374951,374951,gst-launch-1.0,8.00
12507173438,374892,374892,ros2,0.00
12507173438,374892,374896,usb_cam_node_ex,4.00
12507173438,374951,374951,gst-launch-1.0,10.00
13007329703,374892,374892,ros2,0.00
13007329703,374892,374896,usb_cam_node_ex,8.00
13007329703,374951,374951,gst-launch-1.0,8.00
13507416955,374892,374892,ros2,0.00
13507416955,374892,374896,usb_cam_node_ex,6.00
13507416955,374951,374951,gst-launch-1.0,10.00
14007614122,374892,374892,ros2,0.00
14007614122,374892,374896,usb_cam_node_ex,8.00
14007614122,374951,374951,gst-launch-1.0,8.00
14508183046,374892,374892,ros2,0.00
14508183046,374892,374896,usb_cam_node_ex,8.00
14508183046,374951,374951,gst-launch-1.0,10.00
