frame_id,send_ts_ns,recv_ts_ns,latency_ns
145,9122979561978,9122987109546,7547568
146,9123012872993,9123020859940,7986947
147,9123046231227,9123054282041,8050814
148,9123079551926,9123087179019,7627093
149,9123112872068,9123121277730,8405662
150,9123146204302,9123154138917,7934615
151,9123179617254,9123187267268,7650014
152,9123212892421,9123220716074,7823653
153,9123246227777,9123254397330,8169553
154,9123279562331,9123287692435,8130104
155,9123312894729,9123320877212,7982483
156,9123346204220,9123354829436,8625216
157,9123379563624,9123388595157,9031533
158,9123412889506,9123421657198,8767692
159,9123446225639,9123454425604,8199965
160,9123479571396,9123487657622,8086226
161,9123512894919,9123521965112,9070193
162,9123546238572,9123554697775,8459203
163,9123579571851,9123588039281,8467430
164,9123612872364,9123621024297,8151933
165,9123646230944,9123655387164,9156220
166,9123679707898,9123689247932,9540034
167,9123712900058,9123721252291,8352233
168,9123746233549,9123754216842,7983293
169,9123779691978,9123788416146,8724168
170,9123812908527,9123821400755,8492228
171,9123846309564,9123854749190,8439626
172,9123879595376,9123888703752,9108376
173,9123913070424,9123921810153,8739729
174,9123946328389,9123954584675,8256286
175,9123979661820,9123988166706,8504886
176,9124012896478,9124021501859,8605381
177,9124046205177,9124054859355,8654178
178,9124079563342,9124087721127,8157785
179,9124112897253,9124122051122,9153869
180,9124146205424,9124155364032,9158608
181,9124179569817,9124188600651,9030834
182,9124212903434,9124221870429,8966995
183,9124246204701,9124254634768,8430067
184,9124279567251,9124288130237,8562986
185,9124312900243,9124321626074,8725831
186,9124346205264,9124354320155,8114891
187,9124379540129,9124387889209,8349080
188,9124412901478,9124421545668,8644190
189,9124446230403,9124454636816,8406413
190,9124479569238,9124488261199,8691961
191,9124512892933,9124520855104,7962171
192,9124546229175,9124554601538,8372363
193,9124579590258,9124587982463,8392205
194,9124612872492,9124621330393,8457901
195,9124646232410,9124654902135,8669725
196,9124679671854,9124687850653,8178799
197,9124712870846,9124721117964,8247118
198,9124746204162,9124755322852,9118690
199,9124779568576,9124787913478,8344902
200,9124812870967,9124821178643,8307676
201,9124846231022,9124854745771,8514749
202,9124879563066,9124887810616,8247550
203,9124912996222,9124923383771,10387549
204,9124946207429,9124954071437,7864008
205,9124979567063,9124987719745,8152682
206,9125012899861,9125021253105,8353244
207,9125046313690,9125054733702,8420012
208,9125079571965,9125088284941,8712976
209,9125112897592,9125121277468,8379876
210,9125146204649,9125154365997,8161348
211,9125179580649,9125187735346,8154697
212,9125212905296,9125221254263,8348967
213,9125246205155,9125254608401,8403246
214,9125279571327,9125287716639,8145312
215,9125312902350,9125321630028,8727678
216,9125346206000,9125354451874,8245874
217,9125379538902,9125387554206,8015304
218,9125412932559,9125421060069,8127510
219,9125446327575,9125455043877,8716302
220,9125479540730,9125487742122,8201392
221,9125512907269,9125521414816,8507547
222,9125546242485,9125554704736,8462251
223,9125579569961,9125588111300,8541339
224,9125612873091,9125622164374,9291283
225,9125646205327,9125654976143,8770816
226,9125679601233,9125688545614,8944381
227,9125712985669,9125721974298,8988629
228,9125746230828,9125754761471,8530643
229,9125779540226,9125787859209,8318983
230,9125812894034,9125821749118,8855084
231,9125846313839,9125855301366,8987527
232,9125879585704,9125887957709,8372005
233,9125913055170,9125921628839,8573669
234,9125946207743,9125954890903,8683160
235,9125979538257,9125988208643,8670386
236,9126012871378,9126021486698,8615320
237,9126046205192,9126054963806,8758614
238,9126079563978,9126088163746,8599768
239,9126112903985,9126121631311,8727326
240,9126146382330,9126155151542,8769212
241,9126179622188,9126188694329,9072141
242,9126212906133,9126222777348,9871215
243,9126246228468,9126254931586,8703118
244,9126279579804,9126288652647,9072843
245,9126312900233,9126321555445,8655212
246,9126346205409,9126354910714,8705305
247,9126379569753,9126389517462,9947709
248,9126412994048,9126424178085,11184037
249,9126446231937,9126456675568,10443631
250,9126479702957,9126488486995,8784038
251,9126513102875,9126521683620,8580745
252,9126546323746,9126555067641,8743895
253,9126579710500,9126588075795,8365295
254,9126612872555,9126621690821,8818266
255,9126646232870,9126655146520,8913650
256,9126679686694,9126688785651,9098957
257,9126713046413,9126721783444,8737031
258,9126746321203,9126754909813,8588610
259,9126779689758,9126788186377,8496619
260,9126812874052,9126821200189,8326137
261,9126846326595,9126854950598,8624003
262,9126879539626,9126887806251,8266625
263,9126912986745,9126920914848,7928103
264,9126946206134,9126953951546,7745412
265,9126979567027,9126987726309,8159282
266,9127012906373,9127020927681,8021308
267,9127046233136,9127054451685,8218549
268,9127079563132,9127087426887,7863755
269,9127113051775,9127121524677,8472902
270,9127146348798,9127154618138,8269340
271,9127179565264,9127187631977,8066713
272,9127213082692,9127221324253,8241561
273,9127246340357,9127254622221,8281864
274,9127279570693,9127287588418,8017725
275,9127313084313,9127321380888,8296575
276,9127346350362,9127354597523,8247161
277,9127379571751,9127387742151,8170400
278,9127413061555,9127420918496,7856941
279,9127446343697,9127454403549,8059852
280,9127479686976,9127488566850,8879874
281,9127512976641,9127521389409,8412768
282,9127546232069,9127554517148,8285079
283,9127579563139,9127587964991,8401852
284,9127612917454,9127621775428,8857974
285,9127646205028,9127654774812,8569784
286,9127679590270,9127688112267,8521997
287,9127713047803,9127721537173,8489370
288,9127746210632,9127755230828,9020196
289,9127779564043,9127788044936,8480893
290,9127812899451,9127821589530,8690079
291,9127846234955,9127854861925,8626970
292,9127879563101,9127888144884,8581783
293,9127912996100,9127921646468,8650368
294,9127946210380,9127954737984,8527604
295,9127979563634,9127988342366,8778732
296,9128012919589,9128021270796,8351207
297,9128046240863,9128054757069,8516206
298,9128079569005,9128087719148,8150143
299,9128112905867,9128121290833,8384966
300,9128146307984,9128154708096,8400112
301,9128179540867,9128187714602,8173735
302,9128213108851,9128221390999,8282148
303,9128246209222,9128254353202,8143980
304,9128279653147,9128287639368,7986221
305,9128312993626,9128321472752,8479126
306,9128346208257,9128354185536,7977279
307,9128379573613,9128387641481,8067868
308,9128412987716,9128421613931,8626215
309,9128446321396,9128454704057,8382661
310,9128479652740,9128487840686,8187946
311,9128512873808,9128521153260,8279452
312,9128546206008,9128554896348,8690340
313,9128579577267,9128588460507,8883240
314,9128612873578,9128622574111,9700533
315,9128646232141,9128654969399,8737258
316,9128679560310,9128688349791,8789481
317,9128713049760,9128721509245,8459485
318,9128746318886,9128754818791,8499905
319,9128779539305,9128787850133,8310828
320,9128812871494,9128821764906,8893412
321,9128846207099,9128854793370,8586271
322,9128879538281,9128888083204,8544923
323,9128913084059,9128921513009,8428950
324,9128946205504,9128954651815,8446311
325,9128979567913,9128988127812,8559899
