frame_id,send_ts_ns,recv_ts_ns,latency_ns
297,104869148645790,104869164402121,15756331
298,104869182135717,104869197394314,15258597
299,104869215298469,104869230534746,15236277
300,104869248679816,104869263843579,15163763
301,104869282122628,104869297269294,15146666
302,104869315304040,104869330694952,15390912
303,104869348663919,104869364053882,15389963
304,104869381988253,104869397443421,15455168
305,104869415518612,104869430781512,15262900
306,104869448641736,104869463817939,15176203
307,104869482201429,104869497557060,15355631
308,104869515279207,104869530752367,15473160
309,104869548839184,104869564212611,15373427
310,104869582214569,104869597517828,15303259
311,104869615312611,104869630684876,15372265
312,104869648847704,104869664572137,15724433
313,104869682120631,104869697627088,15506457
314,104869715315117,104869730695262,15380145
315,104869748661346,104869763703919,15042573
316,104869782138063,104869797374867,15236804
317,104869815277747,104869830539665,15261918
318,104869848669485,104869864216657,15547172
319,104869882109901,104869897817878,15707977
320,104869915275216,104869930590451,15315235
321,104869948792115,104869964499453,15707338
322,104869982066840,104869997385361,15318521
323,104870015401269,104870030700371,15299102
324,104870048724480,104870064387850,15663370
325,104870081980692,104870097756154,15775462
326,104870115277342,104870130721758,15444416
327,104870148667640,104870164282976,15615336
328,104870182156197,104870197565334,15409137
329,104870215294932,104870230604461,15309529
330,104870248778369,104870263929230,15150861
331,104870282031197,104870297626455,15595258
332,104870315277295,104870331454308,16177013
333,104870348665962,104870363891574,15225612
334,104870382185619,104870397112993,14927374
335,104870415310732,104870430603559,15292827
336,104870448802175,104870464461119,15658944
337,104870482156503,104870497455469,15298966
338,104870515455258,104870531138431,15683173
339,104870548842134,104870564353968,15511834
340,104870582206133,104870597836541,15630408
341,104870615364407,104870630838351,15473944
342,104870648857169,104870664464701,15607532
343,104870682148284,104870697460635,15312351
344,104870715280517,104870730908599,15628082
345,104870748786325,104870763765917,14979592
346,104870782149112,104870797415139,15266027
347,104870815449418,104870830703704,15254286
348,104870848670517,104870864175841,15505324
349,104870882157111,104870897642248,15485137
350,104870915277705,104870930804830,15527125
351,104870948772121,104870964464881,15692760
352,104870982138798,104870997511985,15373187
353,104871015278698,104871030571266,15292568
354,104871048793569,104871064315652,15522083
355,104871082094725,104871097648260,15553535
356,104871115276966,104871130484928,15207962
357,104871148865444,104871164254808,15389364
358,104871182142209,104871197674960,15532751
359,104871215404950,104871230615741,15210791
360,104871248827521,104871264196918,15369397
361,104871282151599,104871297449824,15298225
362,104871315277970,104871330705229,15427259
363,104871348799229,104871364473647,15674418
364,104871382187932,104871397267515,15079583
365,104871415302751,104871430806664,15503913
366,104871448669864,104871464066157,15396293
367,104871482072486,104871497235609,15163123
368,104871515398634,104871530808635,15410001
369,104871548800754,104871564196450,15395696
370,104871582146421,104871597302060,15155639
371,104871615474161,104871630581999,15107838
372,104871648787317,104871664224551,15437234
373,104871682135140,104871697437693,15302553
374,104871715404195,104871730728991,15324796
375,104871748668623,104871763977559,15308936
376,104871782181524,104871797574648,15393124
377,104871815277953,104871830575585,15297632
378,104871848664977,104871863712126,15047149
379,104871882183191,104871897536618,15353427
380,104871915277925,104871930854449,15576524
381,104871948669800,104871964198050,15528250
382,104871982215627,104871997278715,15063088
383,104872015278053,104872030443096,15165043
384,104872048808779,104872064133967,15325188
385,104872082108882,104872097289781,15180899
386,104872115334025,104872130717365,15383340
387,104872148734631,104872163780275,15045644
388,104872182137726,104872197783082,15645356
389,104872215337010,104872230715725,15378715
390,104872248775319,104872264313575,15538256
391,104872282137861,104872297602805,15464944
392,104872315322323,104872330709455,15387132
393,104872348733518,104872364642305,15908787
394,104872382159121,104872397666610,15507489
395,104872415278023,104872430772109,15494086
396,104872448665355,104872463922152,15256797
397,104872482212855,104872497551635,15338780
398,104872515448072,104872531161757,15713685
399,104872548670412,104872563732386,15061974
400,104872582096750,104872597111248,15014498
401,104872615280011,104872630780177,15500166
402,104872648669281,104872664509097,15839816
403,104872682088478,104872697431317,15342839
404,104872715278439,104872731165663,15887224
405,104872748763828,104872763974776,15210948
406,104872781999781,104872797467849,15468068
407,104872815457275,104872830812507,15355232
408,104872848784390,104872864100470,15316080
409,104872882158963,104872897586999,15428036
410,104872915277107,104872930852099,15574992
411,104872948819551,104872963825321,15005770
412,104872982171941,104872997534999,15363058
413,104873015454358,104873030617454,15163096
414,104873048802467,104873064079550,15277083
415,104873082160582,104873097391059,15230477
416,104873115277462,104873130797176,15519714
417,104873148757456,104873164159908,15402452
418,104873182053815,104873197225570,15171755
419,104873215277942,104873230572569,15294627
420,104873248668524,104873263725193,15056669
421,104873282138419,104873297366581,15228162
422,104873315277345,104873330586494,15309149
423,104873348683992,104873363753502,15069510
424,104873382123846,104873397537553,15413707
425,104873415294185,104873430639664,15345479
426,104873448798465,104873464195476,15397011
427,104873482203559,104873497251689,15048130
428,104873515275239,104873530537680,15262441
429,104873548863054,104873564279171,15416117
430,104873582065062,104873597335091,15270029
431,104873615482043,104873630994241,15512198
432,104873648799199,104873664292296,15493097
433,104873682204490,104873697513094,15308604
434,104873715430505,104873730646948,15216443
435,104873748792949,104873763768422,14975473
436,104873782183594,104873797640397,15456803
437,104873815526787,104873831070942,15544155
438,104873848658841,104873864085823,15426982
439,104873882160094,104873897959089,15798995
440,104873915427536,104873931016351,15588815
441,104873948717813,104873964315852,15598039
442,104873982205114,104873998067165,15862051
443,104874015278203,104874030586360,15308157
444,104874048665171,104874063629481,14964310
445,104874082077459,104874097535286,15457827
446,104874115277102,104874130760581,15483479
447,104874148794775,104874164916240,16121465
448,104874182151233,104874197540460,15389227
449,104874215516472,104874230823833,15307361
450,104874248731851,104874264209827,15477976
451,104874282133191,104874297427681,15294490
452,104874315367746,104874331238040,15870294
453,104874348823827,104874364458829,15635002
454,104874381971342,104874397686225,15714883
455,104874415276363,104874430592564,15316201
456,104874448803336,104874464102424,15299088
457,104874482063149,104874497256693,15193544
458,104874515282079,104874531422979,16140900
459,104874548609882,104874563727987,15118105
460,104874581948038,104874597195345,15247307
461,104874615448367,104874630790986,15342619
462,104874648648101,104874664080178,15432077
463,104874682176132,104874697411474,15235342
464,104874715277414,104874730655464,15378050
465,104874748655835,104874763975230,15319395
466,104874782095129,104874797294729,15199600
467,104874815284383,104874831229496,15945113
468,104874848611847,104874863408919,14797072
469,104874882071003,104874897086897,15015894
470,104874915277121,104874931574650,16297529
471,104874948800646,104874964156005,15355359
472,104874982179201,104874997334831,15155630
473,104875015274871,104875030713417,15438546
474,104875048791558,104875064263034,15471476
475,104875082191370,104875097428963,15237593
476,104875115319648,104875130783488,15463840
477,104875148644245,104875164079519,15435274
478,104875182123505,104875197465800,15342295
479,104875215275047,104875230876990,15601943
480,104875248765732,104875264237257,15471525
481,104875282200052,104875297493768,15293716
482,104875315277975,104875330430637,15152662
483,104875348798468,104875364222820,15424352
484,104875382031239,104875397318936,15287697
485,104875415277313,104875430357666,15080353
486,104875448818254,104875464210735,15392481
487,104875482200160,104875497256461,15056301
488,104875515279053,104875531554662,16275609
489,104875548790905,104875564887157,16096252
490,104875582139186,104875598640230,16501044
491,104875615277182,104875631364939,16087757
492,104875648780467,104875664975010,16194543
493,104875682094212,104875697426697,15332485
494,104875715274817,104875730636293,15361476
495,104875748668829,104875763781943,15113114
496,104875782158352,104875797607211,15448859
497,104875815298582,104875830695156,15396574
498,104875848617022,104875863750269,15133247
499,104875882109096,104875897379380,15270284
500,104875915277563,104875930582252,15304689
501,104875948852049,104875964577290,15725241
502,104875982139976,104875997809833,15669857
503,104876015274833,104876030665754,15390921
504,104876048795814,104876063979019,15183205
505,104876082134166,104876097627429,15493263
506,104876115318645,104876130978030,15659385
507,104876148665116,104876164204811,15539695
508,104876182082108,104876197470486,15388378
509,104876215277950,104876230631353,15353403
510,104876248850766,104876264395127,15544361
511,104876282149631,104876297231362,15081731
512,104876315277819,104876331753378,16475559
513,104876348807995,104876364545474,15737479
514,104876381948068,104876397895616,15947548
515,104876415278025,104876430697830,15419805
516,104876448664807,104876464081189,15416382
517,104876482138235,104876497442799,15304564
518,104876515277818,104876530640864,15363046
519,104876548668505,104876564072923,15404418
520,104876582154057,104876597554341,15400284
521,104876615274558,104876630516606,15242048
522,104876648682088,104876664509481,15827393
523,104876682100390,104876697575492,15475102
524,104876715274288,104876730785160,15510872
525,104876748668811,104876765236458,16567647
526,104876782110453,104876797708053,15597600
527,104876815413386,104876830995875,15582489
528,104876848610167,104876864105177,15495010
529,104876882189884,104876897761575,15571691
530,104876915280962,104876930796772,15515810
531,104876948669571,104876964330653,15661082
532,104876982192391,104876997627069,15434678
