tick_ns,sid,pid,comm,cpu_pct
507856142,379427,379427,ros2,78.00
507856142,379427,379447,camera_server_s,0.00
1006935228,379427,379427,ros2,0.00
1006935228,379427,379447,camera_server_s,64.00
1507370648,379427,379427,ros2,0.00
1507370648,379427,379447,camera_server_s,2.00
2007611611,379427,379427,ros2,0.00
2007611611,379427,379447,camera_server_s,28.00
2507861977,379427,379427,ros2,0.00
2507861977,379427,379447,camera_server_s,16.00
3007069373,379427,379427,ros2,0.00
3007069373,379427,379447,camera_server_s,8.00
3507536545,379427,379427,ros2,0.00
3507536545,379427,379447,camera_server_s,6.00
4007662503,379427,379427,ros2,0.00
4007662503,379427,379447,camera_server_s,8.00
4507161063,379427,379427,ros2,0.00
4507161063,379427,379447,camera_server_s,8.00
5007117401,379427,379427,ros2,0.00
5007117401,379427,379447,camera_server_s,8.00
5507501021,379427,379427,ros2,0.00
5507501021,379427,379447,camera_server_s,6.00
6007619879,379427,379427,ros2,0.00
6007619879,379427,379447,camera_server_s,10.00
6507172054,379427,379427,ros2,0.00
6507172054,379427,379447,camera_server_s,6.00
7007082372,379427,379427,ros2,0.00
7007082372,379427,379447,camera_server_s,8.00
7507222321,379427,379427,ros2,0.00
7507222321,379427,379447,camera_server_s,8.00
8007186094,379427,379427,ros2,0.00
8007186094,379427,379447,camera_server_s,8.00
8507507967,379427,379427,ros2,0.00
8507507967,379427,379447,camera_server_s,8.00
9006890684,379427,379427,ros2,0.00
9006890684,379427,379447,camera_server_s,6.00
9506991640,379427,379427,ros2,0.00
9506991640,379427,379447,camera_server_s,10.00
10007352147,379427,379427,ros2,0.00
10007352147,379427,379447,camera_server_s,8.00
10507061586,379427,379427,ros2,0.00
10507061586,379427,379447,camera_server_s,8.00
11007096864,379427,379427,ros2,0.00
11007096864,379427,379447,camera_server_s,8.00
11507303432,379427,379427,ros2,0.00
11507303432,379427,379447,camera_server_s,8.00
12007431094,379427,379427,ros2,0.00
12007431094,379427,379447,camera_server_s,8.00
12507256925,379427,379427,ros2,0.00
12507256925,379427,379447,camera_server_s,8.00
13007199500,379427,379427,ros2,0.00
13007199500,379427,379447,camera_server_s,8.00
13507390428,379427,379427,ros2,0.00
13507390428,379427,379447,camera_server_s,10.00
14007145147,379427,379427,ros2,0.00
14007145147,379427,379447,camera_server_s,6.00
14507282006,379427,379427,ros2,0.00
14507282006,379427,379447,camera_server_s,6.00
