frame_id,send_ts_ns,recv_ts_ns,latency_ns
130,10054933291093,10054940075101,6784008
131,10054966616262,10054973377556,6761294
132,10054999864062,10055006816756,6952694
133,10055033182907,10055039717367,6534460
134,10055066609779,10055073510962,6901183
135,10055099949396,10055107170264,7220868
136,10055133309467,10055140157762,6848295
137,10055166584190,10055173516355,6932165
138,10055199949642,10055206833414,6883772
139,10055233166275,10055240403783,7237508
140,10055266616844,10055273765809,7148965
141,10055299942346,10055307244738,7302392
142,10055333278448,10055340581932,7303484
143,10055366609773,10055373755295,7145522
144,10055399945546,10055407419302,7473756
145,10055433285291,10055440778303,7493012
146,10055466570367,10055473879268,7308901
147,10055499939748,10055507193733,7253985
148,10055533190367,10055540303734,7113367
149,10055566502784,10055573822458,7319674
150,10055599841320,10055606898564,7057244
151,10055633167903,10055640301896,7133993
152,10055666504205,10055673739796,7235591
153,10055699846394,10055706829324,6982930
154,10055733132086,10055739737390,6605304
155,10055766513196,10055773449998,6936802
156,10055799795391,10055806726490,6931099
157,10055833185652,10055839588215,6402563
158,10055866461358,10055873358717,6897359
159,10055899801632,10055907490354,7688722
160,10055933195602,10055941096255,7900653
161,10055966509140,10055973607274,7098134
162,10055999930916,10056007059964,7129048
163,10056033313854,10056040553470,7239616
164,10056066613381,10056073998055,7384674
165,10056099948134,10056107613169,7665035
166,10056133132079,10056140252890,7120811
167,10056166504076,10056173509610,7005534
168,10056199949609,10056206956463,7006854
169,10056233350834,10056241035548,7684714
170,10056266575901,10056273818865,7242964
171,10056299845028,10056306620427,6775399
172,10056333295389,10056339990752,6695363
173,10056366463751,10056373660003,7196252
174,10056399954482,10056407321930,7367448
175,10056433162656,10056440641562,7478906
176,10056466495293,10056473981335,7486042
177,10056499793697,10056507147511,7353814
178,10056533166437,10056540499271,7332834
179,10056566578247,10056574691717,8113470
180,10056599796308,10056607581429,7785121
181,10056633165351,10056640855633,7690282
182,10056666463360,10056674441155,7977795
183,10056699932272,10056707536558,7604286
184,10056733182618,10056740696561,7513943
185,10056766500631,10056773824295,7323664
186,10056799819008,10056807085775,7266767
187,10056833168807,10056840512900,7344093
188,10056866496372,10056873882946,7386574
189,10056899796358,10056907581953,7785595
190,10056933185502,10056940963364,7777862
191,10056966465556,10056973481075,7015519
192,10056999841495,10057007571972,7730477
193,10057033269163,10057040648147,7378984
194,10057066531010,10057074199669,7668659
195,10057099833033,10057108052086,8219053
196,10057133174616,10057141112274,7937658
197,10057166495365,10057173730378,7235013
198,10057199877018,10057207558856,7681838
199,10057233167448,10057240648748,7481300
200,10057266509174,10057273858691,7349517
201,10057299847760,10057307275121,7427361
202,10057333175168,10057340651962,7476794
203,10057366618649,10057373847808,7229159
204,10057399848292,10057407632012,7783720
205,10057433181253,10057440483919,7302666
206,10057466599907,10057473893101,7293194
207,10057499935215,10057507780569,7845354
208,10057533165524,10057539958887,6793363
209,10057566487605,10057573775148,7287543
210,10057599947690,10057607173781,7226091
211,10057633242184,10057640110619,6868435
212,10057666526687,10057673731493,7204806
213,10057699842658,10057707524185,7681527
214,10057733164460,10057740062697,6898237
215,10057766464432,10057773111508,6647076
216,10057799838566,10057807597376,7758810
217,10057833197718,10057840406334,7208616
