tick_ns,sid,pid,comm,cpu_pct
509073996,413025,413025,ros2,0.00
509073996,413025,413054,camera_server_s,50.00
1007625858,413025,413025,ros2,0.00
1007625858,413025,413054,camera_server_s,20.00
1507525424,413025,413025,ros2,0.00
1507525424,413025,413054,camera_server_s,12.00
2007275650,413025,413025,ros2,0.00
2007275650,413025,413054,camera_server_s,12.00
2507374779,413025,413025,ros2,0.00
2507374779,413025,413054,camera_server_s,12.00
3007173892,413025,413025,ros2,0.00
3007173892,413025,413054,camera_server_s,12.00
3507329039,413025,413025,ros2,0.00
3507329039,413025,413054,camera_server_s,12.00
4007440765,413025,413025,ros2,0.00
4007440765,413025,413054,camera_server_s,12.00
4507071790,413025,413025,ros2,0.00
4507071790,413025,413054,camera_server_s,12.00
5007417473,413025,413025,ros2,0.00
5007417473,413025,413054,camera_server_s,12.00
5507458318,413025,413025,ros2,0.00
5507458318,413025,413054,camera_server_s,14.00
6007469503,413025,413025,ros2,0.00
6007469503,413025,413054,camera_server_s,12.00
6507769478,413025,413025,ros2,0.00
6507769478,413025,413054,camera_server_s,12.00
7007154582,413025,413025,ros2,0.00
7007154582,413025,413054,camera_server_s,14.00
7507508411,413025,413025,ros2,0.00
7507508411,413025,413054,camera_server_s,12.00
8006995553,413025,413025,ros2,0.00
8006995553,413025,413054,camera_server_s,10.00
8507049094,413025,413025,ros2,0.00
8507049094,413025,413054,camera_server_s,12.00
9007224421,413025,413025,ros2,0.00
9007224421,413025,413054,camera_server_s,12.00
9507663106,413025,413025,ros2,0.00
9507663106,413025,413054,camera_server_s,12.00
10007700023,413025,413025,ros2,0.00
10007700023,413025,413054,camera_server_s,14.00
10507257968,413025,413025,ros2,0.00
10507257968,413025,413054,camera_server_s,12.00
11007145621,413025,413025,ros2,0.00
11007145621,413025,413054,camera_server_s,14.00
11507088202,413025,413025,ros2,0.00
11507088202,413025,413054,camera_server_s,12.00
12007077514,413025,413025,ros2,0.00
12007077514,413025,413054,camera_server_s,10.00
12507066235,413025,413025,ros2,0.00
12507066235,413025,413054,camera_server_s,12.00
13007339554,413025,413025,ros2,0.00
13007339554,413025,413054,camera_server_s,12.00
13507922975,413025,413025,ros2,0.00
13507922975,413025,413054,camera_server_s,12.00
14007171078,413025,413025,ros2,0.00
14007171078,413025,413054,camera_server_s,14.00
14507328363,413025,413025,ros2,0.00
14507328363,413025,413054,camera_server_s,12.00
