frame_id,send_ts_ns,recv_ts_ns,latency_ns
136,106088977942538,106088996494442,18551904
137,106089011277166,106089029295270,18018104
138,106089044696275,106089062422817,17726542
139,106089077891943,106089095202440,17310497
140,106089111341703,106089128245778,16904075
141,106089144669320,106089161421691,16752371
142,106089178151497,106089194499697,16348200
143,106089211351530,106089228117386,16765856
144,106089244664843,106089262259044,17594201
145,106089277998738,106089293802217,15803479
146,106089311346779,106089326697878,15351099
147,106089344666880,106089359908926,15242046
148,106089378005825,106089392904754,14898929
149,106089411226248,106089429649015,18422767
150,106089444557675,106089462703013,18145338
151,106089477890633,106089492268062,14377429
152,106089511226377,106089527380393,16154016
153,106089544681088,106089557999462,13318374
154,106089577894213,106089595239181,17344968
155,106089611225021,106089628369256,17144235
156,106089644558146,106089661351012,16792866
157,106089677999536,106089689630021,11630485
158,106089711224163,106089724244443,13020280
159,106089744759640,106089759086429,14326789
160,106089778111349,106089791864874,13753525
161,106089811223575,106089821456576,10233001
162,106089844750058,106089854537248,9787190
163,106089878134882,106089887641494,9506612
164,106089911379377,106089920502259,9122882
165,106089944617633,106089953474339,8856706
166,106089978059973,106089986306614,8246641
167,106090011224308,106090019525428,8301120
168,106090044660479,106090053606576,8946097
169,106090078064786,106090086372843,8308057
170,106090111226946,106090121142946,9916000
171,106090144698407,106090154703032,10004625
172,106090178103032,106090187308668,9205636
173,106090211406515,106090220677120,9270605
174,106090244613273,106090253982469,9369196
175,106090278091851,106090287598051,9506200
176,106090311226546,106090320591093,9364547
177,106090344617389,106090354052297,9434908
178,106090378058118,106090387493036,9434918
179,106090411294339,106090420679664,9385325
180,106090444591125,106090454061584,9470459
181,106090478108476,106090487498637,9390161
182,106090511225410,106090526329988,15104578
183,106090544557549,106090554428775,9871226
184,106090578015914,106090590522169,12506255
185,106090611403054,106090620790212,9387158
186,106090644619284,106090654270173,9650889
187,106090678086957,106090687494828,9407871
188,106090711394133,106090720640943,9246810
189,106090744755895,106090754089222,9333327
190,106090778037257,106090787186149,9148892
191,106090811283557,106090820402088,9118531
192,106090844744058,106090853936959,9192901
193,106090878091965,106090887325380,9233415
194,106090911271918,106090920600183,9328265
195,106090944617543,106090954574445,9956902
196,106090977998370,106090987586070,9587700
197,106091011284977,106091021026014,9741037
198,106091044617920,106091054143558,9525638
199,106091078071478,106091087582719,9511241
200,106091111261338,106091120503106,9241768
201,106091144618614,106091154141236,9522622
202,106091178029387,106091187269057,9239670
203,106091211226525,106091220616833,9390308
204,106091244600848,106091254698139,10097291
