tick_ns,sid,pid,comm,cpu_pct
507399269,398001,398001,gst-launch-1.0,74.00
1007144642,398001,398001,gst-launch-1.0,4.00
1507693653,398001,398001,gst-launch-1.0,30.00
2006970060,398001,398001,gst-launch-1.0,2.00
2507489945,398001,398001,gst-launch-1.0,4.00
3007499267,398001,398001,gst-launch-1.0,4.00
3507362829,398001,398001,gst-launch-1.0,4.00
4007070235,398001,398001,gst-launch-1.0,4.00
4507240269,398001,398001,gst-launch-1.0,2.00
5007312516,398001,398001,gst-launch-1.0,6.00
5507360100,398001,398001,gst-launch-1.0,4.00
6007928944,398001,398001,gst-launch-1.0,4.00
6507040187,398001,398001,gst-launch-1.0,2.00
7006894418,398001,398001,gst-launch-1.0,6.00
7507085700,398001,398001,gst-launch-1.0,4.00
8007006703,398001,398001,gst-launch-1.0,2.00
8507409393,398001,398001,gst-launch-1.0,4.00
9007248782,398001,398001,gst-launch-1.0,4.00
9507410693,398001,398001,gst-launch-1.0,4.00
10007055256,398001,398001,gst-launch-1.0,6.00
10506763734,398001,398001,gst-launch-1.0,2.00
11007208805,398001,398001,gst-launch-1.0,4.00
11507094351,398001,398001,gst-launch-1.0,4.00
12006916389,398001,398001,gst-launch-1.0,2.00
12507415151,398001,398001,gst-launch-1.0,4.00
13007191039,398001,398001,gst-launch-1.0,4.00
13507163814,398001,398001,gst-launch-1.0,4.00
14006944404,398001,398001,gst-launch-1.0,4.00
14507111735,398001,398001,gst-launch-1.0,4.00
